Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Vol
Tajae Sharpe,WR,TEN,NYJ,3500,0,-6.9,17.3,10.4,0.292423372
Jeffery Wilson,RB,SF,@SEA,3000,0,-5.31,16,10.74,0.292118697
Jason Croom,TE,BUF,@MIA,2500,0.4,-4.18,15,10.48,0.292
Luke Willson,TE,DET,LAR,2500,0,-4.52,14.6,10.03,0.292
Blake Jarwin,TE,DAL,NO,2500,0,-4.55,14.6,10.05,0.292
Ryan Griffin,TE,HOU,CLE,2500,0,-4.55,14.6,10.1,0.292
Ben Roethlisberger,QB,PIT,LAC,6000,11.4,-5.54,34,17,0.291764745
Matt Ryan,QB,ATL,BAL,5600,8.8,-7.01,30.6,14.77,0.291314754
Antonio Gates,TE,LAC,@PIT,2800,0,-5.06,15.4,10.31,0.291032644
Ryan Switzer,WR,PIT,LAC,3500,0,-6.9,17.2,10.29,0.290733064
Antonio Callaway,WR,CLE,@HOU,4100,0.5,-7.61,19.1,11.06,0.290483197
Mike Gesicki,TE,MIA,BUF,2500,0.3,-4.3,14.8,10.29,0.29
Jermaine Kearse,WR,NYJ,@TEN,4000,1.7,-6.17,20,12.14,0.289348406
Anthony Miller,WR,CHI,@NYG,4500,0.9,-7.95,20.3,11.44,0.289198125
Lamar Miller,RB,HOU,CLE,4600,4.4,-3.72,24,15.86,0.288986234
Mohamed Sanu,WR,ATL,BAL,4300,1.1,-7.36,20,11.5,0.288222298
Mark Andrews,TE,BAL,@ATL,2500,0,-4.55,14.4,9.84,0.288
Nick O'Leary,TE,MIA,BUF,2500,0,-4.55,14.4,9.8,0.288
T.J. Yeldon,RB,JAX,IND,4400,5.1,-2.72,24.2,16.42,0.287943334
Golden Tate,WR,PHI,WAS,4600,1.4,-7.63,20.9,11.89,0.287511815
DaeSean Hamilton,WR,DEN,@CIN,3000,0,-5.91,15.7,9.76,0.286641472
Torrey Smith,WR,CAR,@TB,3400,0,-6.7,16.7,10.01,0.286402637
Dede Westbrook,WR,JAX,IND,4500,1.5,-7.33,20.7,11.88,0.286216701
Nelson Agholor,WR,PHI,WAS,3700,0,-7.29,17.4,10.08,0.286054238
Sterling Shepard,WR,NYG,CHI,4600,2.4,-6.61,21.8,12.75,0.286037395
Dallas Goedert,TE,PHI,WAS,2500,0,-4.55,14.3,9.76,0.286
Russell Wilson,QB,SEA,SF,6300,10.9,-6.92,33.6,15.74,0.285993118
TreQuan Smith,WR,NO,@DAL,4700,1.9,-7.32,21.5,12.24,0.285895383
Quincy Enunwa,WR,NYJ,@TEN,4100,2.2,-5.92,20.5,12.46,0.285797984
Green Bay Packers,DEF,GB,ARI,2800,3.1,-4.06,18.2,11.04,0.285363177
Elijah McGuire,RB,NYJ,@TEN,3600,3,-3.33,20.1,13.74,0.285
Tevin Coleman,RB,ATL,BAL,4500,3.8,-4.2,22.9,14.94,0.284725989
Aaron Rodgers,QB,GB,ARI,6200,9.8,-7.76,32.2,14.64,0.284480284
Vernon Davis,TE,WAS,@PHI,2900,0,-5.28,15.3,9.99,0.284113867
Isaiah Crowell,RB,NYJ,@TEN,3800,1.8,-4.89,19.3,12.54,0.283887487
Andrew Luck,QB,IND,@JAX,5800,11.8,-4.62,33.4,16.94,0.283621895
Royce Freeman,RB,DEN,@CIN,3600,1,-5.33,18,11.61,0.283333333
Josh Doctson,WR,WAS,@PHI,4500,1.3,-7.54,20.3,11.48,0.283235277
Travis Benjamin,WR,LAC,@PIT,3000,0,-5.91,15.5,9.58,0.282989988
Cameron Brate,TE,TB,CAR,3700,1.3,-5.43,18.5,11.74,0.282766258
Levine Toilolo,TE,DET,LAR,2500,0,-4.55,14.1,9.59,0.282
LeGarrette Blount,RB,DET,LAR,3900,3.1,-3.84,20.7,13.83,0.281825551
Donte Moncrief,WR,JAX,IND,4500,0.4,-8.51,19.3,10.45,0.281744565
Kenyan Drake,RB,MIA,BUF,4600,4.7,-3.44,23.8,15.68,0.281614136
Christian Kirk,WR,ARI,@GB,4600,1.9,-7.18,21,11.9,0.281614136
Tom Brady,QB,NE,MIN,5800,9,-7.43,30.4,13.98,0.280995766
Doug Martin,RB,OAK,KC,4200,4.2,-3.24,22.4,14.93,0.280832097
Michael Crabtree,WR,BAL,@ATL,4400,0.6,-8.06,19.2,10.55,0.28040555
Ricky Seals-Jones,TE,ARI,@GB,2900,0.6,-4.69,15.7,10.45,0.280399961
Josh Reynolds,WR,LAR,@DET,4900,2.8,-6.87,22.4,12.73,0.28
DeAndre Washington,RB,OAK,KC,3000,0,-5.31,15.3,10.01,0.279338504
Trey Quinn,WR,WAS,@PHI,4200,0.7,-7.61,18.8,10.56,0.279289063
Jonnu Smith,TE,TEN,NYJ,3300,0.4,-5.57,16.4,10.4,0.27852425
Virgil Green,TE,LAC,@PIT,2500,0,-4.55,13.9,9.39,0.278
Calvin Ridley,WR,ATL,BAL,5400,1.2,-9.41,21.6,10.99,0.277608838
Chris Herndon,TE,NYJ,@TEN,3200,1.2,-4.67,16.9,11.11,0.277539412
