Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce,KC,6.0,75.2,0.6,0.0,14.2
George Kittle,SF,5.9,78.3,0.6,0.0,14.1
Darren Waller,LV,6.6,75.3,0.4,0.1,13.2
Mark Andrews,BAL,4.2,56.5,0.7,0.0,11.7
Hunter Henry,LAC,5.0,62.6,0.5,0.1,11.6
Zach Ertz,PHI,5.6,58.8,0.4,0.1,11.1
Jonnu Smith,TEN,4.4,51.1,0.5,0.0,10.1
Evan Engram,NYG,5.0,52.0,0.2,0.0,8.9
Tyler Higbee,LAR,4.2,46.8,0.2,0.0,8.2
Hayden Hurst,ATL,3.9,44.2,0.3,0.0,7.9
Dalton Schultz,DAL,3.5,41.5,0.3,0.1,7.6
Mike Gesicki,MIA,3.9,43.9,0.2,0.0,7.5
Eric Ebron,PIT,3.7,42.2,0.2,0.0,7.4
Rob Gronkowski,TB,3.3,42.9,0.2,0.0,7.0
Jimmy Graham,CHI,3.6,39.4,0.2,0.0,6.9
Austin Hooper,CLE,3.7,38.2,0.2,0.0,6.9
Mo Alie-Cox,IND,2.4,33.0,0.3,0.0,6.4
Greg Olsen,SEA,3.1,35.5,0.2,0.0,6.2
Logan Thomas,WAS,3.5,34.1,0.1,0.0,6.0
Chris Herndon IV,NYJ,3.3,34.4,0.1,0.1,5.8
Jared Cook,NO,2.3,31.7,0.2,0.0,5.5
Jordan Akins,HOU,2.8,30.9,0.2,0.0,5.4
Tyler Eifert,JAC,2.6,30.1,0.2,0.0,5.2
Drew Sample,CIN,3.3,29.4,0.1,0.0,5.1
Kyle Rudolph,MIN,2.4,24.8,0.2,0.0,4.8
Ian Thomas,CAR,2.6,22.9,0.1,0.0,4.4
Darren Fells,HOU,2.0,21.2,0.2,0.0,4.4
Dan Arnold,ARI,2.1,24.2,0.1,0.0,4.2
Jack Doyle,IND,2.3,22.9,0.1,0.0,4.1
Dawson Knox,BUF,2.0,24.5,0.1,0.0,3.9
Anthony Firkser,TEN,1.9,22.1,0.1,0.0,3.9
Cameron Brate,TB,1.8,17.4,0.2,0.0,3.6
James O'Shaughnessy,JAC,1.8,18.8,0.1,0.0,3.4
Trey Burton,IND,1.8,19.2,0.1,0.0,3.4
Irv Smith Jr.,MIN,1.8,17.6,0.1,0.0,3.1
Harrison Bryant,CLE,1.6,17.3,0.1,0.0,3.1
Vance McDonald,PIT,1.6,16.6,0.1,0.0,3.0
Kaden Smith,NYG,1.7,15.2,0.1,0.0,3.0
Gerald Everett,LAR,1.6,17.1,0.1,0.0,2.9
Will Dissly,SEA,1.4,15.9,0.1,0.0,2.9
Richard Rodgers,PHI,1.6,16.2,0.1,0.0,2.9
Taysom Hill,NO,1.3,14.0,0.1,0.0,2.9
Adam Trautman,NO,1.3,14.6,0.1,0.0,2.7
Josh Hill,NO,1.5,14.8,0.1,0.0,2.6
Nick Boyle,BAL,1.5,14.1,0.1,0.0,2.6
David Njoku,CLE,1.2,14.2,0.1,0.0,2.4
Demetrius Harris,CHI,1.3,12.7,0.1,0.0,2.4
Ryan Griffin,NYJ,1.3,12.6,0.1,0.0,2.4
Foster Moreau,LV,1.3,12.5,0.1,0.0,2.3
Tyler Kroft,BUF,1.0,10.4,0.1,0.0,2.1
Jacob Hollister,SEA,1.1,10.8,0.1,0.0,2.0
Blake Bell,DAL,1.0,10.8,0.1,0.0,2.0
Jason Witten,LV,1.1,10.3,0.1,0.0,2.0
Cethan Carter,CIN,1.0,10.9,0.0,0.0,1.9
Daniel Helm,SF,0.7,8.4,0.1,0.0,1.8
Brycen Hopkins,LAR,0.7,7.6,0.1,0.0,1.7
Farrod Green,IND,0.7,6.7,0.1,0.0,1.6
Virgil Green,LAC,0.8,9.5,0.0,0.0,1.6
Evan Baylis,ARI,0.7,6.3,0.1,0.0,1.6
Adam Shaheen,MIA,1.0,9.2,0.0,0.0,1.5
Ross Dwelley,SF,0.9,7.9,0.0,0.0,1.5
Chris Manhertz,CAR,0.8,8.9,0.0,0.0,1.5
Levine Toilolo,NYG,0.8,8.9,0.0,0.0,1.5
Geoff Swaim,TEN,0.8,7.9,0.0,0.0,1.4
MyCole Pruitt,TEN,0.8,7.3,0.1,0.0,1.4
Cole Kmet,CHI,0.8,8.1,0.0,0.0,1.4
Luke Stocker,ATL,0.9,8.0,0.0,0.0,1.4
Ricky Seals-Jones,KC,0.5,6.6,0.1,0.0,1.3
Lee Smith,BUF,0.7,5.3,0.1,0.0,1.2
Donald Parham Jr.,LAC,0.7,7.3,0.0,0.0,1.2
Jason Croom,PHI,0.7,7.1,0.0,0.0,1.1
Gabe Nabers,LAC,0.7,7.3,0.0,0.0,1.1
Jordan Thomas,ARI,0.5,4.9,0.1,0.0,1.1
Darrell Daniels,ARI,0.6,6.0,0.0,0.0,1.0
Jaeden Graham,ATL,0.5,6.0,0.0,0.0,1.0
Charlie Woerner,SF,0.4,4.7,0.1,0.0,1.0
Noah Togiai,IND,0.5,4.7,0.0,0.0,0.9
Nick Keizer,KC,0.5,5.2,0.0,0.0,0.9
Zach Gentry,PIT,0.4,3.5,0.1,0.0,0.9
Temarrick Hemingway,WAS,0.6,5.4,0.0,0.0,0.8
Tyler Conklin,MIN,0.5,5.4,0.0,0.0,0.8
Tanner Hudson,TB,0.5,5.5,0.0,0.0,0.8
Luke Willson,SEA,0.4,3.9,0.0,0.0,0.8
Stephen Carlson,CLE,0.4,4.2,0.0,0.0,0.7
Trevon Wesco,NYJ,0.4,5.0,0.0,0.0,0.7
Pharaoh Brown,HOU,0.5,5.1,0.0,0.0,0.7
Jeremy Sprinkle,WAS,0.5,4.3,0.0,0.0,0.7
Derek Carrier,LV,0.3,3.0,0.0,0.0,0.7
Johnny Mundt,LAR,0.4,4.1,0.0,0.0,0.7
Mason Schreck,CIN,0.4,4.3,0.0,0.0,0.6
Sean McKeon,DAL,0.4,4.1,0.0,0.0,0.6
J.P. Holtz,CHI,0.3,3.4,0.0,0.0,0.5
Reggie Gilliam,BUF,0.3,2.6,0.0,0.0,0.5
Deon Yelder,KC,0.3,3.3,0.0,0.0,0.5
Antony Auclair,TB,0.3,3.1,0.0,0.0,0.5
Stephen Anderson,LAC,0.3,3.2,0.0,0.0,0.5
Colin Thompson,CAR,0.3,3.0,0.0,0.0,0.5
Patrick Scales,CHI,0.2,2.0,0.0,0.0,0.3
Tommy Sweeney,BUF,0.1,0.5,0.0,0.0,0.1
Garrett Griffin,NO,0.0,0.0,0.0,0.0,0.0
Daniel Brown,NYJ,0.0,0.0,0.0,0.0,0.0
