Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Jordan Howard,MIA,4.1,14.0,0.1,0.7,3.7,0.0,0.0,2.7
Devontae Booker,LV,3.1,12.6,0.0,0.9,7.1,0.0,0.0,2.6
Peyton Barber,WAS,4.1,14.7,0.1,0.6,3.3,0.0,0.0,2.6
DeeJay Dallas,SEA,3.0,11.4,0.1,0.8,4.9,0.0,0.0,2.4
T.J. Yeldon,BUF,2.5,9.0,0.0,0.9,5.6,0.0,0.0,2.1
Darwin Thompson,KC,2.3,8.8,0.0,1.0,3.5,0.0,0.1,1.9
Josh Adams,NYJ,3.5,10.5,0.1,0.9,1.1,0.0,0.0,1.8
Alec Ingold,LV,0.5,1.5,0.0,0.9,7.3,0.1,0.0,1.8
C.J. Prosise,HOU,1.9,5.8,0.0,1.0,5.3,0.0,0.0,1.7
Khari Blasingame,TEN,0.0,0.0,0.0,1.2,8.8,0.0,0.0,1.7
Alex Armah,CAR,1.8,5.0,0.0,0.7,4.8,0.0,0.0,1.7
Ryquell Armstead,JAC,2.7,8.2,0.0,1.0,3.5,0.0,0.0,1.6
Jaylen Samuels,PIT,1.6,4.4,0.0,0.9,5.7,0.0,0.0,1.6
Eno Benjamin,ARI,2.0,7.1,0.1,0.6,2.5,0.0,0.0,1.5
Ryan Nall,CHI,2.1,6.1,0.0,0.6,3.5,0.0,0.0,1.5
Kalen Ballage,LAC,2.0,5.8,0.1,0.7,2.7,0.0,0.0,1.5
C.J. Ham,MIN,0.6,2.4,0.0,0.7,6.7,0.0,0.0,1.5
Patrick Ricard,BAL,0.7,1.4,0.0,0.7,4.2,0.1,0.0,1.4
JaMycal Hasty,SF,1.9,7.6,0.0,0.4,2.1,0.0,0.0,1.4
Qadree Ollison,ATL,1.7,5.6,0.1,0.5,1.8,0.0,0.0,1.3
Artavis Pierce,CHI,1.5,4.8,0.0,0.5,3.1,0.0,0.0,1.3
Jeremy McNichols,TEN,1.3,3.8,0.0,0.7,4.6,0.0,0.0,1.3
Justice Hill,BAL,1.2,5.3,0.0,0.4,2.7,0.0,0.0,1.3
Reggie Gilliam,BUF,1.3,3.3,0.0,0.6,3.8,0.0,0.0,1.3
Theo Riddick,LV,1.8,5.4,0.0,0.7,3.5,0.0,0.0,1.2
Lynn Bowden Jr.,MIA,1.2,5.6,0.0,0.6,2.4,0.0,0.0,1.2
Dare Ogunbowale,JAC,0.4,0.8,0.0,0.8,6.0,0.0,0.0,1.2
Trayveon Williams,CIN,1.5,5.1,0.1,0.3,1.2,0.0,0.0,1.1
Dwayne Washington,NO,1.1,6.0,0.0,0.1,1.4,0.0,0.0,1.0
Andy Janovich,CLE,0.7,1.7,0.0,0.6,4.1,0.0,0.0,1.0
Anthony Sherman,KC,1.0,2.3,0.0,0.4,2.2,0.0,0.0,1.0
Keith Smith,ATL,0.7,2.0,0.0,0.7,3.5,0.0,0.0,1.0
Mike Boone,MIN,1.0,5.8,0.0,0.3,1.0,0.0,0.0,1.0
Gabe Nabers,LAC,1.0,2.9,0.0,0.4,3.3,0.0,0.0,0.9
Ameer Abdullah,MIN,1.0,3.7,0.0,0.4,2.6,0.0,0.0,0.9
Patrick Laird,MIA,1.3,4.1,0.0,0.5,2.1,0.0,0.0,0.8
Salvon Ahmed,MIA,1.4,4.2,0.0,0.6,1.8,0.0,0.0,0.8
Samaje Perine,CIN,0.8,3.5,0.0,0.4,1.9,0.0,0.0,0.8
Rico Dowdle,DAL,0.0,1.7,0.0,0.2,1.8,0.0,0.0,0.6
Michael Burton,NO,0.7,1.7,0.0,0.4,1.9,0.0,0.0,0.6
Adrian Killins Jr.,PHI,0.4,1.6,0.0,0.2,1.6,0.0,0.0,0.5
Elijhaa Penny,NYG,0.8,2.6,0.0,0.2,0.8,0.0,0.0,0.5
Ty Johnson,NYJ,0.8,3.3,0.0,0.1,0.4,0.0,0.0,0.5
Nick Bellore,SEA,0.0,0.1,0.0,0.2,1.3,0.0,0.0,0.4
Taiwan Jones,BUF,0.3,1.1,0.0,0.1,1.9,0.0,0.0,0.4
Chandler Cox,MIA,0.4,0.9,0.0,0.3,1.6,0.0,0.0,0.4
Senorise Perry,TEN,0.3,1.3,0.0,0.1,0.9,0.0,0.0,0.3
Jason Huntley,PHI,0.4,1.5,0.0,0.1,0.5,0.0,0.0,0.3
Bruce Miller,JAC,0.1,0.3,0.0,0.1,1.1,0.0,0.0,0.3
Buddy Howell,HOU,0.2,0.8,0.0,0.1,0.6,0.0,0.0,0.2
Xavier Jones,LAR,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2
Cullen Gillaspia,HOU,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1
Raymond Calais,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
