Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Christian McCaffrey,CAR,TB,1,5,1.1,0.3,26.3
2,Ezekiel Elliott,DAL,NYJ,1,11,2.3,0.7,21.8
3,Dalvin Cook,MIN,PHI,2,8,3.2,0.6,20.8
4,Alvin Kamara,NO,JAC,1,12,4.7,1.5,20.0
5,Leonard Fournette,JAC,NO,2,12,5.7,1.7,18.9
6,Nick Chubb,CLE,SEA,3,9,6.1,1.6,18.9
7,Le'Veon Bell,NYJ,DAL,1,12,7.0,1.7,18.8
8,Aaron Jones,GB,DET,4,17,8.0,1.6,18.5
9,David Johnson,ARI,ATL,3,18,8.3,2.1,18.2
10,Chris Carson,SEA,CLE,5,14,10.5,1.2,17.4
11,Mark Ingram,BAL,CIN,6,17,11.0,2.0,16.7
12,James Conner,PIT,LAC,8,22,12.4,2.4,16.5
13,Kerryon Johnson,DET,GB,8,23,13.2,2.2,16.4
14,Austin Ekeler,LAC,PIT,10,23,14.3,2.1,15.9
15,Melvin Gordon,LAC,PIT,12,27,16.1,2.1,15.6
16,Derrick Henry,TEN,DEN,3,22,16.5,2.6,15.2
17,James White,NE,NYG,9,25,17.1,2.6,15.1
18,Joe Mixon,CIN,BAL,15,26,18.5,2.5,14.9
19,Phillip Lindsay,DEN,TEN,12,24,19.2,2.3,14.4
20,Devonta Freeman,ATL,ARI,13,29,19.7,2.9,14.1
21,Sony Michel,NE,NYG,12,26,20.4,2.6,13.8
22,Damien Williams,KC,HOU,14,24,20.4,2.2,13.5
23,Matt Breida,SF,LAR,17,28,24.9,2.4,13.4
24,Malcolm Brown,LAR,SF,13,42,25.0,6.2,13.2
25,Chris Thompson,WAS,MIA,18,35,25.7,2.1,13.0
26,Kenyan Drake,MIA,WAS,22,37,25.7,3.3,12.6
27,Adrian Peterson,WAS,MIA,20,35,27.4,2.6,11.3
28,Carlos Hyde,HOU,KC,19,33,27.8,2.4,10.7
29,Royce Freeman,DEN,TEN,25,37,29.4,2.2,10.5
30,Jordan Howard,PHI,MIN,21,35,29.7,2.6,10.1
31,LeSean McCoy,KC,HOU,17,39,29.7,2.8,9.8
32,Tevin Coleman,SF,LAR,20,38,30.3,2.4,9.6
33,Ronald Jones II,TB,CAR,27,37,33.0,1.6,9.3
34,Miles Sanders,PHI,MIN,28,38,33.6,1.6,8.9
35,Duke Johnson,HOU,KC,29,39,34.4,1.6,8.5
36,Ito Smith,ATL,ARI,34,46,37.6,2.1,8.4
37,Chase Edmonds,ARI,ATL,27,43,38.0,2.3,8.0
38,Peyton Barber,TB,CAR,33,45,38.3,2.0,7.7
39,Giovani Bernard,CIN,BAL,34,50,38.7,2.0,7.6
40,Jonathan Hilliman,NYG,NE,25,54,40.5,5.3,7.4
41,Dion Lewis,TEN,DEN,39,46,41.4,1.9,7.3
42,Rashaad Penny,SEA,CLE,37,51,43.4,2.3,6.5
43,Latavius Murray,NO,JAC,34,54,43.6,2.9,6.5
44,Gus Edwards,BAL,CIN,37,53,47.3,2.7,4.9
45,Tony Pollard,DAL,NYJ,40,57,47.6,4.3,4.4
46,Jamaal Williams,GB,DET,34,65,46.4,6.9,4.4
47,Darrell Henderson,LAR,SF,35,68,46.0,5.5,4.3
48,Raheem Mostert,SF,LAR,39,56,48.1,3.2,4.4
49,Dare Ogunbowale,TB,CAR,43,58,48.6,3.1,4.3
50,Alexander Mattison,MIN,PHI,43,55,49.5,2.8,4.2
51,Mark Walton,MIA,WAS,40,57,50.0,3.4,4.1
52,Ty Johnson,DET,GB,45,59,53.1,2.6,4.1
53,Darrel Williams,KC,HOU,40,67,54.9,4.0,4.0
54,Elijhaa Penny,NYG,NE,40,55,49.4,4.4,3.9
55,Benny Snell Jr.,PIT,LAC,48,61,54.4,2.6,3.6
56,Justice Hill,BAL,CIN,47,68,56.2,3.5,3.5
57,Dontrell Hilliard,CLE,SEA,46,65,57.2,3.9,3.5
58,C.J. Prosise,SEA,CLE,46,68,57.2,5.4,3.5
59,Kalen Ballage,MIA,WAS,44,78,58.8,6.6,3.3
60,Brandon Bolden,NE,NYG,43,68,59.9,4.6,3.2
61,Ty Montgomery,NYJ,DAL,40,72,60.4,2.6,2.9
62,J.D. McKissic,DET,GB,53,76,62.1,3.8,2.9
63,Ryquell Armstead,JAC,NO,53,82,63.6,4.4,2.8
