Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Julio Jones,ATL,ARI,1,7,1.3,0.8,20.1
2,DeAndre Hopkins,HOU,KC,1,10,2.1,0.5,20.0
3,Michael Thomas,NO,JAC,1,10,3.6,1.0,19.7
4,Keenan Allen,LAC,PIT,1,9,3.6,0.8,19.6
5,Cooper Kupp,LAR,SF,2,12,5.3,0.7,19.1
6,Amari Cooper,DAL,NYJ,1,9,6.1,1.2,19.0
7,Chris Godwin,TB,CAR,3,12,6.7,1.1,18.9
8,Odell Beckham Jr.,CLE,SEA,5,21,9.0,2.0,18.9
9,Adam Thielen,MIN,PHI,4,21,9.1,1.5,17.3
10,Julian Edelman,NE,NYG,7,14,10.6,1.5,17.2
11,Larry Fitzgerald,ARI,ATL,8,20,12.0,1.7,17.2
12,Tyler Boyd,CIN,BAL,3,20,12.1,1.8,17.2
13,Tyler Lockett,SEA,CLE,8,17,12.2,2.4,16.7
14,Mike Evans,TB,CAR,7,26,14.1,2.5,16.3
15,Tyreek Hill,KC,HOU,8,35,16.6,5.7,16.1
16,Kenny Golladay,DET,GB,13,31,17.1,2.8,15.9
17,Josh Gordon,NE,NYG,13,29,18.1,2.9,15.7
18,D.J. Chark,JAC,NO,6,27,18.4,2.6,15.3
19,Will Fuller,HOU,KC,13,25,18.6,2.1,15.3
20,Robert Woods,LAR,SF,10,41,19.1,2.8,14.9
21,Terry McLaurin,WAS,MIA,15,33,21.9,3.2,14.9
22,Stefon Diggs,MIN,PHI,13,34,22.0,2.5,14.8
23,Calvin Ridley,ATL,ARI,20,40,23.7,2.4,14.6
24,Brandin Cooks,LAR,SF,16,34,24.1,3.8,14.4
25,JuJu Smith-Schuster,PIT,LAC,18,35,24.4,3.6,13.3
26,Michael Gallup,DAL,NYJ,12,35,26.7,3.5,13.2
27,Courtland Sutton,DEN,TEN,15,39,26.9,3.0,13.1
28,D.J. Moore,CAR,TB,13,37,27.4,3.2,13.0
29,Jarvis Landry,CLE,SEA,18,39,28.1,3.4,12.9
30,Alshon Jeffery,PHI,MIN,24,38,29.6,2.3,12.7
31,Curtis Samuel,CAR,TB,22,40,30.6,2.7,12.6
32,Emmanuel Sanders,DEN,TEN,23,40,33.0,2.2,12.5
33,Dede Westbrook,JAC,NO,24,40,33.4,3.0,12.2
34,Mike Williams,LAC,PIT,28,46,35.3,2.6,12.2
35,Mohamed Sanu,ATL,ARI,25,43,35.7,2.6,11.9
36,Marvin Jones,DET,GB,27,50,36.9,3.8,11.5
37,Marquez Valdes-Scantling,GB,DET,29,49,36.9,3.9,11.5
38,D.K. Metcalf,SEA,CLE,36,52,41.5,3.5,11.1
39,Robby Anderson,NYJ,DAL,29,51,41.6,3.5,10.7
40,Golden Tate,NYG,NE,32,49,41.6,2.6,11.4
41,Preston Williams,MIA,WAS,32,54,42.1,4.3,10.6
42,Jamison Crowder,NYJ,DAL,34,53,43.2,3.7,10.6
43,Demarcus Robinson,KC,HOU,22,71,43.5,8.0,10.3
44,Auden Tate,CIN,BAL,36,51,43.7,2.9,10.2
45,Geronimo Allison,GB,DET,35,52,44.7,3.3,10.2
46,Diontae Johnson,PIT,LAC,37,56,47.9,3.1,10.1
47,Mecole Hardman,KC,HOU,29,65,50.0,4.9,10.0
48,Corey Davis,TEN,DEN,46,66,51.3,4.1,9.7
49,Deebo Samuel,SF,LAR,44,59,52.1,4.0,9.5
50,A.J. Brown,TEN,DEN,45,72,51.7,5.0,9.7
51,Devante Parker,MIA,WAS,41,64,52.0,5.1,9.5
52,Darius Slayton,NYG,NE,41,76,55.3,6.3,8.8
53,Marquise Goodwin,SF,LAR,51,66,56.7,3.1,8.6
54,Paul Richardson,WAS,MIA,48,66,57.1,3.6,8.6
55,Nelson Agholor,PHI,MIN,41,94,59.3,7.7,8.4
56,Keke Coutee,HOU,KC,43,80,55.7,6.8,8.2
57,Willie Snead,BAL,CIN,41,64,54.2,5.5,8.2
58,KeeSean Johnson,ARI,ATL,38,74,56.6,7.1,8.2
59,Chris Conley,JAC,NO,50,77,62.7,4.8,8.1
60,Trey Quinn,WAS,MIA,47,68,61.6,3.5,7.9
