Russell Gage,0.0001,ATL
Calvin Ridley,0.0001,ATL
Christian McCaffrey,0.0001,CAR
Mike Thomas,0.0001,CIN
Jamar Jefferson,0.0001,DET
Tom Kennedy,0.0001,DET
Danny Amendola,0.0001,HOU
Brevin Jordan,0.0001,HOU
Rex Burkhead,0.0001,HOU
Scottie Phillips,0.0001,HOU
DeVante Parker,0.0001,MIA
Dalvin Cook,0.0001,MIN
Lil'Jordan Humphrey,0.0001,NO
James Washington,0.0001,PIT
Jaelon Darden,0.0001,TB
Julio Jones,0.0001,TEN
Nick Westbrook-Ikhine,0.0001,TEN
Dyami Brown,0.0001,WAS
Cam Sims,0.0001,WAS
Alexander Mattison,1.7,MIN
Albert Wilson,1.5,MIA
Preston Williams,2,MIA
