Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Chicago Bears,CHI,3.1,1.2,0.8,1.2,0.2,0.0,0.0,15.1,303.0,9.5
Jacksonville Jaguars,JAC,3.4,1.0,0.7,1.1,0.2,0.0,0.0,18.4,318.8,9.1
Kansas City Chiefs,KC,2.4,1.3,0.7,1.1,0.2,0.0,0.0,16.8,325.6,9.0
Baltimore Ravens,BAL,3.1,1.0,0.7,1.2,0.2,0.0,0.1,15.4,284.4,8.9
Minnesota Vikings,MIN,2.9,1.2,0.6,0.8,0.2,0.0,0.0,19.2,314.3,8.8
Pittsburgh Steelers,PIT,2.9,1.2,0.7,1.2,0.2,0.0,0.0,18.9,315.9,8.8
Carolina Panthers,CAR,2.9,1.1,0.7,1.3,0.2,0.0,0.0,18.3,332.9,8.7
Los Angeles Chargers,LAC,2.5,1.3,0.5,0.7,0.2,0.0,0.0,18.5,316.6,8.4
Washington Redskins,WAS,2.7,1.1,0.6,0.9,0.2,0.0,0.0,17.4,300.5,8.4
New York Giants,NYG,2.2,1.1,0.6,0.8,0.2,0.0,0.0,19.5,302.6,7.8
Arizona Cardinals,ARI,2.2,1.0,0.7,1.0,0.2,0.0,0.0,17.5,304.8,7.7
Philadelphia Eagles,PHI,2.1,1.0,0.6,1.0,0.2,0.0,0.0,19.4,317.7,7.4
Detroit Lions,DET,2.1,0.9,0.6,1.0,0.2,0.0,0.0,19.8,313.2,7.4
Los Angeles Rams,LAR,2.7,1.2,0.6,0.8,0.2,0.0,0.0,20.5,323.2,7.3
New England Patriots,NE,2.6,0.7,0.6,0.8,0.1,0.0,0.0,19.1,335.0,7.2
Denver Broncos,DEN,2.3,0.8,0.7,1.2,0.2,0.0,0.0,21.0,302.4,6.5
Cincinnati Bengals,CIN,2.7,0.7,0.6,1.0,0.2,0.0,0.0,23.1,346.4,6.5
Dallas Cowboys,DAL,2.5,0.8,0.6,1.0,0.2,0.0,0.0,22.1,366.1,6.3
Tampa Bay Buccaneers,TB,1.7,0.9,0.6,1.0,0.2,0.0,0.0,27.6,382.6,5.8
Seattle Seahawks,SEA,2.1,0.7,0.6,0.9,0.2,0.0,0.0,24.3,343.1,5.7
Tennessee Titans,TEN,2.0,0.6,0.7,1.3,0.2,0.0,0.0,26.4,351.8,5.7
Cleveland Browns,CLE,2.1,0.7,0.6,1.0,0.1,0.0,0.0,21.8,312.7,5.5
New York Jets,NYJ,1.7,0.8,0.5,0.9,0.2,0.0,0.0,25.0,390.0,5.5
New Orleans Saints,NO,1.8,0.8,0.5,0.8,0.2,0.0,0.0,24.1,385.1,5.4
Atlanta Falcons,ATL,1.7,0.7,0.6,0.9,0.2,0.0,0.0,28.4,397.9,5.3
Green Bay Packers,GB,1.8,0.7,0.6,0.9,0.1,0.0,0.0,25.7,392.4,5.3
Buffalo Bills,BUF,1.8,0.7,0.5,0.7,0.2,0.0,0.0,29.0,396.6,5.2
Indianapolis Colts,IND,1.6,0.8,0.6,0.9,0.1,0.0,0.0,27.2,363.9,5.2
San Francisco 49ers,SF,1.7,0.7,0.6,1.0,0.1,0.0,0.0,25.6,387.5,5.2
Houston Texans,HOU,1.5,0.8,0.5,0.7,0.1,0.0,0.0,27.8,406.7,5.1
Oakland Raiders,OAK,1.7,0.6,0.7,1.2,0.1,0.0,0.0,30.0,411.4,5.0
Miami Dolphins,MIA,2.0,0.6,0.4,0.6,0.1,0.0,0.0,27.2,371.1,4.9
