Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Deshaun Watson,HOU,OAK,1,1,1.0,0.0,23.5
2,Russell Wilson,SEA,ATL,2,3,2.0,0.2,22.2
3,Aaron Rodgers,GB,KC,2,7,3.7,1.1,19.1
4,Jared Goff,LAR,CIN,4,8,4.5,0.9,19.0
5,Matthew Stafford,DET,NYG,2,10,4.9,1.4,18.8
6,Tom Brady,NE,CLE,4,12,6.6,1.2,17.9
7,Josh Allen,BUF,PHI,3,14,7.5,2.0,17.6
8,Kirk Cousins,MIN,WAS,5,11,8.7,1.0,17.2
9,Kyler Murray,ARI,NO,5,14,9.2,1.7,16.8
10,Drew Brees,NO,ARI,3,31,9.0,5.6,16.1
11,Gardner Minshew,JAC,NYJ,10,18,11.9,1.8,16.1
12,Jacoby Brissett,IND,DEN,9,22,12.5,1.6,16.0
13,Jameis Winston,TB,TEN,8,17,12.8,1.4,16.0
14,Ryan Tannehill,TEN,TB,8,18,13.6,2.0,15.8
15,Carson Wentz,PHI,BUF,12,20,15.5,1.8,15.5
16,Mason Rudolph,PIT,MIA,11,22,16.0,2.7,15.2
17,Daniel Jones,NYG,DET,11,20,16.7,1.8,14.8
18,Derek Carr,OAK,HOU,12,23,18.0,2.7,14.5
19,Jimmy Garoppolo,SF,CAR,16,26,19.3,1.7,14.5
20,Philip Rivers,LAC,CHI,16,22,19.9,1.6,14.4
21,Sam Darnold,NYJ,JAC,15,26,20.9,2.1,14.0
22,Matt Moore,KC,GB,15,26,21.4,1.7,13.4
23,Andy Dalton,CIN,LAR,21,26,23.4,1.4,13.0
24,Mitch Trubisky,CHI,LAC,13,25,23.8,1.2,12.9
25,Baker Mayfield,CLE,NE,18,29,25.9,1.7,12.6
26,Joe Flacco,DEN,IND,17,30,26.5,1.4,12.5
27,Matt Schaub,ATL,SEA,17,32,26.4,3.5,11.8
28,Ryan Fitzpatrick,MIA,PIT,22,30,27.4,1.4,11.5
29,Kyle Allen,CAR,SF,24,30,28.7,1.0,10.7
30,Case Keenum,WAS,MIN,25,31,29.4,1.0,9.9
31,Taysom Hill,NO,ARI,28,32,31.1,0.4,9.7
32,Teddy Bridgewater,NO,ARI,10,34,29.2,6.4,6.2
33,Josh Rosen,MIA,PIT,32,37,33.7,1.8,1.8
34,Eli Manning,NYG,DET,33,37,34.8,1.5,1.7
35,Ryan Finley,CIN,LAR,33,51,38.3,7.4,1.1
36,Devlin Hodges,PIT,MIA,33,53,40.3,9.0,1.0
37,Marcus Mariota,TEN,TB,35,44,37.8,3.6,0.9
