Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,George Kittle,SF,CAR,1,4,1.4,0.8,15.1
2,Darren Waller,OAK,HOU,1,8,2.8,1.3,14.6
3,Austin Hooper,ATL,SEA,1,9,3.2,1.2,12.9
4,Travis Kelce,KC,GB,1,7,4.0,1.1,12.6
5,Evan Engram,NYG,DET,2,7,4.4,1.4,12.5
6,Hunter Henry,LAC,CHI,1,7,5.6,1.1,12.2
7,Zach Ertz,PHI,BUF,5,10,6.8,0.8,12.2
8,Gerald Everett,LAR,CIN,5,12,8.1,1.0,9.0
9,T.J. Hockenson,DET,NYG,7,13,9.6,1.1,8.6
10,Greg Olsen,CAR,SF,8,32,10.8,2.3,8.5
11,Jimmy Graham,GB,KC,9,16,10.9,1.2,8.2
12,Eric Ebron,IND,DEN,9,20,13.9,1.3,7.5
13,Vance McDonald,PIT,MIA,10,21,14.0,2.5,7.1
14,Jonnu Smith,TEN,TB,9,23,15.3,2.6,6.9
15,Kyle Rudolph,MIN,WAS,11,26,15.9,3.0,6.7
16,Dallas Goedert,PHI,BUF,10,19,15.9,2.3,6.6
17,Cameron Brate,TB,TEN,10,33,17.0,4.5,6.2
18,Josh Hill,NO,ARI,6,27,17.6,4.3,6.2
19,Dawson Knox,BUF,PHI,13,24,18.4,2.5,6.0
20,Darren Fells,HOU,OAK,15,24,18.8,1.8,5.9
21,Jordan Akins,HOU,OAK,16,26,21.3,1.8,5.9
22,Noah Fant,DEN,IND,18,26,21.9,2.3,5.8
23,Irv Smith Jr.,MIN,WAS,13,31,22.1,2.6,5.8
24,Jack Doyle,IND,DEN,16,30,22.8,2.6,5.8
25,Benjamin Watson,NE,CLE,17,28,24.6,1.4,5.8
26,Trey Burton,CHI,LAC,24,31,27.2,1.9,5.6
27,Ricky Seals-Jones,CLE,NE,17,30,27.2,2.0,5.5
28,Mike Gesicki,MIA,PIT,20,30,26.8,1.9,5.4
29,Foster Moreau,OAK,HOU,23,32,28.4,2.1,5.1
30,Luke Willson,SEA,ATL,27,40,30.5,2.8,5.1
31,Tyler Eifert,CIN,LAR,26,32,30.6,1.4,5.1
32,Tyler Higbee,LAR,CIN,29,33,31.6,0.8,5.0
33,Jacob Hollister,SEA,ATL,15,44,34.0,4.1,5.0
34,Josh Oliver,JAC,NYJ,32,40,35.7,2.5,4.9
35,Jeremy Sprinkle,WAS,MIN,31,38,34.2,1.6,4.8
36,C.J. Uzomah,CIN,LAR,33,44,37.9,2.9,4.7
37,Ryan Griffin,NYJ,JAC,29,53,39.2,6.4,4.4
38,Seth DeValve,JAC,NYJ,33,50,38.8,4.6,3.9
39,Maxx Williams,ARI,NO,33,41,37.7,1.8,3.8
40,Marcedes Lewis,GB,KC,36,48,40.9,3.2,3.8
41,Rhett Ellison,NYG,DET,36,46,41.5,3.2,3.8
42,Dan Arnold,NO,ARI,32,49,42.3,4.9,3.7
43,Charles Clay,ARI,NO,39,48,43.2,3.0,3.4
44,Adam Shaheen,CHI,LAC,38,54,45.3,4.0,3.4
45,Jesse James,DET,NYG,37,49,44.0,2.8,3.4
46,Jeff Heuerman,DEN,IND,39,52,45.8,3.5,3.1
47,Demetrius Harris,CLE,NE,42,55,47.3,3.2,3.1
48,Anthony Firkser,TEN,TB,37,59,48.7,5.8,3.1
49,Tyler Kroft,BUF,PHI,42,56,49.8,2.6,2.9
50,Nick Vannett,PIT,MIA,45,57,50.3,3.4,2.7
51,Derek Carrier,OAK,HOU,45,53,51.5,1.6,2.5
52,Logan Thomas,DET,NYG,46,55,51.8,1.9,2.5
53,Luke Stocker,ATL,SEA,45,64,55.2,4.5,2.3
54,Mo Alie-Cox,IND,DEN,49,61,55.2,3.6,2.2
55,Drew Sample,CIN,LAR,53,61,56.6,1.9,2.2
56,Nick O'Leary,MIA,PIT,51,62,56.9,2.0,2.1
57,Virgil Green,LAC,CHI,48,63,57.2,3.8,2.1
58,Lee Smith,BUF,PHI,51,62,59.3,2.0,2.1
59,Ben Koyack,JAC,NYJ,53,64,58.8,2.6,2.1
60,Antony Auclair,TB,TEN,38,61,47.2,10.5,2.0
61,Ross Dwelley,SF,CAR,54,63,59.6,2.6,2.0
62,Ian Thomas,CAR,SF,53,68,61.9,4.4,2.0
63,Levine Toilolo,SF,CAR,50,68,62.8,3.2,2.0
64,Pharaoh Brown,CLE,NE,56,70,66.2,2.0,1.9
65,Blake Bell,KC,GB,58,69,65.3,2.9,1.6
66,MyCole Pruitt,TEN,TB,60,69,65.3,3.0,1.6
67,Tommy Sweeney,BUF,PHI,58,67,63.0,2.1,1.6
68,Ben Braunecker,CHI,LAC,60,65,62.8,1.9,1.5
69,Durham Smythe,MIA,PIT,63,72,67.2,2.6,1.4
70,Andrew Beck,DEN,IND,62,72,68.3,2.5,1.4
71,Jaeden Graham,ATL,SEA,64,69,65.5,2.1,1.4
72,Deon Yelder,KC,GB,60,71,67.3,4.3,1.3
73,Robert Tonyan,GB,KC,61,65,63.0,2.0,1.3
74,Chris Manhertz,CAR,SF,66,71,67.7,2.4,1.2
75,J.P. Holtz,CHI,LAC,66,73,70.8,2.9,1.2
