team,rank,day,mult
ATL,1,Sun,1
BAL,1,Sun,1
BUF,3,Sun,1
CAR,1,Sun,1
CIN,3,Sun,1
CLE,1,Sun,1
DAL,1,Sun,1
DEN,2,Sun,1
DET,2,Sun,1
HOU,1,Sun,1
JAC,1,Sun,1
KC,1,Sun,1
LAC,2,Sun,1
LV,1,Sun,1
NO,1,Sun,1
NYG,2,Sun,1
NYJ,1,Sun,1
SEA,1,Sun,1
SF,3,Sun,1
TB,3,Sun,1
TEN,1,Sun,1
WAS,1,Sun,1
