"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"135","Tyrie Cleveland",DEN,"vs. LAC"," 5.6","F","1.0","-0.1","33% (1/3)","2%","Awful"
"136","Pharoh Cooper",CAR,"vs. ATL"," 7.6","F","1.0","-0.2","33% (5/15)","0%","N/A"
"137","Andre Roberts",BUF,"vs. NE"," 6.8","F","0.9","-0.8","18% (3/16)","2%","Awful"
"138","C.J. Board",NYG,"vs. TB","-","F","0.9","-0.2","27% (3/11)","1%","Awful"
"139","Cyril Grayson Jr.",TB,"at NYG"," 6.2","F","0.8","-","-","2%","Awful"
"140","James Proche",BAL,"vs. PIT"," 7.2","F","0.7","-0.2","0% (0/5)","0%","N/A"
"141","Nick Westbrook-Ikhine",TEN,"at CIN"," 7.2","F","0.7","-","-","3%","Awful"
"142","Brandon Zylstra",CAR,"vs. ATL","-","F","0.6","-0.2","16% (2/12)","5%","Awful"
"143","Tommylee Lewis",NO,"at CHI","-","F","0.6","-","-","0%","N/A"
"144","Lawrence Cager",NYJ,"at KC","-","F","0.5","-","-","8%","Awful"
"145","Deon Cain",PIT,"at BAL"," 4.0","F","0.4","-0.4","33% (2/6)","0%","N/A"
"146","Tajae Sharpe",MIN,"at GB"," 2.8","F","0.4","+1.2","36% (4/11)","5%","Awful"
"147","Quintez Cephus",DET,"vs. IND"," 5.2","F","0.3","-0.1","50% (2/4)","7%","Awful"
"148","Quez Watkins",PHI,"vs. DAL","-","F","0.3","-1.6","0% (0/2)","0%","N/A"
"149","Hakeem Butler",PHI,"vs. DAL"," 7.4","F","0.3","-","-","0%","N/A"
"150","Duke Williams",BUF,"vs. NE"," 6.8","F","0.2","-","-","0%","N/A"
"151","DeMichael Harris",IND,"at DET"," 5.0","F","0.2","-","-","0%","N/A"
"152","Daurice Fountain",IND,"at DET","-","F","0.1","-","-","0%","Awful"
"153","Kevin White",SF,"at SEA","-","F","0.1","-","-","0%","N/A"
"154","De'Michael Harris",IND,"at DET","-","F","0.1","-","-","0%","Awful"
"155","River Cracraft",SF,"at SEA","-","F","0.0","-","-","0%","N/A"
"156","Dezmon Patmon",IND,"at DET","-","F","0.0","-0.4","0% (0/1)","0%","N/A"
"157","Marken Michel",CAR,"vs. ATL","-","F","0.0","-","-","0%","N/A"
"158","Chris Moore",BAL,"vs. PIT","-","F","0.0","-0.4","0% (0/7)","0%","N/A"
"159","Dwayne Harris",CHI,"vs. NO","-","F","0.0","-","-","0%","N/A"
