"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Derrick Henry",TEN,"at CIN"," 8.0","A+","23.4","+4.7","64% (9/14)","31%","Great"
"2","Alvin Kamara",NO,"at CHI"," 5.4","A+","21.1","+0.3","35% (5/14)","23%","Great"
"3","Kareem Hunt",CLE,"vs. LV"," 7.2","A+","20.8","+1.6","73% (11/15)","22%","Great"
"4","Dalvin Cook",MIN,"at GB"," 9.4","A","20.1","-0.2","50% (6/12)","17%","Great"
"5","Mike Davis",CAR,"vs. ATL"," 5.8","A","19.2","+0.7","38% (5/13)","20%","Good"
"6","Jonathan Taylor",IND,"at DET"," 7.8","A","18.2","-0.5","50% (3/6)","18%","Good"
"7","Jamaal Williams",GB,"vs. MIN"," 4.6","A","17.1","+0.8","50% (7/14)","11%","Poor"
"8","Giovani Bernard",CIN,"vs. TEN"," 4.6","A","17.0","-0.2","62% (10/16)","9%","Good"
"9","Todd Gurley II",ATL,"at CAR"," 7.6","A","16.9","+0.1","56% (9/16)","21%","Great"
"10","Ezekiel Elliott",DAL,"at PHI"," 5.0","A","16.5","-1.1","43% (7/16)","30%","Good"
"11","Boston Scott",PHI,"vs. DAL"," 5.6","A","16.3","+2.0","31% (5/16)","8%","Average"
"12","Clyde Edwards-Helaire",KC,"vs. NYJ"," 6.8","A-","15.7","-1.5","42% (3/7)","17%","Average"
"13","Josh Jacobs",LV,"at CLE"," 7.0","A-","15.6","-1.9","30% (4/13)","19%","Great"
"14","James Conner",PIT,"at BAL"," 3.6","B+","14.4","-1.8","50% (5/10)","25%","Average"
"15","Myles Gaskin",MIA,"vs. LAR"," 7.2","B+","14.2","+1.5","61% (8/13)","17%","Poor"
"16","Darrell Henderson",LAR,"at MIA"," 9.2","B","13.9","+0.8","40% (6/15)","27%","Good"
"17","Ronald Jones II",TB,"at NYG"," 7.0","B","13.6","+1.0","52% (9/17)","14%","Great"
"18","D'Andre Swift",DET,"vs. IND"," 4.6","B","13.6","+4.8","83% (5/6)","16%","Great"
"19","Melvin Gordon III",DEN,"vs. LAC"," 4.0","B","13.3","+1.5","57% (8/14)","19%","Great"
"20","David Montgomery",CHI,"vs. NO"," 3.2","B","12.3","+0.2","35% (6/17)","17%","Average"
"21","Le'Veon Bell",KC,"vs. NYJ"," 7.0","B","11.8","-3.1","16% (2/12)","3%","Awful"
"22","Leonard Fournette",TB,"at NYG"," 8.4","B-","11.3","-1.3","23% (3/13)","11%","Average"
"23","Devin Singletary",BUF,"vs. NE"," 6.2","B-","10.7","-1.2","43% (7/16)","10%","Poor"
"24","Justin Jackson",LAC,"at DEN"," 4.4","C+","10.3","-0.3","55% (5/9)","2%","Awful"
"25","James White",NE,"at BUF"," 3.8","C+","10.2","+0.2","46% (6/13)","4%","Awful"
"26","J.K. Dobbins",BAL,"vs. PIT"," 5.8","C+","10.1","+0.5","50% (3/6)","6%","Great"
"27","Joshua Kelley",LAC,"at DEN"," 3.4","C+","9.8","+0.3","50% (3/6)","14%","Poor"
"28","Lamical Perine",NYJ,"at KC"," 8.8","C","9.7","0.0","33% (2/6)","4%","Great"
"29","Jerick McKinnon",SF,"at SEA"," 4.0","C","9.1","-0.7","57% (4/7)","9%","Great"
"30","Latavius Murray",NO,"at CHI"," 6.8","C","9.0","+0.7","40% (6/15)","9%","Good"
"31","Damien Harris",NE,"at BUF"," 6.6","C","8.9","-0.1","16% (1/6)","2%","Awful"
"32","Zack Moss",BUF,"vs. NE"," 6.4","C","8.7","-0.4","50% (2/4)","12%","Poor"
"33","JaMycal Hasty",SF,"at SEA"," 4.2","C","8.3","0.0","40% (2/5)","1%","Awful"
"34","Wayne Gallman",NYG,"vs. TB"," 6.2","C","8.2","+0.2","33% (4/12)","8%","Good"
"35","Phillip Lindsay",DEN,"vs. LAC"," 4.8","C","8.0","-2.1","33% (4/12)","13%","Awful"
"36","Malcolm Brown",LAR,"at MIA"," 8.0","C-","7.3","+1.2","46% (7/15)","16%","Great"
"37","Gus Edwards",BAL,"vs. PIT"," 4.4","C-","7.1","+1.5","40% (6/15)","4%","Great"
"38","Nyheim Hines",IND,"at DET"," 8.2","C-","6.9","+1.1","56% (9/16)","10%","Great"
"39","Rex Burkhead",NE,"at BUF"," 5.0","C-","6.8","+1.3","46% (7/15)","13%","Great"
"40","Adrian Peterson",DET,"vs. IND"," 3.8","D+","6.4","+1.7","60% (9/15)","10%","Good"
"41","DeeJay Dallas",SEA,"vs. SF"," 4.8","D","6.3","+0.5","50% (2/4)","1%","Awful"
"42","Frank Gore",NYJ,"at KC"," 9.2","D","6.2","-2.1","23% (4/17)","5%","Awful"
"43","Alexander Mattison",MIN,"at GB"," 9.2","D","5.9","+0.3","50% (6/12)","10%","Average"
"44","Tony Pollard",DAL,"at PHI"," 4.8","D","5.7","+1.6","46% (7/15)","3%","Great"
"45","Brian Hill",ATL,"at CAR"," 7.4","D","5.7","+0.9","43% (7/16)","4%","Great"
"46","Corey Clement",PHI,"vs. DAL"," 7.4","D-","5.6","-1.9","0% (0/6)","1%","Awful"
"47","Travis Homer",SEA,"vs. SF"," 4.0","D-","5.6","+0.5","33% (5/15)","6%","Good"
"48","Matt Breida",MIA,"vs. LAR"," 7.2","F","5.5","-1.7","30% (4/13)","2%","Awful"
"49","Chris Carson",SEA,"vs. SF"," 5.0","D+","5.3","+0.5","53% (7/13)","24%","Great"
"50","Benny Snell Jr.",PIT,"at BAL"," 3.6","F","5.2","+0.1","46% (6/13)","14%","Average"
"51","Tevin Coleman",SF,"at SEA","-","D+","5.1","-2.3","7% (1/13)","5%","Awful"
"52","D'Ernest Johnson",CLE,"vs. LV"," 7.0","F","4.8","-0.6","12% (2/16)","1%","Awful"
"53","Dion Lewis",NYG,"vs. TB"," 4.4","F","4.4","-1.0","25% (4/16)","6%","Great"
"54","Jalen Richard",LV,"at CLE"," 8.6","F","4.3","+0.2","50% (8/16)","4%","Great"
"55","AJ Dillon",GB,"vs. MIN"," 5.2","F","4.1","-0.9","16% (1/6)","0%","Awful"
