"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)"
"1","Kansas City Chiefs",KC,"vs. NYJ"," 7.5","A+","9.4","+1.3","56% (9/16)"
"2","Tampa Bay Buccaneers",TB,"at NYG"," 7.3","A","9.4","+2.3","43% (7/16)"
"3","Philadelphia Eagles",PHI,"vs. DAL"," 7.9","A","8.9","-1.1","40% (6/15)"
"4","Los Angeles Rams",LAR,"at MIA"," 6.0","A-","7.5","+1.0","60% (9/15)"
"5","Los Angeles Chargers",LAC,"at DEN"," 9.9","B+","7.4","-1.5","28% (4/14)"
"6","Buffalo Bills",BUF,"vs. NE"," 9.9","B+","7.3","-0.7","43% (7/16)"
"7","Baltimore Ravens",BAL,"vs. PIT"," 2.8","B","7.2","+4.1","57% (8/14)"
"8","Indianapolis Colts",IND,"at DET"," 3.8","B","6.9","+1.7","46% (7/15)"
"9","New Orleans Saints",NO,"at CHI"," 6.0","B","6.8","-1.3","21% (3/14)"
"10","Tennessee Titans",TEN,"at CIN"," 6.5","B-","6.8","+0.4","50% (7/14)"
"11","Pittsburgh Steelers",PIT,"at BAL"," 7.7","B-","6.7","+2.5","60% (9/15)"
"12","Green Bay Packers",GB,"vs. MIN"," 6.5","C+","6.7","-1.0","28% (4/14)"
"13","New England Patriots",NE,"at BUF"," 2.2","C+","6.5","+1.1","35% (5/14)"
"14","Chicago Bears",CHI,"vs. NO"," 2.0","C","6.4","-1.4","25% (4/16)"
"15","Denver Broncos",DEN,"vs. LAC"," 2.8","C","6.1","0.0","42% (6/14)"
"16","Cleveland Browns",CLE,"vs. LV"," 2.0","C","6.1","-1.4","25% (4/16)"
"17","Seattle Seahawks",SEA,"vs. SF"," 8.9","C-","6.1","+0.6","57% (8/14)"
"18","Las Vegas Raiders",LV,"at CLE"," 2.0","D+","6.0","-2.7","20% (3/15)"
"19","Carolina Panthers",CAR,"vs. ATL"," 2.2","D+","5.8","-3.6","12% (2/16)"
"20","Miami Dolphins",MIA,"vs. LAR"," 6.0","D","5.7","-1.3","26% (4/15)"
"21","Detroit Lions",DET,"vs. IND"," 6.2","D","5.6","-3.3","13% (2/15)"
"22","San Francisco 49ers",SF,"at SEA"," 5.0","D-","5.6","-0.3","35% (6/17)"
"23","New York Giants",NYG,"vs. TB"," 8.5","D-","5.2","-1.5","33% (5/15)"
"24","Dallas Cowboys",DAL,"at PHI"," 6.5","F","4.8","-3.7","20% (3/15)"
"25","Atlanta Falcons",ATL,"at CAR"," 4.8","F","4.8","-0.4","40% (6/15)"
"26","Cincinnati Bengals",CIN,"vs. TEN"," 2.0","F","4.8","-2.7","26% (4/15)"
"27","Minnesota Vikings",MIN,"at GB"," 2.0","F","4.4","-0.1","35% (5/14)"
"28","New York Jets",NYJ,"at KC"," 3.0","F","4.3","+0.1","43% (7/16)"
