"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Dalvin Cook",MIN,"vs. DET"," 7.4","A+","23.0","+1.9","50% (6/12)","24%","Great"
"2","Alvin Kamara",NO,"at TB"," 6.2","A+","22.5","+0.3","40% (6/15)","21%","Great"
"3","Christian McCaffrey",CAR,"at KC"," 9.0","A+","20.8","+2.1","72% (8/11)","22%","Good"
"4","Derrick Henry",TEN,"vs. CHI"," 7.2","A","18.8","+5.1","64% (9/14)","29%","Great"
"5","James Conner",PIT,"at DAL"," 8.2","A","18.3","-2.1","50% (5/10)","25%","Great"
"6","James Robinson",JAC,"vs. HOU"," 9.4","A","17.9","+3.9","57% (4/7)","14%","Great"
"7","Chase Edmonds",ARI,"vs. MIA"," 8.0","A","17.2","+1.5","36% (4/11)","11%","Great"
"8","Antonio Gibson",WAS,"vs. NYG"," 6.0","A","17.0","+1.0","57% (4/7)","14%","Great"
"9","Josh Jacobs",LV,"at LAC"," 4.2","A-","15.3","-1.9","30% (4/13)","25%","Great"
"10","Clyde Edwards-Helaire",KC,"vs. CAR"," 7.8","A-","15.2","-2.5","37% (3/8)","19%","Average"
"11","David Johnson",HOU,"at JAC"," 4.8","A-","14.8","-2.2","21% (3/14)","27%","Good"
"12","Todd Gurley II",ATL,"vs. DEN"," 4.2","A-","14.3","+0.2","56% (9/16)","20%","Great"
"13","Justin Jackson",LAC,"vs. LV"," 7.4","B+","14.3","+0.5","60% (6/10)","2%","Awful"
"14","David Montgomery",CHI,"at TEN"," 5.6","B+","14.1","-0.7","29% (5/17)","20%","Average"
"15","D'Andre Swift",DET,"at MIN"," 4.6","B+","13.2","+3.1","71% (5/7)","15%","Great"
"16","J.K. Dobbins",BAL,"at IND"," 5.4","B","13.2","+1.1","57% (4/7)","6%","Great"
"17","Melvin Gordon III",DEN,"at ATL"," 4.6","B","13.1","+1.2","57% (8/14)","16%","Great"
"18","Leonard Fournette",TB,"vs. NO"," 3.4","B","13.0","-1.5","23% (3/13)","9%","Good"
"19","Aaron Jones",GB,"at SF"," 5.2","B","12.7","+1.9","53% (7/13)","22%","Great"
"20","DeeJay Dallas",SEA,"at BUF"," 6.2","B","12.4","+3.5","60% (3/5)","20%","Poor"
"21","JaMycal Hasty",SF,"vs. GB"," 9.2","B-","12.1","+0.4","50% (3/6)","6%","Average"
"22","Damien Harris",NE,"at NYJ"," 8.0","B-","11.9","+0.9","28% (2/7)","5%","Great"
"23","Zack Moss",BUF,"vs. SEA"," 4.6","C+","11.5","+2.5","60% (3/5)","13%","Good"
"24","Le'Veon Bell",KC,"vs. CAR"," 7.8","C+","11.0","-2.7","16% (2/12)","3%","Awful"
"25","Jonathan Taylor",IND,"vs. BAL"," 3.2","C+","10.0","-2.0","42% (3/7)","20%","Average"
"26","Ronald Jones II",TB,"vs. NO"," 2.8","C+","9.9","+0.6","52% (9/17)","12%","Great"
"27","Jerick McKinnon",SF,"vs. GB"," 8.4","C+","9.7","0.0","62% (5/8)","8%","Great"
"28","Ezekiel Elliott",DAL,"vs. PIT"," 5.2","B-","9.6","-1.5","41% (7/17)","29%","Great"
"29","Phillip Lindsay",DEN,"at ATL"," 4.2","C","9.6","-1.4","41% (5/12)","10%","Average"
"30","Devin Singletary",BUF,"vs. SEA"," 5.2","C","9.0","-1.6","43% (7/16)","9%","Average"
"31","James White",NE,"at NYJ"," 5.6","C","8.9","+0.1","46% (6/13)","4%","Awful"
"32","Wayne Gallman",NYG,"at WAS"," 5.4","C","8.9","+0.5","33% (4/12)","10%","Great"
"33","Jordan Wilkins",IND,"vs. BAL"," 3.0","C","8.8","+1.5","42% (6/14)","5%","Good"
"34","Nyheim Hines",IND,"vs. BAL"," 3.6","C","8.5","+1.8","56% (9/16)","9%","Great"
"35","J.D. McKissic",WAS,"vs. NYG"," 7.8","C","8.4","-0.2","43% (7/16)","5%","Awful"
"36","Lamical Perine",NYJ,"vs. NE"," 7.2","C-","8.0","-0.7","28% (2/7)","4%","Great"
"37","Gus Edwards",BAL,"at IND"," 4.6","C-","7.8","+1.9","43% (7/16)","7%","Great"
"38","Joshua Kelley",LAC,"vs. LV"," 7.6","C-","7.6","-0.5","42% (3/7)","12%","Average"
"39","Tony Pollard",DAL,"vs. PIT"," 5.0","C-","7.5","+1.7","50% (8/16)","3%","Great"
"40","Tyler Ervin",GB,"at SF"," 4.4","C-","7.2","+0.2","33% (3/9)","2%","Awful"
"41","Latavius Murray",NO,"at TB"," 4.8","D","7.2","-0.5","33% (5/15)","8%","Good"
"42","Mike Davis",CAR,"at KC"," 8.6","D+","7.1","0.0","30% (4/13)","20%","Good"
"43","Adrian Peterson",DET,"at MIN"," 5.0","D","7.1","+1.0","53% (8/15)","9%","Great"
"44","Rex Burkhead",NE,"at NYJ"," 7.0","D","6.9","+1.4","46% (7/15)","12%","Great"
