"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Davante Adams",GB,"at SF"," 5.4","A+","23.2","+1.4","61% (8/13)","20%","Great"
"2","DeAndre Hopkins",ARI,"vs. MIA"," 3.6","A+","21.2","-0.2","57% (8/14)","12%","Great"
"3","Julio Jones",ATL,"vs. DEN"," 5.2","A+","20.9","-1.1","38% (5/13)","16%","Average"
"4","Stefon Diggs",BUF,"vs. SEA"," 7.4","A+","19.3","-2.6","25% (4/16)","10%","Good"
"5","Tyreek Hill",KC,"vs. CAR"," 4.2","A+","19.1","-1.1","50% (8/16)","14%","Great"
"6","Keenan Allen",LAC,"vs. LV"," 6.2","A","18.7","-0.2","53% (8/15)","14%","Good"
"7","Tyler Lockett",SEA,"at BUF"," 6.8","A","17.5","-0.5","33% (5/15)","16%","Great"
"8","D.K. Metcalf",SEA,"at BUF"," 7.2","A","17.4","+1.7","46% (7/15)","13%","Great"
"9","Allen Robinson II",CHI,"at TEN"," 6.2","A","17.2","-0.6","47% (8/17)","19%","Good"
"10","Adam Thielen",MIN,"vs. DET"," 4.6","A","17.2","-2.8","27% (3/11)","18%","Great"
"11","Michael Thomas",NO,"at TB"," 5.0","A","16.8","-2.8","66% (6/9)","13%","Awful"
"12","Terry McLaurin",WAS,"vs. NYG"," 6.6","A","16.2","-0.8","35% (5/14)","12%","Good"
"13","Will Fuller V",HOU,"at JAC"," 7.8","A","15.9","-0.5","54% (6/11)","14%","Great"
"14","Robby Anderson",CAR,"at KC"," 4.6","A","15.5","+0.9","58% (10/17)","11%","Poor"
"15","Justin Jefferson",MIN,"vs. DET"," 4.4","A","15.0","+3.8","42% (3/7)","9%","Great"
"16","A.J. Brown",TEN,"vs. CHI"," 6.2","A","15.0","+3.9","69% (9/13)","12%","Great"
"17","D.J. Moore",CAR,"at KC"," 4.4","A-","14.5","0.0","56% (9/16)","10%","Great"
"18","Mike Evans",TB,"vs. NO"," 9.8","A-","14.5","-2.1","46% (6/13)","10%","Great"
"19","Chase Claypool",PIT,"at DAL"," 7.0","A-","14.3","+5.6","71% (5/7)","14%","Great"
"20","Brandin Cooks",HOU,"at JAC"," 7.6","A-","14.1","-0.5","38% (5/13)","11%","Good"
"21","JuJu Smith-Schuster",PIT,"at DAL"," 6.4","A-","13.6","-3.7","33% (4/12)","11%","Great"
"22","Diontae Johnson",PIT,"at DAL"," 7.0","B+","13.6","-0.5","33% (5/15)","9%","Great"
"23","Marquise Brown",BAL,"at IND"," 5.6","B","13.5","-2.5","33% (5/15)","21%","Average"
"24","D.J. Chark Jr.",JAC,"vs. HOU"," 7.4","B","13.5","-2.4","15% (2/13)","13%","Great"
