"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"1","Travis Kelce",KC,"vs. CAR"," 3.8","A+","17.0","+0.5","56% (9/16)","9%","Great"
"2","Darren Waller",LV,"at LAC"," 6.2","A","16.6","-2.0","31% (5/16)","17%","Good"
"3","T.J. Hockenson",DET,"at MIN"," 5.4","A","13.3","+0.5","63% (7/11)","17%","Great"
"4","Mark Andrews",BAL,"at IND"," 5.6","A","12.2","-0.4","53% (8/15)","20%","Great"
"5","Noah Fant",DEN,"at ATL"," 9.4","A-","12.1","+0.7","42% (6/14)","9%","Great"
"6","Rob Gronkowski",TB,"vs. NO"," 5.8","A-","12.1","+0.6","50% (4/8)","12%","Great"
"7","Hunter Henry",LAC,"vs. LV"," 6.2","B+","11.6","-2.5","33% (5/15)","9%","Average"
"8","Hayden Hurst",ATL,"vs. DEN"," 5.4","B-","11.5","-0.1","35% (6/17)","7%","Great"
"9","Jonnu Smith",TEN,"vs. CHI"," 6.8","C+","11.5","-0.1","40% (6/15)","12%","Great"
"10","Jared Cook",NO,"at TB"," 4.2","C+","10.3","+2.4","64% (9/14)","11%","Great"
"11","Robert Tonyan",GB,"at SF"," 6.4","C","9.8","+2.3","42% (6/14)","6%","Great"
"12","Evan Engram",NYG,"at WAS"," 7.6","C","9.7","-1.9","33% (3/9)","10%","Average"
"13","Eric Ebron",PIT,"at DAL"," 8.6","C","9.5","-0.7","50% (5/10)","12%","Good"
"14","Jimmy Graham",CHI,"at TEN"," 8.0","C-","8.8","+0.5","37% (6/16)","18%","Great"
"15","Mike Gesicki",MIA,"at ARI"," 5.4","D+","8.8","+0.5","37% (6/16)","12%","Good"
"16","Logan Thomas",WAS,"vs. NYG"," 6.0","D+","8.7","+0.6","40% (6/15)","9%","Great"
"17","Trey Burton",IND,"vs. BAL"," 4.4","D+","8.7","+2.6","80% (4/5)","14%","Great"
"18","Jordan Reed",SF,"vs. GB"," 7.6","D","8.1","+2.5","33% (1/3)","8%","Good"
"19","Irv Smith Jr.",MIN,"vs. DET"," 4.2","D","7.2","-0.4","40% (6/15)","8%","Awful"
"20","Dalton Schultz",DAL,"vs. PIT"," 2.8","D","7.1","+0.9","31% (5/16)","6%","Great"
"21","Greg Olsen",SEA,"at BUF"," 6.0","F","6.6","-1.1","28% (4/14)","7%","Average"
"22","Jordan Akins",HOU,"at JAC"," 7.4","D-","6.3","+1.0","50% (6/12)","6%","Good"
"23","Ross Dwelley",SF,"vs. GB"," 8.2","D-","6.0","+0.8","29% (5/17)","4%","Good"
"24","Albert Okwuegbunam",DEN,"at ATL"," 9.2","F","6.0","+2.1","50% (3/6)","10%","Poor"
"25","Darren Fells",HOU,"at JAC"," 7.2","F","5.4","-0.8","33% (5/15)","6%","Great"
"26","Jack Doyle",IND,"vs. BAL"," 4.6","F","5.4","-1.9","33% (5/15)","4%","Great"
"27","Ian Thomas",CAR,"at KC"," 6.2","F","5.3","-0.6","29% (5/17)","4%","Great"
"28","Mo Alie-Cox",IND,"vs. BAL"," 4.6","F","5.1","+0.5","50% (7/14)","9%","Great"
"29","Will Dissly",SEA,"at BUF"," 6.2","F","5.1","+0.4","42% (3/7)","4%","Good"
"30","Kyle Rudolph",MIN,"vs. DET"," 4.2","F","5.0","+0.9","46% (7/15)","4%","Great"
"31","Tyler Eifert",JAC,"vs. HOU"," 8.2","F","4.8","0.0","35% (5/14)","16%","Poor"
"32","Anthony Firkser",TEN,"vs. CHI"," 7.0","F","4.6","+0.6","42% (6/14)","4%","Great"
"33","Chris Herndon IV",NYJ,"vs. NE"," 3.8","F","4.5","-4.6","0% (0/9)","2%","Awful"
"34","Tyler Kroft",BUF,"vs. SEA"," 7.2","F","4.3","-0.1","23% (4/17)","6%","Great"
"35","James O'Shaughnessy",JAC,"vs. HOU"," 7.8","F","4.3","+0.1","57% (4/7)","1%","Awful"
"36","Cameron Brate",TB,"vs. NO"," 4.8","F","4.2","-0.2","41% (7/17)","3%","Great"
"37","Dan Arnold",ARI,"vs. MIA"," 3.8","F","3.8","0.0","45% (5/11)","5%","Awful"
"38","Cole Kmet",CHI,"at TEN"," 8.0","F","3.7","+0.1","25% (2/8)","2%","Great"
"39","Dawson Knox",BUF,"vs. SEA"," 7.0","F","3.6","-0.8","23% (3/13)","3%","Awful"
"40","Jace Sternberger",GB,"at SF"," 5.4","F","3.6","-0.2","21% (3/14)","3%","Great"
"41","Ryan Izzo",NE,"at NYJ"," 7.2","F","3.6","-1.4","27% (3/11)","3%","Awful"
"42","Nick Boyle",BAL,"at IND"," 6.2","F","3.5","+0.8","37% (6/16)","5%","Great"
"43","Jason Witten",LV,"at LAC"," 6.4","F","3.4","+0.2","37% (6/16)","6%","Good"
"44","Adam Shaheen",MIA,"at ARI"," 6.2","F","3.4","+0.7","37% (3/8)","10%","Good"
"45","Jesse James",DET,"at MIN"," 5.4","F","3.4","-0.7","18% (3/16)","7%","Average"
"46","Vance McDonald",PIT,"at DAL"," 7.8","F","3.3","-1.5","13% (2/15)","1%","Awful"
"47","Kaden Smith",NYG,"at WAS"," 6.2","F","3.2","+1.3","40% (6/15)","5%","Awful"
"48","Foster Moreau",LV,"at LAC"," 6.0","F","3.1","+0.4","38% (5/13)","7%","Good"
"49","Jacob Hollister",SEA,"at BUF"," 6.6","F","3.1","+1.4","40% (6/15)","5%","Good"
"50","Durham Smythe",MIA,"at ARI"," 6.2","F","3.0","+0.4","42% (6/14)","5%","Great"
"51","Donald Parham Jr.",LAC,"vs. LV"," 5.8","F","3.0","+1.2","28% (2/7)","12%","Good"
"52","Ryan Griffin",NYJ,"vs. NE"," 3.8","F","3.0","-0.3","38% (5/13)","1%","Awful"
"53","Darrell Daniels",ARI,"vs. MIA"," 4.2","F","2.9","0.0","21% (3/14)","0%","N/A"
"54","Chris Manhertz",CAR,"at KC"," 6.4","F","2.8","-0.4","25% (4/16)","0%","N/A"
"55","Josh Hill",NO,"at TB"," 5.2","F","2.5","-0.4","20% (3/15)","1%","Awful"
"56","Demetrius Harris",CHI,"at TEN"," 8.0","F","2.5","-0.4","33% (5/15)","2%","Awful"
"57","Nick Keizer",KC,"vs. CAR"," 3.8","F","2.3","-0.5","14% (1/7)","1%","Awful"
"58","Nick Vannett",DEN,"at ATL"," 9.6","F","2.3","-0.5","33% (5/15)","4%","Awful"
"59","Adam Trautman",NO,"at TB"," 5.2","F","2.3","-1.3","28% (2/7)","2%","Awful"
"60","Jeremy Sprinkle",WAS,"vs. NYG"," 5.6","F","2.2","-0.5","20% (3/15)","0%","N/A"
"61","Marcedes Lewis",GB,"at SF"," 5.4","F","2.2","-0.6","15% (2/13)","5%","Great"
"62","Blake Bell",DAL,"vs. PIT"," 3.0","F","2.2","0.0","26% (4/15)","2%","Awful"
"63","Luke Stocker",ATL,"vs. DEN"," 5.0","F","2.1","-1.4","14% (2/14)","4%","Awful"
"64","MyCole Pruitt",TEN,"vs. CHI"," 6.8","F","2.1","-0.2","35% (5/14)","11%","Poor"
"65","Tanner Hudson",TB,"vs. NO"," 6.2","F","2.1","-","-","4%","Awful"
"66","Deon Yelder",KC,"vs. CAR"," 3.8","F","2.0","-0.4","20% (3/15)","0%","N/A"
"67","Charlie Woerner",SF,"vs. GB"," 8.2","F","2.0","-1.0","0% (0/8)","0%","N/A"
"68","Levine Toilolo",NYG,"at WAS"," 7.6","F","2.0","-0.9","12% (2/16)","0%","Awful"
"69","Tyler Conklin",MIN,"vs. DET"," 4.4","F","2.0","-0.2","21% (3/14)","0%","N/A"
"70","Jaeden Graham",ATL,"vs. DEN"," 5.0","F","2.0","-0.7","20% (3/15)","0%","Awful"
"71","Temarrick Hemingway",WAS,"vs. NYG"," 5.6","F","1.9","-","-","0%","N/A"
"72","Lee Smith",BUF,"vs. SEA"," 7.0","F","1.8","-0.4","7% (1/14)","12%","Poor"
"73","Gabe Nabers",LAC,"vs. LV"," 5.8","F","1.8","-","-","7%","Good"
"74","Isaac Nauta",DET,"at MIN"," 5.4","F","1.8","-0.2","22% (2/9)","0%","N/A"
"75","Colin Thompson",CAR,"at KC","-","F","1.7","-","-","0%","N/A"
"76","Maxx Williams",ARI,"vs. MIA","-","F","1.6","-1.0","9% (1/11)","0%","N/A"
"77","Dalton Keene",NE,"at NYJ","-","F","1.5","-","-","0%","Awful"
"78","Tyler Davis",JAC,"vs. HOU"," 8.0","F","1.5","-","-","0%","N/A"
"79","Jake Butt",DEN,"at ATL","-","F","1.4","-1.3","14% (1/7)","5%","Awful"
"80","Luke Willson",SEA,"at BUF"," 6.6","F","1.3","-1.0","0% (0/10)","0%","N/A"
"81","Trevon Wesco",NYJ,"vs. NE"," 3.8","F","1.2","-0.2","18% (3/16)","4%","Awful"
"82","Geoff Swaim",TEN,"vs. CHI","-","F","1.2","-0.6","11% (1/9)","0%","Awful"
"83","Stephen Anderson",LAC,"vs. LV","-","F","1.1","-0.3","0% (0/5)","0%","N/A"
"84","J.P. Holtz",CHI,"at TEN"," 8.0","F","1.1","-0.5","6% (1/16)","0%","N/A"
"85","Ben Ellefson",JAC,"vs. HOU","-","F","1.1","-","-","0%","N/A"
"86","Pharaoh Brown",HOU,"at JAC"," 6.8","F","1.1","-","-","3%","Awful"
"87","Derek Carrier",LV,"at LAC"," 6.0","F","1.0","-0.2","20% (3/15)","0%","N/A"
"88","Marcus Baugh",WAS,"vs. NYG","-","F","0.9","-0.7","25% (1/4)","5%","Awful"
"89","Antony Auclair",TB,"vs. NO","-","F","0.9","-0.8","0% (0/7)","0%","N/A"
"90","Sean McKeon",DAL,"vs. PIT"," 3.0","F","0.7","-0.7","0% (0/5)","0%","N/A"
"91","Eric Saubert",JAC,"vs. HOU","-","F","0.5","-0.1","16% (1/6)","0%","N/A"
"92","Daniel Helm",SF,"vs. GB","-","F","0.4","-","-","0%","N/A"
