Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
93,Isaiah McKenzie,BUF,MIA,68,97,92.1,3.7,4.3
94,Chester Rogers,IND,HOU,77,107,92.5,8.8,3.9
95,Cordarrelle Patterson,CHI,NO,83,112,98.9,5.4,3.9
96,Allen Hurns,MIA,BUF,90,106,97.2,3.4,3.9
97,Damion Willis,CIN,JAC,89,106,97.2,3.8,3.7
98,Chris Moore,BAL,SEA,85,118,98.6,5.9,3.4
99,Josh Reynolds,LAR,ATL,81,113,96.8,7.2,3.7
100,Steven Sims,WAS,SF,91,112,101.7,4.6,3.5
101,Justin Hardy,ATL,LAR,74,117,101.8,7.0,3.6
102,Cedrick Wilson,DAL,PHI,84,115,100.9,8.3,3.6
103,Marquise Brown,BAL,SEA,42,124,80.3,22.7,3.4
104,Robert Foster,BUF,MIA,59,111,96.2,14.2,3.3
105,Tajae Sharpe,TEN,LAC,96,109,103.5,2.5,3.3
106,Deebo Samuel,SF,WAS,42,89,60.5,17.7,3.7
107,Geremy Davis,LAC,TEN,93,110,103.7,4.6,3.0
108,Keelan Doss,OAK,GB,86,131,105.2,10.0,3.0
109,Javon Wims,CHI,NO,93,118,104.8,6.6,2.9
110,Ryan Grant,GB,OAK,78,119,99.3,12.2,2.7
111,Darrius Shepherd,GB,OAK,89,123,105.8,7.0,2.6
112,Andy Isabella,ARI,NYG,93,127,111.4,7.6,2.5
113,Keelan Cole,JAC,CIN,92,119,108.2,7.1,2.5
114,Kelvin Harmon,WAS,SF,93,114,108.8,5.5,2.4
115,Marvin Hall,DET,MIN,96,128,112.6,9.2,2.3
116,Malik Turner,SEA,BAL,95,113,108.8,4.0,2.2
117,Austin Carr,NO,CHI,93,123,111.1,9.6,2.2
118,Laquon Treadwell,MIN,DET,100,117,113.8,1.8,2.2
119,Gunner Olszewski,NE,NYJ,102,126,115.8,7.1,2.2
120,De'Anthony Thomas,KC,DEN,96,124,119.0,5.1,2.1
121,J.J. Arcega-Whiteside,PHI,DAL,102,125,119.1,5.7,2.0
122,Cody Core,NYG,ARI,110,128,121.5,5.2,2.0
123,Fred Brown,DEN,KC,105,132,120.3,10.1,1.8
124,Braxton Berrios,NYJ,NE,102,129,120.6,3.8,1.7
125,Andre Roberts,BUF,MIA,110,128,120.7,5.3,1.7
126,Isaiah Ford,MIA,BUF,100,129,122.1,5.3,1.5
127,Darius Jennings,TEN,LAC,109,126,122.6,3.8,1.3
128,Russell Gage,ATL,LAR,112,130,121.2,5.2,1.3
129,Jakeem Grant,MIA,BUF,111,122,116.0,4.1,1.4
130,Lil'Jordan Humphrey,NO,CHI,101,134,126.6,8.3,1.2
131,Deonte Harris,NO,CHI,121,130,124.2,3.4,1.3
132,Josh Bellamy,NYJ,NE,117,130,126.8,3.8,1.2
133,Vyncint Smith,NYJ,NE,102,133,128.1,3.9,1.2
134,Diontae Spencer,DEN,KC,119,133,125.7,5.7,1.2
135,Jason Moore,LAC,TEN,116,134,128.3,7.2,1.1
136,DeAndre Carter,HOU,IND,118,131,126.3,5.9,1.1
137,Andre Patton,LAC,TEN,116,135,128.0,8.5,1.1
138,Dwayne Harris,OAK,GB,124,128,126.0,2.0,1.1
139,Jordan Matthews,SF,WAS,129,133,131.0,2.0,0.7
