Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Justin Hunter,PIT,0.0,0.0,0.0,0.4,5.7,0.1,0.0,1.3
Chad Hansen,NYJ,0.0,0.0,0.0,0.5,6.3,0.0,0.0,1.3
Sammie Coates,CLE,0.0,0.1,0.0,0.5,7.3,0.0,0.0,1.2
Tanner McEvoy,SEA,0.0,0.0,0.0,0.4,5.5,0.0,0.0,1.2
Brittan Golden,ARI,0.0,0.0,0.0,0.5,4.9,0.0,0.0,1.2
Brian Quick,WAS,0.0,0.0,0.0,0.4,5.4,0.0,0.0,1.2
Darrius Heyward-Bey,PIT,0.0,0.4,0.0,0.3,5.3,0.0,0.0,1.0
Jared Abbrederis,DET,0.0,0.1,0.0,0.4,4.6,0.0,0.0,0.9
Damiere Byrd,CAR,0.0,0.0,0.0,0.4,4.8,0.0,0.0,0.9
Tanner Gentry,CHI,0.0,0.0,0.0,0.4,5.0,0.0,0.0,0.9
Brandon Tate,BUF,0.0,0.1,0.0,0.4,4.6,0.0,0.0,0.9
Austin Carr,NO,0.0,0.0,0.0,0.4,4.7,0.0,0.0,0.9
Tavarres King,NYG,0.0,0.0,0.0,0.3,4.5,0.0,0.0,0.9
De'Anthony Thomas,KC,0.1,0.6,0.0,0.4,3.8,0.0,0.0,0.9
Kaelin Clay,BUF,0.0,0.0,0.0,0.3,4.2,0.0,0.0,0.8
Andre Roberts,ATL,0.0,0.0,0.0,0.3,4.6,0.0,0.0,0.8
Dwayne Harris,NYG,0.0,0.0,0.0,0.4,4.0,0.0,0.0,0.8
Trevor Davis,GB,0.0,0.0,0.0,0.3,3.7,0.0,0.0,0.8
Cody Latimer,DEN,0.0,0.0,0.0,0.3,3.6,0.0,0.0,0.7
Demarcus Robinson,KC,0.0,0.0,0.0,0.3,3.7,0.0,0.0,0.7
Amara Darboh,SEA,0.0,0.0,0.0,0.3,3.8,0.0,0.0,0.7
Leonte Carroo,MIA,0.0,0.0,0.0,0.3,3.4,0.0,0.0,0.7
Mack Hollins,PHI,0.0,0.0,0.0,0.3,3.4,0.0,0.0,0.7
Jeff Janis,GB,0.0,0.1,0.0,0.3,3.4,0.0,0.0,0.7
Alex Erickson,CIN,0.0,0.0,0.0,0.3,3.4,0.0,0.0,0.7
Stacy Coley,MIN,0.0,0.0,0.0,0.3,3.5,0.0,0.0,0.7
Andy Jones,HOU,0.0,0.0,0.0,0.3,3.5,0.0,0.0,0.7
Rodney Adams,MIN,0.0,0.0,0.0,0.3,3.5,0.0,0.0,0.7
Jehu Chesson,KC,0.0,0.0,0.0,0.3,3.4,0.0,0.0,0.6
Shelton Gibson,PHI,0.0,0.0,0.0,0.3,3.4,0.0,0.0,0.6
Geremy Davis,LAC,0.0,0.0,0.0,0.3,2.7,0.0,0.0,0.6
Tre McBride,CHI,0.0,0.0,0.0,0.3,2.8,0.0,0.0,0.6
Johnny Holton,OAK,0.0,0.1,0.0,0.2,3.1,0.0,0.0,0.6
Ryan Switzer,DAL,0.0,0.0,0.0,0.2,2.9,0.0,0.0,0.6
Matt Hazel,IND,0.0,0.0,0.0,0.2,2.8,0.0,0.0,0.5
Josh Malone,CIN,0.0,0.0,0.0,0.2,3.2,0.0,0.0,0.5
Eric Weems,TEN,0.0,0.0,0.0,0.2,2.4,0.0,0.0,0.5
Jakeem Grant,MIA,0.0,0.0,0.0,0.2,2.7,0.0,0.0,0.5
Noah Brown,DAL,0.0,0.0,0.0,0.2,2.8,0.0,0.0,0.5
Isaiah McKenzie,DEN,0.0,0.0,0.0,0.2,2.5,0.0,0.0,0.5
Chris Moore,BAL,0.0,0.1,0.0,0.2,2.3,0.0,0.0,0.5
Josh Reynolds,LAR,0.0,0.0,0.0,0.2,2.5,0.0,0.0,0.5
Kalif Raymond,NYJ,0.0,0.0,0.0,0.1,1.9,0.0,0.0,0.4
Vince Mayle,BAL,0.0,0.0,0.0,0.1,1.7,0.0,0.0,0.4
Chris Matthews,BAL,0.0,0.0,0.0,0.2,1.7,0.0,0.0,0.4
Matt Slater,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.D. McKissic,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Johnson,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Martino,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashad Greene,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Ellington,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Floyd,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter Powell,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalin Marshall,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dom Williams,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rashawn Scott,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
