Name_ID,ID,Pos
Bills  (20058710),20058710,DST
Cardinals  (20058711),20058711,DST
Steelers  (20058709),20058709,DST
Colts  (20058712),20058712,DST
Buccaneers  (20058713),20058713,DST
Cowboys  (20058717),20058717,DST
Saints  (20058716),20058716,DST
Patriots  (20058714),20058714,DST
Browns  (20058720),20058720,DST
Titans  (20058722),20058722,DST
Broncos  (20058715),20058715,DST
Eagles  (20058721),20058721,DST
Panthers  (20058724),20058724,DST
Packers  (20058718),20058718,DST
Chargers  (20058719),20058719,DST
Vikings  (20058726),20058726,DST
Jaguars  (20058728),20058728,DST
Seahawks  (20058723),20058723,DST
Lions  (20058727),20058727,DST
Falcons  (20058725),20058725,DST
WAS Football Team  (20058729),20058729,DST
Jets  (20058730),20058730,DST
Josh Allen (20057691),20057691,QB
Tom Brady (20057692),20057692,QB
Dak Prescott (20057695),20057695,QB
Justin Herbert (20057693),20057693,QB
Aaron Rodgers (20057694),20057694,QB
Jalen Hurts (20057697),20057697,QB
Russell Wilson (20057696),20057696,QB
Mason Rudolph (20057731),20057731,QB
Carson Wentz (20057701),20057701,QB
Matt Ryan (20057700),20057700,QB
Kirk Cousins (20057699),20057699,QB
Colt McCoy (20057716),20057716,QB
Ryan Tannehill (20057698),20057698,QB
Teddy Bridgewater (20057703),20057703,QB
Taylor Heinicke (20057704),20057704,QB
Mac Jones (20057708),20057708,QB
Trevor Lawrence (20057706),20057706,QB
Baker Mayfield (20057705),20057705,QB
Trevor Siemian (20057710),20057710,QB
Jared Goff (20057712),20057712,QB
Mike White (20057714),20057714,QB
P.J. Walker (20057715),20057715,QB
Taysom Hill (20057711),20057711,QB
Davante Adams (20058037),20058037,WR
Jonathan Taylor (20057771),20057771,RB
Dalvin Cook (20057773),20057773,RB
Christian McCaffrey (20057767),20057767,RB
Austin Ekeler (20057777),20057777,RB
Najee Harris (20057775),20057775,RB
Stefon Diggs (20058045),20058045,WR
Ezekiel Elliott (20057783),20057783,RB
A.J. Brown (20058039),20058039,WR
Mike Evans (20058053),20058053,WR
Justin Jefferson (20058041),20058041,WR
DK Metcalf (20058057),20058057,WR
Keenan Allen (20058049),20058049,WR
CeeDee Lamb (20058051),20058051,WR
Michael Pittman Jr. (20058071),20058071,WR
Aaron Jones (20057785),20057785,RB
Cordarrelle Patterson (20057789),20057789,RB
Chris Godwin (20058047),20058047,WR
D'Andre Swift (20057787),20057787,RB
Terry McLaurin (20058043),20058043,WR
James Conner (20057791),20057791,RB
Tyler Lockett (20058065),20058065,WR
Amari Cooper (20058073),20058073,WR
Diontae Johnson (20058055),20058055,WR
Mike Williams (20058063),20058063,WR
Leonard Fournette (20057795),20057795,RB
Adam Thielen (20058061),20058061,WR
D'Ernest Johnson (20057839),20057839,RB
DJ Moore (20058069),20058069,WR
Kyle Pitts (20058457),20058457,TE
James Robinson (20057793),20057793,RB
Jerry Jeudy (20058091),20058091,WR
Emmanuel Sanders (20058083),20058083,WR
T.J. Hockenson (20058459),20058459,TE
Michael Carter (20057801),20057801,RB
Cole Beasley (20058093),20058093,WR
Mark Ingram II (20057849),20057849,RB
DeVonta Smith (20058079),20058079,WR
Melvin Gordon III (20057809),20057809,RB
Dalton Schultz (20058461),20058461,TE
Jarvis Landry (20058095),20058095,WR
Courtland Sutton (20058085),20058085,WR
Christian Kirk (20058087),20058087,WR
Marvin Jones Jr. (20058081),20058081,WR
Russell Gage (20058099),20058099,WR
Rhamondre Stevenson (20057853),20057853,RB
Dallas Goedert (20058463),20058463,TE
Dawson Knox (20058467),20058467,TE
Javonte Williams (20057823),20057823,RB
J.D. McKissic (20057811),20057811,RB
Noah Fant (20058471),20058471,TE
Alex Collins (20057813),20057813,RB
Tim Patrick (20058101),20058101,WR
Corey Davis (20058105),20058105,WR
T.Y. Hilton (20058113),20058113,WR
Jakobi Meyers (20058107),20058107,WR
Jamison Crowder (20058109),20058109,WR
Dan Arnold (20058481),20058481,TE
Devin Singletary (20057841),20057841,RB
Marquez Callaway (20058097),20058097,WR
Hunter Henry (20058473),20058473,TE
Zach Ertz (20058465),20058465,TE
Elijah Moore (20058115),20058115,WR
Antonio Gibson (20057805),20057805,RB
A.J. Green (20058117),20058117,WR
Pat Freiermuth (20058477),20058477,TE
Nyheim Hines (20057825),20057825,RB
Donovan Peoples-Jones (20058111),20058111,WR
Zack Moss (20057817),20057817,RB
Michael Gallup (20058143),20058143,WR
Zach Pascal (20058123),20058123,WR
Tyler Conklin (20058483),20058483,TE
Laviska Shenault Jr. (20058119),20058119,WR
Tony Pollard (20057843),20057843,RB
Robby Anderson (20058133),20058133,WR
Tre'Quan Smith (20058137),20058137,WR
Jordan Howard (20057831),20057831,RB
Jamal Agnew (20058125),20058125,WR
Jeremy McNichols (20057803),20057803,RB
AJ Dillon (20057833),20057833,RB
Rondale Moore (20058131),20058131,WR
James Washington (20058165),20058165,WR
Tyler Johnson (20058173),20058173,WR
Kalif Raymond (20058103),20058103,WR
Tajae Sharpe (20058147),20058147,WR
Nelson Agholor (20058141),20058141,WR
Adrian Peterson (20057827),20057827,RB
Amon-Ra St. Brown (20058149),20058149,WR
Boston Scott (20057829),20057829,RB
Allen Lazard (20058127),20058127,WR
Kendrick Bourne (20058121),20058121,WR
Randall Cobb (20058135),20058135,WR
Ray-Ray McCloud III (20058201),20058201,WR
Marquez Valdes-Scantling (20058161),20058161,WR
Anthony Schwartz (20058313),20058313,WR
Quez Watkins (20058153),20058153,WR
Jared Cook (20058487),20058487,TE
Marcus Johnson (20058379),20058379,WR
Trinity Benson (20058335),20058335,WR
Ricky Seals-Jones (20058479),20058479,TE
Mike Davis (20057845),20057845,RB
K.J. Osborn (20058167),20058167,WR
Adam Trautman (20058495),20058495,TE
Deonte Harris (20058145),20058145,WR
David Njoku (20058489),20058489,TE
Brandon Bolden (20057861),20057861,RB
Freddie Swain (20058205),20058205,WR
Adam Humphries (20058159),20058159,WR
D'Onta Foreman (20057979),20057979,RB
DeAndre Carter (20058411),20058411,WR
Jalen Reagor (20058163),20058163,WR
Ty Johnson (20057857),20057857,RB
Austin Hooper (20058499),20058499,TE
Kenneth Gainwell (20057837),20057837,RB
Eno Benjamin (20057859),20057859,RB
Ryan Griffin (20058699),20058699,TE
Carlos Hyde (20057821),20057821,RB
Giovani Bernard (20057863),20057863,RB
Donald Parham Jr. (20058511),20058511,TE
Hayden Hurst (20058501),20058501,TE
Ronald Jones II (20058035),20058035,RB
Nick Westbrook-Ikhine (20058183),20058183,WR
Alexander Mattison (20057847),20057847,RB
Olamide Zaccheaus (20058129),20058129,WR
Keelan Cole Sr. (20058189),20058189,WR
Kenny Stills (20058181),20058181,WR
Cedrick Wilson (20058157),20058157,WR
Chuba Hubbard (20057807),20057807,RB
Jalen Guyton (20058155),20058155,WR
Mo Alie-Cox (20058491),20058491,TE
Chester Rogers (20058195),20058195,WR
Rashaad Penny (20057869),20057869,RB
Jack Doyle (20058493),20058493,TE
O.J. Howard (20058505),20058505,TE
Albert Okwuegbunam (20058485),20058485,TE
Gerald Everett (20058509),20058509,TE
Jermar Jefferson (20057947),20057947,RB
Tommy Tremble (20058529),20058529,TE
Anthony Firkser (20058513),20058513,TE
Geoff Swaim (20058515),20058515,TE
DeAndre Hopkins (20058059),20058059,WR
Joshua Kelley (20057907),20057907,RB
Jaret Patterson (20058003),20058003,RB
Cameron Brate (20058503),20058503,TE
Joshua Palmer (20058277),20058277,WR
Ashton Dulin (20058357),20058357,WR
Braxton Berrios (20058439),20058439,WR
Marcedes Lewis (20058541),20058541,TE
KhaDarel Hodge (20058333),20058333,WR
Greg Ward (20058187),20058187,WR
Eric Ebron (20058497),20058497,TE
Josiah Deguara (20058545),20058545,TE
Denzel Mims (20058437),20058437,WR
Equanimeous St. Brown (20058177),20058177,WR
J.J. Taylor (20057867),20057867,RB
Ameer Abdullah (20057891),20057891,RB
Ian Thomas (20058521),20058521,TE
Harrison Bryant (20058611),20058611,TE
Dee Eskridge (20058209),20058209,WR
Travis Homer (20057851),20057851,RB
Larry Rountree III (20058033),20058033,RB
Tevin Coleman (20058013),20058013,RB
