Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Jacksonville Jaguars,JAC,3.3,1.1,0.7,1.3,0.2,0.0,0.1,19.6,299.9,9.4
Tennessee Titans,TEN,2.6,1.5,0.6,0.9,0.2,0.0,0.0,17.9,290.7,9.2
Los Angeles Rams,LAR,3.0,1.2,0.7,1.2,0.2,0.0,0.0,19.3,339.5,9.1
Buffalo Bills,BUF,2.2,1.3,0.7,1.2,0.2,0.0,0.0,19.9,367.5,8.4
Minnesota Vikings,MIN,2.5,1.2,0.7,1.1,0.2,0.0,0.0,15.7,286.5,8.4
Miami Dolphins,MIA,2.8,1.0,0.7,1.3,0.2,0.0,0.0,17.8,326.3,8.3
Carolina Panthers,CAR,2.6,0.8,0.8,1.5,0.2,0.0,0.1,18.5,304.7,8.3
Seattle Seahawks,SEA,2.4,1.1,0.7,1.1,0.2,0.0,0.0,16.5,297.6,8.3
Pittsburgh Steelers,PIT,2.7,0.9,0.8,1.2,0.2,0.0,0.0,16.9,313.8,8.0
New Orleans Saints,NO,2.4,1.3,0.6,1.2,0.2,0.0,0.0,22.2,362.3,7.5
New York Giants,NYG,2.3,0.9,0.6,1.1,0.2,0.0,0.0,19.9,326.4,7.5
Los Angeles Chargers,LAC,2.8,1.0,0.7,1.1,0.2,0.0,0.0,20.9,343.0,7.3
Dallas Cowboys,DAL,2.8,1.1,0.6,1.0,0.2,0.0,0.0,20.8,325.8,7.2
Denver Broncos,DEN,2.4,1.1,0.6,0.9,0.2,0.0,0.0,20.2,325.0,6.9
Philadelphia Eagles,PHI,2.0,0.8,0.9,1.7,0.2,0.0,0.0,21.0,370.0,6.7
New York Jets,NYJ,1.8,0.9,0.5,0.8,0.2,0.0,0.0,18.9,297.9,6.6
Washington Redskins,WAS,2.4,0.8,0.7,1.3,0.2,0.0,0.0,26.2,364.7,6.6
Chicago Bears,CHI,2.6,0.8,0.7,0.9,0.1,0.0,0.0,22.6,345.3,6.5
Baltimore Ravens,BAL,2.0,0.9,0.7,1.2,0.2,0.0,0.0,20.2,312.4,6.3
Cincinnati Bengals,CIN,2.1,1.1,0.4,0.6,0.2,0.0,0.0,21.8,341.9,6.1
Kansas City Chiefs,KC,2.1,0.8,0.6,1.0,0.2,0.0,0.0,22.8,344.6,6.0
Arizona Cardinals,ARI,1.7,0.7,0.7,1.3,0.2,0.0,0.0,24.3,328.5,5.9
Indianapolis Colts,IND,1.8,0.9,0.6,0.9,0.1,0.0,0.0,24.9,390.7,5.7
Tampa Bay Buccaneers,TB,2.3,0.7,0.5,0.7,0.2,0.0,0.0,24.4,360.4,5.6
Green Bay Packers,GB,1.7,0.8,0.6,1.0,0.2,0.0,0.1,26.0,403.8,5.6
New England Patriots,NE,1.9,0.7,0.5,0.7,0.1,0.0,0.0,26.8,411.6,5.2
Cleveland Browns,CLE,1.6,0.8,0.5,0.8,0.1,0.0,0.0,25.6,370.3,5.0
Atlanta Falcons,ATL,1.8,0.5,0.6,1.1,0.1,0.0,0.1,31.0,428.2,4.9
Oakland Raiders,OAK,2.1,0.4,0.6,0.9,0.1,0.0,0.0,27.6,407.5,4.8
San Francisco 49ers,SF,1.7,0.5,0.5,0.9,0.1,0.0,0.0,28.2,399.5,4.5
