Miles Boykin,1.2,BAL
Willie Snead IV,1.2,BAL
Chris Moore,0.0001,BAL
Ian Thomas,1.15,CAR
Curtis Samuel,0.0001,CAR
Seth Roberts,3,CAR
Cordarrelle Patterson,0.7,CHI
Riley Ridley,0.0001,CHI
A.J. Green,1.15,CIN
Auden Tate,0.0001,CIN
Rashard Higgins,1.65,CLE
DaeSean Hamilton,1.2,DEN
Nick Vannett,2,DEN
Phillip Lindsay,1.1,DEN
Danny Amendola,1.2,DET
Marvin Jones Jr.,1.15,DET
Equanimeous St. Brown,3,GB
Malik Taylor,3,GB
Darrius Shepherd,1.75,GB
Duke Johnson Jr.,1.15,HOU
Jonathan Taylor,1.1,IND
Chris Conley,0.7,JAC
Tyler Eifert,1.2,JAC
Damien Harris,1.15,NE
Breshad Perriman,1.6,NYJ
John Hightower,1.35,PHI
Chase Claypool,0.9,PIT
James Washington,1.2,PIT
Adam Humphries,1.1,TEN
Kalif Raymond,1.2,TEN
Dontrelle Inman,1.1,WAS
Isaiah Wright,1.3,WAS
Darren Fells,1.1,HOU
Zach Ertz,1.05,PHI
Julio Jones,1.1,ATL
Aaron Jones,1.05,BAL
