Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Dalvin Cook,MIN,DET,1,4,1.6,0.7,21.8
2,Leonard Fournette,JAC,CIN,1,3,2.0,0.8,18.8
3,Saquon Barkley,NYG,ARI,1,6,2.6,0.7,17.4
4,Ezekiel Elliott,DAL,PHI,3,7,4.2,0.7,17.4
5,Chris Carson,SEA,BAL,2,8,5.2,0.8,17.0
6,David Johnson,ARI,NYG,5,13,6.3,1.4,16.7
7,Derrick Henry,TEN,LAC,4,11,7.7,1.2,16.4
8,Le'Veon Bell,NYJ,NE,5,24,7.9,2.3,15.7
9,Josh Jacobs,OAK,GB,6,22,10.4,2.5,15.3
10,Aaron Jones,GB,OAK,6,23,10.5,2.4,15.2
11,Phillip Lindsay,DEN,KC,8,15,10.8,1.3,14.1
12,Mark Ingram,BAL,SEA,8,25,12.3,1.7,14.0
13,Marlon Mack,IND,HOU,7,26,13.0,2.6,13.7
14,Devonta Freeman,ATL,LAR,11,21,15.0,1.9,13.5
15,Kerryon Johnson,DET,MIN,13,22,15.8,1.9,13.1
16,Todd Gurley,LAR,ATL,9,35,16.1,4.7,13.0
17,Tevin Coleman,SF,WAS,10,24,16.9,2.8,13.0
18,Joe Mixon,CIN,JAC,11,26,18.1,3.2,13.0
19,Sony Michel,NE,NYJ,14,27,18.8,2.1,12.5
20,Melvin Gordon,LAC,TEN,14,24,19.5,2.3,12.4
21,Matt Breida,SF,WAS,16,28,21.6,2.3,12.4
22,Royce Freeman,DEN,KC,18,29,22.9,2.7,12.2
23,Latavius Murray,NO,CHI,11,38,23.0,4.3,12.0
24,Carlos Hyde,HOU,IND,11,34,23.6,3.3,12.1
25,Austin Ekeler,LAC,TEN,20,35,24.8,2.1,11.8
26,Frank Gore,BUF,MIA,12,39,25.2,3.6,11.5
27,James White,NE,NYJ,18,37,25.3,2.0,11.7
28,David Montgomery,CHI,NO,19,34,28.3,2.5,11.2
29,Jordan Howard,PHI,DAL,20,35,29.5,3.6,11.1
30,LeSean McCoy,KC,DEN,25,33,29.7,1.7,10.8
31,Damien Williams,KC,DEN,20,36,30.4,2.4,10.7
