Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,Julio Jones,ATL,LAR,1,7,1.7,0.9,16.2
2,Cooper Kupp,LAR,ATL,1,4,2.1,0.8,15.3
3,DeAndre Hopkins,HOU,IND,1,7,2.9,1.1,15.7
4,Michael Thomas,NO,CHI,1,7,4.5,1.1,14.5
5,Tyreek Hill,KC,DEN,1,26,4.7,1.4,14.2
6,Keenan Allen,LAC,TEN,5,13,6.6,1.4,14.4
7,T.Y. Hilton,IND,HOU,2,12,7.0,2.1,14.3
8,Tyler Lockett,SEA,BAL,5,16,9.1,1.8,13.9
9,Julian Edelman,NE,NYJ,6,17,9.3,2.0,14.1
10,Adam Thielen,MIN,DET,6,19,9.5,2.6,13.7
11,Robert Woods,LAR,ATL,7,24,12.5,2.7,13.9
12,Michael Gallup,DAL,PHI,6,22,12.9,3.1,13.5
13,D.J. Chark,JAC,CIN,9,24,13.2,2.0,13.4
14,Kenny Golladay,DET,MIN,9,25,14.2,2.2,13.4
15,Brandin Cooks,LAR,ATL,10,23,15.5,2.8,13.2
16,Larry Fitzgerald,ARI,NYG,11,29,15.9,2.9,13.0
17,Will Fuller,HOU,IND,9,22,16.8,2.5,12.7
18,Courtland Sutton,DEN,KC,14,22,17.5,1.7,12.4
19,Tyler Boyd,CIN,JAC,12,32,19.9,2.9,12.3
20,Stefon Diggs,MIN,DET,11,29,20.7,2.9,12.3
21,John Brown,BUF,MIA,16,27,20.8,2.3,12.2
22,Alshon Jeffery,PHI,DAL,13,26,21.6,2.3,12.3
23,Calvin Ridley,ATL,LAR,12,33,23.5,2.1,12.0
24,Allen Robinson,CHI,NO,15,38,24.5,1.9,11.9
25,Golden Tate,NYG,ARI,19,36,25.8,2.7,11.1
26,Terry McLaurin,WAS,SF,22,50,25.8,1.7,11.0
27,Mike Williams,LAC,TEN,18,33,28.3,1.7,11.5
28,D.K. Metcalf,SEA,BAL,24,40,30.1,1.9,10.2
29,Dede Westbrook,JAC,CIN,27,54,30.7,3.4,11.4
30,Amari Cooper,DAL,PHI,5,70,24.7,15.3,10.6
31,Marvin Jones,DET,MIN,28,39,31.8,1.9,9.9
32,Emmanuel Sanders,DEN,KC,27,61,33.1,3.3,9.7
33,Jamison Crowder,NYJ,NE,26,41,33.4,2.2,10.9
34,Auden Tate,CIN,JAC,18,39,34.0,1.9,8.8
35,Robby Anderson,NYJ,NE,28,47,35.4,3.8,10.4
36,Mohamed Sanu,ATL,LAR,31,43,37.0,1.6,8.5
37,Phillip Dorsett,NE,NYJ,24,73,37.7,9.8,10.0
38,Dante Pettis,SF,WAS,28,47,39.1,2.5,10.0
39,Demarcus Robinson,KC,DEN,29,61,42.3,6.1,9.9
40,Corey Davis,TEN,LAC,38,60,42.9,3.8,9.4
41,Mecole Hardman,KC,DEN,32,55,43.1,3.7,7.5
42,A.J. Brown,TEN,LAC,31,53,44.5,3.7,7.5
43,Cole Beasley,BUF,MIA,34,77,45.6,7.2,7.4
44,Marquise Goodwin,SF,WAS,40,53,45.8,3.3,7.2
45,Preston Williams,MIA,BUF,34,57,45.9,4.7,7.3
46,Darius Slayton,NYG,ARI,34,65,46.0,5.0,7.1
47,Allen Lazard,GB,OAK,28,59,46.2,6.5,6.7
48,Marquez Valdes-Scantling,GB,OAK,29,134,44.8,18.3,8.5
49,Nelson Agholor,PHI,DAL,44,73,49.4,5.3,8.5
50,Jakobi Meyers,NE,NYJ,44,64,49.4,3.3,6.5
51,Devante Parker,MIA,BUF,41,58,51.6,3.4,8.4
52,Willie Snead,BAL,SEA,43,64,52.0,3.8,8.4
53,KeeSean Johnson,ARI,NYG,42,80,54.5,3.3,6.2
54,Demaryius Thomas,NYJ,NE,52,75,56.6,3.1,6.1
55,Ted Ginn,NO,CHI,47,84,58.0,6.4,6.0
56,Chris Conley,JAC,CIN,53,68,58.7,3.0,8.0
57,Keke Coutee,HOU,IND,39,83,59.1,9.4,8.0
58,Adam Humphries,TEN,LAC,44,74,59.5,6.4,7.9
59,Anthony Miller,CHI,NO,43,78,61.9,7.4,7.8
60,Byron Pringle,KC,DEN,44,78,64.2,8.5,5.7
61,Jaron Brown,SEA,BAL,48,73,65.2,4.2,7.8
62,Paul Richardson,WAS,SF,55,81,66.5,6.3,7.7
63,Miles Boykin,BAL,SEA,50,87,67.4,6.2,5.4
64,Albert Wilson,MIA,BUF,45,80,65.0,7.0,7.6
65,Jake Kumerow,GB,OAK,51,78,65.8,6.1,5.4
66,Damiere Byrd,ARI,NYG,40,81,69.3,6.4,7.3
67,Tavon Austin,DAL,PHI,39,109,74.7,13.7,7.3
68,Duke Williams,BUF,MIA,38,106,67.2,11.8,5.3
69,Danny Amendola,DET,MIN,64,79,72.1,4.1,5.3
70,Zay Jones,OAK,GB,54,96,74.2,8.7,6.8
71,Hunter Renfrow,OAK,GB,56,89,70.3,8.4,5.0
72,Trey Quinn,WAS,SF,58,80,71.4,4.6,4.9
73,Kenny Stills,HOU,IND,46,78,69.1,6.0,4.9
74,Christian Kirk,ARI,NYG,27,131,52.5,26.4,6.7
75,Taylor Gabriel,CHI,NO,42,89,73.5,9.1,6.7
76,DaeSean Hamilton,DEN,KC,61,86,74.9,5.3,6.7
77,Alex Erickson,CIN,JAC,43,91,77.0,8.3,6.4
78,Trevor Davis,OAK,GB,54,96,69.9,12.2,4.2
79,Trent Sherfield,ARI,NYG,67,92,80.4,6.3,5.8
80,Zach Pascal,IND,HOU,63,90,80.0,5.2,5.8
81,David Moore,SEA,BAL,68,89,80.3,4.3,5.6
82,Randall Cobb,DAL,PHI,57,107,76.7,13.4,4.0
83,Cody Latimer,NYG,ARI,65,95,84.2,4.8,5.5
84,Seth Roberts,BAL,SEA,71,89,82.2,3.8,5.3
85,Kendrick Bourne,SF,WAS,66,93,83.4,6.7,5.3
86,Deon Cain,IND,HOU,70,99,86.6,4.8,4.0
87,Mack Hollins,PHI,DAL,76,90,84.8,2.8,5.1
88,Olabisi Johnson,MIN,DET,66,104,88.1,6.1,3.7
89,Geronimo Allison,GB,OAK,41,135,76.3,27.5,4.7
90,Devin Smith,DAL,PHI,70,126,86.9,13.4,3.6
91,Isaiah McKenzie,BUF,MIA,68,98,90.5,5.1,4.7
92,Pharoh Cooper,ARI,NYG,81,104,90.6,5.5,4.6
93,Richie James,SF,WAS,85,103,93.2,3.4,3.3
94,Chester Rogers,IND,HOU,78,109,93.2,8.3,4.5
95,Cordarrelle Patterson,CHI,NO,83,112,98.4,5.1,3.2
96,Allen Hurns,MIA,BUF,90,109,98.2,3.7,4.4
97,Chris Moore,BAL,SEA,79,106,97.7,5.1,4.3
98,Cedrick Wilson,DAL,PHI,69,112,96.9,11.0,3.1
99,Damion Willis,CIN,JAC,88,108,100.0,4.7,3.0
100,Josh Reynolds,LAR,ATL,80,119,97.3,8.6,4.2
101,Marquise Brown,BAL,SEA,27,136,80.1,30.1,3.0
102,Steven Sims,WAS,SF,92,116,103.9,5.1,2.9
103,Justin Hardy,ATL,LAR,74,125,104.0,8.7,3.8
104,Robert Foster,BUF,MIA,58,109,94.2,14.4,2.7
105,Keelan Doss,OAK,GB,75,120,97.2,8.5,2.8
106,Tajae Sharpe,TEN,LAC,97,114,105.1,3.4,3.7
107,Geremy Davis,LAC,TEN,94,115,105.2,4.8,2.4
108,Deebo Samuel,SF,WAS,48,90,61.9,15.8,2.4
109,Javon Wims,CHI,NO,93,120,106.3,7.1,2.4
110,Darrius Shepherd,GB,OAK,90,114,105.9,4.7,2.2
111,Marvin Hall,DET,MIN,94,122,104.1,7.6,3.1
112,Ryan Grant,GB,OAK,79,124,103.2,14.2,3.1
113,Keelan Cole,JAC,CIN,89,119,106.4,7.8,3.1
114,Kelvin Harmon,WAS,SF,96,116,108.3,7.6,2.0
115,Gunner Olszewski,NE,NYJ,88,115,108.2,6.7,1.9
116,Andy Isabella,ARI,NYG,93,127,113.4,6.6,1.8
117,Malik Turner,SEA,BAL,97,116,110.4,4.9,1.8
118,Austin Carr,NO,CHI,92,128,111.9,10.1,1.8
119,Laquon Treadwell,MIN,DET,102,121,115.0,4.6,2.6
120,Fred Brown,DEN,KC,96,124,113.1,7.7,1.7
121,Lil'Jordan Humphrey,NO,CHI,87,130,116.3,10.7,1.6
122,De'Anthony Thomas,KC,DEN,97,125,118.7,8.3,2.3
123,Vyncint Smith,NYJ,NE,110,127,119.9,3.5,1.5
124,Andre Roberts,BUF,MIA,111,130,122.5,6.1,1.5
125,J.J. Arcega-Whiteside,PHI,DAL,103,128,121.1,5.5,1.4
126,Cody Core,NYG,ARI,117,129,123.3,3.9,2.1
127,Braxton Berrios,NYJ,NE,103,133,124.3,7.3,1.2
128,Jakeem Grant,MIA,BUF,94,127,113.8,10.9,2.0
129,Russell Gage,ATL,LAR,111,131,122.3,5.7,1.1
130,Jordan Matthews,SF,WAS,101,129,115.6,12.6,1.7
131,Jason Moore,LAC,TEN,106,132,121.0,7.7,1.0
132,Isaiah Ford,MIA,BUF,102,133,127.8,5.4,1.0
133,Darius Jennings,TEN,LAC,113,134,128.0,5.4,1.6
134,Josh Bellamy,NYJ,NE,119,132,127.5,4.0,0.9
135,Deonte Harris,NO,CHI,122,133,127.8,2.7,0.9
136,Andre Patton,LAC,TEN,108,134,123.0,11.0,0.9
137,Diontae Spencer,DEN,KC,110,133,123.0,9.6,0.8
138,DeAndre Carter,HOU,IND,121,135,129.8,5.5,0.8
139,Dwayne Harris,OAK,GB,125,133,128.3,3.4,0.8
