RK,PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
121,Diontae Spencer,DEN,88,122,111.8,13.9
122,Dante Pettis,NYG,98,115,106,7
123,Steven Mitchell Jr.,HOU,91,128,117.3,15.2
124,Mike Thomas,CIN,114,118,116.3,1.7
125,Trent Sherfield,ARI,101,134,118.7,13.6
126,Jamal Agnew,DET,111,126,121.3,6
127,Kalif Raymond,TEN,101,137,119,18
128,Zay Jones,LV,114,131,121.7,7
129,Antonio Gandy-Golden,WAS,117,118,117.5,0.5
130,K.J. Hill,LAC,111,129,123,8.5
131,Ray-Ray McCloud,PIT,117,125,121,4
132,C.J. Board,NYG,119,136,126,7.3
133,Nick Westbrook-Ikhine,TEN,114,148,131,17
134,Gunner Olszewski,NE,123,140,130,7.3
135,Brandon Zylstra,CAR,121,143,132,11
136,Penny Hart,SEA,123,144,133.5,10.5
