Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Austin Carr,NO,0.9,10.2,0.0,0.1,0.7,0.0,0.0,1.7
Trent Sherfield,ARI,1.0,10.8,0.0,0.1,0.7,0.0,0.0,1.7
Marquise Goodwin,SF,0.7,9.9,0.0,0.1,0.9,0.0,0.0,1.7
Johnny Holton,PIT,0.8,10.2,0.0,0.1,0.9,0.0,0.0,1.6
Trevor Davis,OAK,0.6,7.4,0.0,0.4,3.6,0.0,0.0,1.6
Josh Doctson,MIN,0.7,9.7,0.0,0.0,0.0,0.0,0.0,1.6
Damion Ratley,CLE,0.7,8.1,0.1,0.0,0.1,0.0,0.0,1.5
Stanley Morgan Jr.,CIN,0.8,9.8,0.0,0.0,0.1,0.0,0.0,1.5
Richie James,SF,0.7,7.7,0.0,0.1,0.7,0.0,0.0,1.4
Byron Pringle,KC,0.6,7.7,0.0,0.0,0.1,0.0,0.0,1.2
DeAndrew White,CAR,0.7,8.0,0.0,0.1,0.8,0.0,0.0,1.2
Javon Wims,CHI,0.7,7.6,0.0,0.1,0.7,0.0,0.0,1.2
Andre Roberts,BUF,0.6,7.6,0.0,0.2,1.2,0.0,0.0,1.2
Chris Moore,BAL,0.6,6.8,0.0,0.2,1.1,0.0,0.0,1.2
Olamide Zaccheaus,ATL,0.7,8.4,0.0,0.0,0.1,0.0,0.0,1.2
Deonte Harris,NO,0.6,6.6,0.0,0.4,2.2,0.0,0.0,1.2
Devin Smith,DAL,0.5,6.6,0.0,0.0,0.4,0.0,0.0,1.2
Cedrick Wilson,DAL,0.7,8.1,0.0,0.0,0.2,0.0,0.0,1.1
Cody Core,NYG,0.6,7.4,0.0,0.0,0.3,0.0,0.0,1.1
Ryan Switzer,PIT,0.8,5.7,0.0,0.2,1.1,0.0,0.0,1.1
Mike Thomas,LAR,0.5,6.4,0.0,0.1,0.4,0.0,0.0,1.0
Malik Turner,SEA,0.5,6.5,0.0,0.1,0.6,0.0,0.0,1.0
Geremy Davis,LAC,0.5,6.1,0.0,0.1,0.8,0.0,0.0,1.0
Jason Moore,LAC,0.6,6.5,0.0,0.0,0.1,0.0,0.0,0.9
Cody Hollister,TEN,0.5,6.4,0.0,0.0,0.1,0.0,0.0,0.9
Braxton Berrios,NYJ,0.5,6.2,0.0,0.0,0.1,0.0,0.0,0.9
Gary Jennings,MIA,0.4,5.7,0.0,0.0,0.0,0.0,0.0,0.8
Khadarel Hodge,CLE,0.4,4.8,0.0,0.1,0.5,0.0,0.0,0.8
Krishawn Hogan,NO,0.4,5.1,0.0,0.0,0.1,0.0,0.0,0.7
Brandon Zylstra,CAR,0.3,4.3,0.0,0.1,0.4,0.0,0.0,0.7
De'Anthony Thomas,BAL,0.3,4.0,0.0,0.0,0.1,0.0,0.0,0.6
Taywan Taylor,CLE,0.3,4.1,0.0,0.0,0.1,0.0,0.0,0.6
Justin Watson,TB,0.3,3.5,0.0,0.1,0.4,0.0,0.0,0.6
Brandon Powell,ATL,0.3,3.0,0.0,0.0,0.3,0.0,0.0,0.5
Riley Ridley,CHI,0.3,3.3,0.0,0.0,0.1,0.0,0.0,0.5
Ryan Grant,GB,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Noah Brown,DAL,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.2
Davion Davis,MIN,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
JoJo Natson,LAR,0.1,0.9,0.0,0.0,0.1,0.0,0.0,0.1
Greg Dortch,CAR,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1
Josh Bellamy,NYJ,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
Ventell Bryant,DAL,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
