Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
78,Mike Davis,CHI,DET,52,75,69.0,3.8,1.8,0.277692307692
79,Jordan Scarlett,CAR,GB,69,88,78.0,3.7,1.8,0.198405797101
80,Jamize Olawale,DAL,MIN,71,91,79.6,4.0,1.8,0.225352112676
81,Dwayne Washington,NO,ATL,69,86,79.8,4.2,1.7,0.255652173913
82,Mike Boone,MIN,DAL,77,87,81.3,2.7,1.7,0.0946753246753
83,Kyle Juszczyk,SF,SEA,66,89,75.7,8.4,1.5,1.06909090909
84,D'Ernest Johnson,CLE,BUF,73,89,83.2,3.0,1.5,0.123287671233
85,Troymaine Pope,LAC,OAK,73,92,83.6,6.6,1.4,0.596712328767
86,Javorius Allen,NYG,NYJ,79,90,84.6,3.4,1.4,0.146329113924
87,Darwin Thompson,KC,TEN,62,91,85.2,3.2,1.3,0.165161290323
88,Alec Ingold,OAK,LAC,76,94,86.5,5.6,1.3,0.412631578947
89,Qadree Ollison,ATL,NO,74,89,85.0,2.9,1.2,0.113648648649
90,T.J. Yeldon,BUF,CLE,67,92,87.1,2.7,1.1,0.108805970149
91,Trayveon Williams,CIN,BAL,77,94,86.2,4.3,1.0,0.24012987013
92,Josh Adams,NYJ,NYG,72,94,89.6,4.4,1.0,0.268888888889
93,Patrick Ricard,BAL,CIN,69,73,71.0,2.0,0.9,0.0579710144928
94,John Kelly,LAR,PIT,83,91,88.2,1.7,0.9,0.0348192771084
95,Nick Bellore,SEA,SF,74,77,75.5,1.5,0.9,0.0304054054054
96,Ryan Nall,CHI,DET,77,80,78.5,1.5,0.9,0.0292207792208
97,Travis Homer,SEA,SF,83,92,89.0,3.1,0.8,0.11578313253
