"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Fred Brown","DEN","HOU","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Andre Patton","LAC","JAC","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Durham Smythe","MIA","NYJ","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Damion Ratley","CLE","CIN","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Deon Cain","PIT","ARI","Sun 04:25 EST","WR","0.0%","4800","WR","0.0%","3000"
"Justin Watson","TB","IND","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Braxton Berrios","NYJ","MIA","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Justin Jackson","LAC","JAC","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","3000"
"Robert Foster","BUF","BAL","Sun 01:00 EST","WR","0.0%","4800","WR","0.0%","3000"
"Christian Blake","ATL","CAR","Sun 01:00 EST","WR","0.0%","5200","WR","0.0%","3300"
"Reggie Bonnafon","CAR","ATL","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","4000"
"Vyncint Smith","NYJ","MIA","Sun 01:00 EST","WR","0.0%","4600","WR","0.0%","3000"
"Byron Pringle","KC","NE","Sun 04:25 EST","WR","0.0%","4500","WR","0.0%","3000"
"Chris Lacy","DET","MIN","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Cam Sims","WAS","GB","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Dontrell Hilliard","CLE","CIN","Sun 01:00 EST","RB","0.0%","4600","RB","0.0%","3000"
"De'Lance Turner","MIA","NYJ","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"KhaDarel Hodge","CLE","CIN","Sun 01:00 EST","WR","0.0%","4800","WR","0.0%","3000"
"Diontae Spencer","DEN","HOU","Sun 01:00 EST","WR","0.0%","4600","WR","0.0%","3000"
"Justice Hill","BAL","BUF","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Ryquell Armstead","JAC","LAC","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","4300"
"Trayveon Williams","CIN","CLE","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Jakobi Meyers","NE","KC","Sun 04:25 EST","WR","0.0%","5100","WR","0.0%","3500"
"Stanley Morgan","CIN","CLE","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Michael Walker","JAC","LAC","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Hale Hentges","WAS","GB","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Khari Blasingame","TEN","OAK","Sun 04:25 EST","RB","0.0%","4500","RB","0.0%","3000"
"Devine Ozigbo","JAC","LAC","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","3000"
"Jason Moore","LAC","JAC","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Jalen Guyton","LAC","JAC","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
