Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
WR,Auden Tate,CIN,@CLE,4000,0.50%,34%,4%,4%,8.4
QB,Gardner Minshew,JAX,LAC,5400,0.50%,35%,10%,4%,7.81
QB,Kyle Allen,CAR,@ATL,5700,0.50%,35%,9%,4%,7.72
WR,Diontae Johnson,PIT,@ARI,4300,0.50%,31%,4%,4%,7.54
WR,Emmanuel Sanders,SF,@NO,5800,0.50%,27%,4%,4%,7.09
QB,Derek Carr,OAK,TEN,5000,0.50%,34%,9%,3%,6.96
QB,Andy Dalton,CIN,@CLE,5200,0.50%,32%,8%,3%,6.63
RB,Duke Johnson,HOU,DEN,3900,0.50%,37%,4%,3%,6.42
QB,Philip Rivers,LAC,@JAX,5600,0.50%,33%,8%,3%,6.31
WR,Corey Davis,TEN,@OAK,3900,0.50%,29%,3%,3%,6.24
RB,Jaylen Samuels,PIT,@ARI,5000,0.50%,31%,3%,3%,5.72
WR,Jakobi Meyers,NE,KC,3500,0.50%,27%,3%,3%,5.11
WR,John Ross,CIN,@CLE,4400,0.50%,26%,3%,3%,5.02
TE,O.J. Howard,TB,IND,3200,0.50%,27%,2%,2%,4.89
WR,Allen Lazard,GB,WAS,4200,0.50%,24%,2%,2%,4.57
TE,Noah Fant,DEN,@HOU,3400,0.50%,26%,1%,2%,4.36
WR,Allen Hurns,MIA,@NYJ,4100,0.50%,24%,2%,2%,4.3
WR,Chris Conley,JAX,LAC,4000,0.50%,24%,2%,2%,4.26
WR,Kelvin Harmon,WAS,@GB,3700,0.50%,26%,2%,2%,4.26
TE,Jimmy Graham,GB,WAS,3600,0.50%,24%,1%,2%,4.23
TE,Darren Fells,HOU,DEN,3200,0.50%,24%,1%,2%,4.19
RB,Ronald Jones,TB,IND,4400,0.50%,27%,2%,2%,3.89
QB,Drew Lock,DEN,@HOU,5100,0.50%,23%,5%,2%,3.88
WR,Marcus Johnson,IND,@TB,3600,0.50%,24%,2%,2%,3.7
WR,Parris Campbell,IND,@TB,3200,0.50%,25%,2%,2%,3.65
WR,Kendrick Bourne,SF,@NO,3700,0.50%,23%,2%,2%,3.63
RB,Marlon Mack,IND,@TB,6000,0.50%,22%,2%,2%,3.25
TE,Irv Smith Jr.,MIN,DET,3300,0.50%,23%,1%,2%,3.21
QB,David Blough,DET,@MIN,5200,0.50%,22%,4%,2%,3.18
WR,Albert Wilson,MIA,@NYJ,4000,0.50%,21%,2%,2%,3.08
WR,Demaryius Thomas,NYJ,MIA,3700,0.50%,22%,2%,2%,3.06
TE,Jonnu Smith,TEN,@OAK,3100,0.50%,22%,1%,1%,2.94
TE,Dawson Knox,BUF,BAL,2900,0.50%,23%,1%,1%,2.94
QB,Dwayne Haskins,WAS,@GB,4600,0.50%,20%,3%,1%,2.82
WR,Tajae Sharpe,TEN,@OAK,3000,0.50%,23%,1%,1%,2.77
TE,Logan Thomas,DET,@MIN,2600,0.50%,22%,1%,1%,2.77
RB,Bo Scarbrough,DET,@MIN,4500,0.50%,25%,2%,1%,2.76
TE,Tyler Eifert,CIN,@CLE,2800,0.50%,22%,1%,1%,2.73
TE,Jared Cook,NO,SF,4200,3.00%,42%,5%,8%,2.63
TE,David Njoku,CLE,CIN,3500,0.50%,20%,1%,1%,2.62
WR,Kalif Raymond,TEN,@OAK,3400,0.50%,21%,1%,1%,2.57
WR,Christian Kirk,ARI,PIT,5200,3.00%,39%,7%,7%,2.41
WR,Mecole Hardman,KC,@NE,3800,0.50%,19%,1%,1%,2.39
RB,Raheem Mostert,SF,@NO,4600,0.50%,21%,1%,1%,2.32
TE,Nick O'Leary,JAX,LAC,2700,0.50%,21%,1%,1%,2.32
WR,Danny Amendola,DET,@MIN,4000,0.50%,19%,1%,1%,2.1
RB,Phillip Lindsay,DEN,@HOU,5300,3.00%,43%,7%,6%,2.08
RB,DeAndre Washington,OAK,TEN,3000,0.50%,24%,1%,1%,2.08
RB,Royce Freeman,DEN,@HOU,4000,0.50%,22%,1%,1%,2.07
RB,Darwin Thompson,KC,@NE,4000,0.50%,21%,1%,1%,2.01
