Tyler Kroft,1.4,BUF,Knox out
Gabriel Davis,1.25,BUF,
John Brown,0.0001,BUF,
T.J. Yeldon,0.0001,BUF,
Curtis Samuel,1.35,CAR,Curtis Samuel Q
Keith Kirkwood,1,CAR,Curtis Samuel Q
Marken Michel,0.0001,CAR,
John Ross,0.0001,CIN,
Drew Sample,1.2,CIN,
David Njoku,1.2,CLE,Hooper out
Harrison Bryant,1.75,CLE,
Rashard Higgins,1.2,CLE,
Taywan Taylor,0.0001,CLE,
Malik Turner,0.0001,DAL,
DaeSean Hamilton,1.45,DEN,
Marvin Jones Jr.,1.05,DET,
Quintez Cephus,0.0001,DET,
Bo Scarbrough,0.0001,DET,
Darrius Shepherd,0.5,GB,
Aaron Jones,0.0001,GB,
Tyler Ervin,0.0001,GB,
Keke Coutee,0.0001,HOU,
Chris Thompson,0.001,JAC,
Tyler Eifert,0.001,JAC,
James Robinson,1.1,JAC,
James O'Shaughnessy,1.4,JAC,
Chris Conley,0.5,JAC,
Mecole Hardman,0.7,KC,
Byron Pringle,1.35,KC,
Demarcus Robinson,1.1,KC,
Jalen Guyton,1.2,LAC,
Nelson Agholor,1.1,LV,
Marquez Callaway,2.2,NO,Sanders and Thomas out
Deonte Harris,1.8,NO,Sanders and Thomas out
Tre'Quan Smith,1,NO,
Michael Thomas,0.0001,NO,
Jamison Crowder,0.001,NYJ,
Breshad Perriman,1.25,NYJ,
Jeff Smith,1.25,NYJ,
Braxton Berrios,1.65,NYJ,
Denzel Mims,1.35,NYJ,
Chris Herndon IV,1,NYJ,
Jamison Crowder,0.0001,NYJ,
Chase Claypool,0.9,PIT,
Diontae Johnson,1.1,PIT,
David Moore,1.05,SEA,
Freddie Swain,1.75,SEA,
Tyler Johnson,0.5,TB,
Anthony Firkser,0.7,TEN,
Corey Davis,1.2,TEN,
Kalif Raymond,0.7,TEN,
Isaiah Wright,0.0001,WAS,Missing from FantasyPros
Robert Foster,0.0001,WAS,
Jamaal Williams,1.1,GB,
AJ Dillon,1.8,GB,
Joshua Kelley,1.2,LAC,
Justin Jackson,1.1,LAC,
Latavius Murray,1.4,NO,Leverage play
Tyler Boyd,0.95,CIN,
Tee Higgins,0.95,CIN,
A.J. Green,1.2,CIN,
