Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
88,Travis Benjamin,LAC,PIT,86,111,90.4,3.5,0.14244186
130,Andy Jones,DET,LAR,109,126,119.7,3.9,0.139541284
96,Ryan Grant,IND,JAC,91,105,96.5,3.5,0.134615385
15,Emmanuel Sanders,DEN,CIN,13,21,14.9,1.3,0.13
103,Trent Taylor,SF,SEA,95,114,101.5,3.4,0.121684211
111,Isaiah McKenzie,BUF,MIA,96,127,105.9,3.4,0.120416667
39,Demaryius Thomas,HOU,CLE,30,41,35.2,1.9,0.120333333
76,Nelson Agholor,PHI,WAS,66,82,76.3,2.8,0.118787879
136,Dwayne Harris,OAK,KC,122,137,128.1,3.7,0.112213115
147,Darius Jennings,TEN,NYJ,119,140,135.8,3.2,0.08605042
132,Damion Ratley,CLE,HOU,115,153,123,3.1,0.083565217
122,Cam Batson,TEN,NYJ,115,134,125,3,0.07826087
19,Corey Davis,TEN,NYJ,17,29,19.5,1.1,0.071176471
125,Chris Moore,BAL,ATL,104,124,119.4,2.7,0.070096154
133,Justin Hardy,ATL,BAL,119,136,127.3,2.8,0.065882353
110,Bennie Fowler,NYG,CHI,95,126,102.8,2.5,0.065789474
158,Bobo Wilson,TB,CAR,142,148,145,3,0.063380282
117,Phillip Dorsett,NE,MIN,108,126,116,2.6,0.062592593
113,Josh Bellamy,CHI,NYG,102,125,112.3,1.8,0.031764706
162,Malik Turner,SEA,SF,147,148,147.5,0.5,0.00170068
