Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Michael Thomas,NO,9.5,108.9,0.7,0.0,0.0,0.0,0.1,19.9
Tyreek Hill,KC,6.0,99.1,0.8,0.8,5.2,0.1,0.1,18.2
Davante Adams,GB,6.9,86.5,0.6,0.0,0.3,0.0,0.1,15.8
Mike Evans,TB,5.6,92.0,0.6,0.0,0.0,0.0,0.0,15.5
Chris Godwin,TB,5.6,85.3,0.7,0.1,0.5,0.0,0.1,15.2
Cooper Kupp,LAR,6.0,77.2,0.6,0.3,1.7,0.0,0.1,14.2
D.J. Chark,JAC,5.3,73.1,0.7,0.2,1.3,0.0,0.1,14.0
Julian Edelman,NE,6.6,75.7,0.5,0.5,3.3,0.0,0.1,14.0
Calvin Ridley,ATL,5.4,75.0,0.6,0.4,3.0,0.0,0.1,13.9
Tyler Lockett,SEA,5.4,72.9,0.6,0.5,2.5,0.0,0.0,13.8
Christian Kirk,ARI,5.9,72.5,0.5,0.5,4.0,0.0,0.1,13.5
D.J. Moore,CAR,5.8,76.9,0.4,0.5,5.4,0.0,0.1,13.4
Odell Beckham Jr.,CLE,5.4,75.0,0.5,0.2,1.0,0.0,0.1,13.0
Jarvis Landry,CLE,5.7,72.8,0.5,0.1,1.1,0.0,0.1,12.8
Allen Robinson,CHI,5.4,71.3,0.5,0.0,0.1,0.0,0.0,12.7
Stefon Diggs,MIN,5.0,71.5,0.5,0.3,1.8,0.0,0.1,12.7
Devante Parker,MIA,4.9,70.5,0.4,0.0,0.0,0.0,0.0,12.0
DeAndre Hopkins,HOU,6.3,69.9,0.3,0.1,0.2,0.0,0.1,11.9
Michael Gallup,DAL,4.5,67.6,0.5,0.0,0.0,0.0,0.0,11.9
Adam Thielen,MIN,4.8,63.1,0.5,0.2,1.1,0.0,0.1,11.9
Courtland Sutton,DEN,4.5,68.9,0.4,0.3,1.7,0.0,0.0,11.9
John Brown,BUF,4.6,65.5,0.5,0.1,0.3,0.0,0.0,11.8
Jamison Crowder,NYJ,5.4,62.3,0.5,0.2,1.1,0.0,0.1,11.7
Tyler Boyd,CIN,5.4,64.1,0.4,0.2,1.4,0.0,0.1,11.6
Robert Woods,LAR,4.8,63.0,0.4,0.8,5.4,0.0,0.1,11.6
