"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Pittsburgh Steelers",PIT,"1","4","1.6","0.8"
"2","Baltimore Ravens",BAL,"1","8","2.3","0.9"
"3","Philadelphia Eagles",PHI,"1","7","3.6","1.1"
"4","Green Bay Packers",GB,"1","16","4.0","1.8"
"5","New Orleans Saints",NO,"1","20","4.8","2.2"
"6","Tampa Bay Buccaneers",TB,"4","11","6.8","1.0"
"7","Washington Football Team",WAS,"4","14","7.5","2.2"
"8","Chicago Bears",CHI,"2","17","9.0","2.0"
"9","Minnesota Vikings",MIN,"5","19","9.0","2.3"
"10","New York Giants",NYG,"6","16","10.6","2.5"
"11","Tennessee Titans",TEN,"4","19","11.4","2.6"
"12","Miami Dolphins",MIA,"7","18","11.8","1.7"
"13","Indianapolis Colts",IND,"9","19","13.4","2.6"
"14","Detroit Lions",DET,"7","22","15.4","3.8"
"15","Las Vegas Raiders",LV,"10","23","15.6","2.4"
"16","Los Angeles Chargers",LAC,"10","21","15.4","2.9"
"17","Cleveland Browns",CLE,"8","23","16.1","3.6"
"18","New England Patriots",NE,"5","22","18.8","2.2"
"19","Denver Broncos",DEN,"14","26","18.8","3.5"
"20","Arizona Cardinals",ARI,"9","25","19.6","2.9"
"21","Seattle Seahawks",SEA,"15","24","20.1","2.5"
"22","Los Angeles Rams",LAR,"14","27","20.8","3.3"
"23","Houston Texans",HOU,"7","24","21.6","1.5"
"24","Buffalo Bills",BUF,"18","26","22.8","1.8"
"25","San Francisco 49ers",SF,"13","27","25.1","1.1"
"26","Carolina Panthers",CAR,"24","27","25.9","0.7"
"27","Cincinnati Bengals",CIN,"19","28","26.4","1.1"
"28","Jacksonville Jaguars",JAC,"25","28","28.0","0.0"
