Andy Isabella,1,ARI,
Dan Arnold,1.25,ARI,
Julio Jones,0.0001,ATL,Julio questionable
Olamide Zaccheaus,1.1,ATL,Julio questionable
Russell Gage,1.1,ATL,
Hayden Hurst,1.1,ATL,
Miles Boykin,1.1,BAL,
Willie Snead IV,0.9,BAL,
Devin Duvernay,0.5,BAL,
Robby Anderson,0.9,CAR,
D.J. Moore,1.05,CAR,
Curtis Samuel,1.05,CAR,
Tyler Boyd,0.9,CIN,
Tee Higgins,0.9,CIN,
A.J. Green,1.1,CIN,
Donovan Peoples-Jones,1,CLE,
KhaDarel Hodge,0.00001,CLE,
Rashard Higgins,1,CLE,
Cedrick Wilson,0.8,DAL,
Noah Brown,0.8,DAL,
Daurice Fountain,1,IND,
Marcus Johnson,2.2,IND,
Mo Alie-Cox,0.5,IND,
Jack Doyle,0.5,IND,
Trey Burton,1.7,IND,
Laviska Shenault Jr.,0.95,JAC,
Keelan Cole,1.1,JAC,
Tyler Eifert,1.1,JAC,
Mecole Hardman,0.85,KC,
Josh Reynolds,1.4,LAR,
Van Jefferson,0.7,LAR,
Cam Akers,1.9,LAR,
Malcolm Brown,1.1,LAR,
Hunter Renfrow,0.9,LV,
Henry Ruggs III,1.1,LV,
Nelson Agholor,0.9,LV,
Zay Jones,1.1,LV,
Devonta Freeman,1.05,NYG,
Damion Ratley,1.6,NYG,
C.J. Board,1.9,NYG,
Le'Veon Bell,1.3,NYJ,
Jeff Smith,1.1,NYJ,
Chris Hogan,1.2,NYJ,
Braxton Berrios,0.8,NYJ,
Greg Ward,1,PHI,
John Hightower,1.3,PHI,
Travis Fulgham,1.8,PHI,
James Washington,1.3,PIT,
Chase Claypool,1.2,PIT,
Isaiah Wright,1.4,WAS,
Dontrelle Inman,1.2,WAS,
Antonio Gibson,1.1,WAS,
Jordan Thomas,0.0001,ARI,
Justice Hill,0.0001,BAL,
Chris Moore,0.0001,BAL,
Jordan Akins,0.0001,HOU,
Darren Fells,1.7,HOU,
Dede Westbrook,0.0001,JAC,
Trishton Jackson,0.0001,LAR,
Bryan Edwards,0.0001,LV,
Henry Ruggs III,1.25,LV,
Breshard Perriman,0.0001,NYJ,
Raheem Mostert,1.35,SF,
Jerick McKinnon,0.85,SF,
Preston Williams,1.1,MIA,
Eric Ebron,1.1,PIT,
Ryan Fitzpatrick,1.075,MIA,
