Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_safety,def_pa,def_tyda,fpts
Denver Broncos,DEN,2.9,1.2,0.5,0.7,0.2,0.1,16.9,303.2,8.5
Arizona Cardinals,ARI,2.8,1.0,0.7,1.3,0.2,0.0,19.8,324.2,8.2
New England Patriots,NE,2.4,1.3,0.5,0.7,0.2,0.0,19.9,341.9,8.1
Pittsburgh Steelers,PIT,3.2,0.9,0.6,1.0,0.1,0.0,19.4,333.0,8.1
Carolina Panthers,CAR,2.9,0.9,0.6,1.1,0.1,0.0,19.0,314.8,7.9
Buffalo Bills,BUF,2.6,1.0,0.7,1.1,0.1,0.1,18.8,321.1,7.9
Cleveland Browns,CLE,2.5,1.0,0.6,0.9,0.2,0.0,19.5,326.3,7.6
Baltimore Ravens,BAL,2.2,0.9,0.7,1.0,0.1,0.0,19.7,343.6,7.3
Minnesota Vikings,MIN,3.1,0.7,0.6,0.7,0.1,0.1,25.8,377.4,6.4
Dallas Cowboys,DAL,2.7,0.8,0.7,1.0,0.1,0.0,23.1,371.6,6.3
Atlanta Falcons,ATL,2.6,0.8,0.7,1.0,0.1,0.0,23.4,344.8,6.3
Tennessee Titans,TEN,2.7,0.8,0.5,0.6,0.1,0.1,21.6,338.0,6.3
Washington Football Team,WF,2.5,0.9,0.6,1.0,0.1,0.0,25.3,358.2,6.2
Green Bay Packers,GB,2.3,0.9,0.6,0.9,0.1,0.0,24.2,366.9,6.2
Tampa Bay Buccaneers,TB,2.5,0.8,0.6,0.9,0.1,0.0,25.8,363.0,6.2
New York Giants,NYG,2.5,0.8,0.6,0.8,0.1,0.0,22.0,355.8,6.1
Kansas City Chiefs,KC,2.4,0.8,0.5,0.8,0.1,0.0,22.7,396.8,6.0
Seattle Seahawks,SEA,2.4,0.7,0.6,1.0,0.1,0.1,24.3,373.5,6.0
Philadelphia Eagles,PHI,2.5,0.7,0.6,0.9,0.1,0.0,25.6,401.1,5.9
New Orleans Saints,NO,2.4,0.8,0.5,0.7,0.1,0.0,20.9,325.8,5.9
Chicago Bears,CHI,2.1,0.9,0.6,0.9,0.1,0.1,24.7,357.2,5.9
Las Vegas Raiders,LV,2.4,0.8,0.5,0.8,0.1,0.0,21.0,319.1,5.9
Los Angeles Rams,LAR,2.3,0.8,0.5,0.8,0.1,0.1,25.2,358.3,5.8
Miami Dolphins,MIA,2.1,0.8,0.7,1.2,0.1,0.0,24.9,390.6,5.8
Indianapolis Colts,IND,2.2,0.7,0.6,0.9,0.1,0.0,24.9,375.8,5.7
Houston Texans,HOU,2.5,0.7,0.5,0.7,0.1,0.0,24.2,370.3,5.6
New York Jets,NYJ,2.2,0.7,0.6,0.8,0.1,0.0,25.1,357.1,5.4
Detroit Lions,DET,2.2,0.7,0.5,0.7,0.1,0.0,27.6,381.0,5.4
San Francisco 49ers,SF,2.3,0.6,0.6,0.9,0.1,0.0,22.7,356.1,5.4
Jacksonville Jaguars,JAC,2.0,0.8,0.5,0.6,0.1,0.0,27.8,395.5,5.3
Cincinnati Bengals,CIN,1.6,0.8,0.5,0.7,0.1,0.0,23.9,335.2,5.1
Los Angeles Chargers,LAC,1.7,0.6,0.5,0.6,0.1,0.0,27.9,403.1,4.4
