player_id,player_name,sportsdata_id,player_team_id,player_position_id,player_positions,player_short_name,player_eligibility,player_yahoo_positions,player_page_url,player_filename,player_square_image_url,player_image_url,player_yahoo_id,cbs_player_id,player_bye_week,player_owned_avg,player_owned_espn,player_owned_yahoo,player_opponent,player_opponent_id,player_ecr_delta,rank_ecr,rank_min,rank_max,rank_ave,rank_std,pos_rank,start_sit_grade,r2p_pts,uncertainty
13470,Cameron Brate,5afe93fd-0caf-4cca-83fc-7f405bebfa3e,TB,TE,TE,C. Brate,TE,TE,https://www.fantasypros.com/nfl/players/cameron-brate.php,cameron-brate.php,https://images.fantasypros.com/images/players/nfl/13470/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13470/headshot/210x210.png,28267,2132787,9,2.8,1.5,4,vs. CAR,CAR,,25,22,30,25.38,2.03,TE25,F,5.0,0.18731363636363632
16399,David Njoku,8f86fcea-90e8-49ea-bc78-5c7659313e57,CLE,TE,TE,D. Njoku,TE,TE,https://www.fantasypros.com/nfl/players/david-njoku.php,david-njoku.php,https://images.fantasypros.com/images/players/nfl/16399/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16399/headshot/210x210.png,30142,2136474,13,13.0,13.9,12,vs. CIN,CIN,,26,21,44,25.50,5.56,TE26,F,5.2,1.4720761904761903
16787,Anthony Firkser,b0719e3d-199b-46e5-a2b4-1091f6fd5c0d,TEN,TE,TE,A. Firkser,TE,TE,https://www.fantasypros.com/nfl/players/anthony-firkser.php,anthony-firkser.php,https://images.fantasypros.com/images/players/nfl/16787/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16787/headshot/210x210.png,30571,2818971,13,3.7,2.3,5,at HOU,HOU,,27,27,37,30.38,2.71,TE27,F,5.0,0.2720037037037037
16460,Jonnu Smith,e4f25a37-74de-4bfb-b6c9-f50a4fab0b87,NE,TE,TE,J. Smith,TE,TE,https://www.fantasypros.com/nfl/players/jonnu-smith.php,jonnu-smith.php,https://images.fantasypros.com/images/players/nfl/16460/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16460/headshot/210x210.png,30213,2081506,14,22.6,26.2,19,at MIA,MIA,,28,26,36,30.50,2.50,TE28,F,5.0,0.2403846153846154
11987,Jack Doyle,bd413539-9351-454e-9d61-4e8635d7e9f5,IND,TE,TE,J. Doyle,TE,TE,https://www.fantasypros.com/nfl/players/jack-doyle.php,jack-doyle.php,https://images.fantasypros.com/images/players/nfl/11987/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/11987/headshot/210x210.png,27299,2041264,14,2.2,2.3,2,at JAC,JAC,,29,27,47,31.69,4.88,TE29,F,4.7,0.8820148148148148
16579,Mo Alie-Cox,8809c0dd-786b-4255-a7d0-333c9498c19a,IND,TE,TE,Mo Alie-Cox,TE,TE,https://www.fantasypros.com/nfl/players/mo-alie-cox.php,mo-alie-cox.php,https://images.fantasypros.com/images/players/nfl/16579/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/16579/headshot/210x210.png,30112,2815925,14,2.2,2.4,2,at JAC,JAC,4.0,30,24,38,31.20,4.38,TE30,F,4.6,0.79935
19456,Josiah Deguara,7874d188-0fcd-4af9-9289-27c27e2bbd16,GB,TE,TE,J. Deguara,TE,TE,https://www.fantasypros.com/nfl/players/josiah-deguara.php,josiah-deguara.php,https://images.fantasypros.com/images/players/nfl/19456/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19456/headshot/210x210.png,32764,2181108,13,0.4,0.4,0,at DET,DET,,31,28,38,33.81,2.79,TE31,F,4.4,0.27800357142857146
19423,Adam Trautman,4e14183b-f974-4745-9d7f-8f5eb2a92a7d,NO,TE,TE,A. Trautman,TE,TE,https://www.fantasypros.com/nfl/players/adam-trautman.php,adam-trautman.php,https://images.fantasypros.com/images/players/nfl/19423/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/19423/headshot/210x210.png,32775,2182228,6,3.7,2.4,5,at ATL,ATL,,32,30,35,32.07,1.79,TE32,F,4.2,0.10680333333333333
18397,Foster Moreau,9c3a67fd-5c6e-4689-9e08-9ff6d4db6c9a,LV,TE,TE,F. Moreau,TE,TE,https://www.fantasypros.com/nfl/players/foster-moreau.php,foster-moreau.php,https://images.fantasypros.com/images/players/nfl/18397/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/18397/headshot/210x210.png,31969,2180634,8,23.5,25.9,21,vs. LAC,LAC,,33,25,56,34.87,8.67,TE33,F,4.1,3.0067559999999998
13960,Tyler Kroft,36f54823-9d51-4180-9c91-d10281deb4bf,NYJ,TE,TE,T. Kroft,TE,TE,https://www.fantasypros.com/nfl/players/tyler-kroft.php,tyler-kroft.php,https://images.fantasypros.com/images/players/nfl/13960/headshot/210x210.png,https://images.fantasypros.com/images/players/nfl/13960/headshot/210x210.png,28473,1824200,6,0.6,0.2,1,at BUF,BUF,,34,29,42,34.85,3.90,TE34,F,4.0,0.5244827586206896
