Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Scotty Miller,TB,SEA,Sun 04:05 EST,WR,0.00%,4500,WR,0.00%,3000
Kelvin Harmon,WAS,BUF,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Andrew Beck,DEN,CLE,Sun 04:25 EST,TE,0.00%,4000,TE,0.00%,2500
Hale Hentges,WAS,BUF,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Ashton Dulin,IND,PIT,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Davion Davis,MIN,KC,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3200
Jason Moore,LAC,GB,Sun 04:25 EST,WR,0.00%,4500,WR,0.00%,3000
Darrius Shepherd,GB,LAC,Sun 04:25 EST,WR,0.00%,4500,WR,0.00%,3000
Craig Reynolds,WAS,BUF,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3100
Patrick Laird,MIA,NYJ,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3000
D'Ernest Johnson,CLE,DEN,Sun 04:25 EST,RB,0.00%,4700,RB,0.00%,3000
