"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Christian McCaffrey","CAR","TEN","10000","22.5%","63%","32%","37%","1.66"
"RB","Dalvin Cook","MIN","@KC","9500","22.5%","53%","22%","26%","1.15"
"WR","Adam Thielen","MIN","@KC","7800","7.5%","32%","7%","11%","1.42"
"WR","Kenny Golladay","DET","@OAK","7700","17.5%","40%","11%","16%","0.94"
"RB","LeVeon Bell","NYJ","@MIA","7700","27.5%","56%","20%","23%","0.85"
"WR","Stefon Diggs","MIN","@KC","7600","7.5%","34%","7%","11%","1.45"
"RB","James Conner","PIT","IND","7600","7.5%","40%","10%","12%","1.59"
"WR","Tyler Lockett","SEA","TB","7500","27.5%","48%","14%","21%","0.75"
"WR","Tyreek Hill","KC","MIN","7400","22.5%","46%","13%","20%","0.90"
"WR","Chris Godwin","TB","@SEA","7300","17.5%","59%","21%","32%","1.83"
"RB","Nick Chubb","CLE","@DEN","7300","17.5%","58%","21%","24%","1.39"
"WR","Mike Evans","TB","@SEA","7200","22.5%","52%","16%","25%","1.10"
"RB","Chris Carson","SEA","TB","7200","12.5%","40%","10%","12%","0.94"
"QB","Russell Wilson","SEA","TB","7100","17.5%","57%","26%","14%","0.82"
"RB","Aaron Jones","GB","@LAC","7000","32.5%","63%","24%","27%","0.84"
"TE","Travis Kelce","KC","MIN","6900","12.5%","41%","5%","13%","1.08"
"QB","Aaron Rodgers","GB","@LAC","6900","7.5%","42%","14%","8%","1.06"
"WR","Allen Robinson","CHI","@PHI","6800","17.5%","43%","11%","16%","0.92"
"QB","Matthew Stafford","DET","@OAK","6800","12.5%","40%","12%","7%","0.54"
"QB","Kirk Cousins","MIN","@KC","6700","7.5%","38%","12%","7%","0.89"
"WR","Odell Beckham","CLE","@DEN","6600","3.0%","35%","7%","10%","3.47"
"WR","T.Y. Hilton","IND","@PIT","6500","7.5%","38%","8%","13%","1.70"
"QB","Josh Allen","BUF","WAS","6500","7.5%","43%","16%","9%","1.16"
"RB","Josh Jacobs","OAK","DET","6500","17.5%","49%","14%","16%","0.90"
"WR","Keenan Allen","LAC","GB","6400","12.5%","39%","8%","12%","0.95"
"WR","JuJu Smith-Schuster","PIT","IND","6300","7.5%","36%","7%","10%","1.35"
"TE","Darren Waller","OAK","DET","6300","22.5%","51%","8%","21%","0.95"
"RB","Marlon Mack","IND","@PIT","6300","7.5%","35%","6%","7%","0.93"
"WR","Terry McLaurin","WAS","@BUF","6200","3.0%","30%","5%","7%","2.40"
"QB","Jameis Winston","TB","@SEA","6100","7.5%","42%","14%","8%","1.00"
"WR","John Brown","BUF","WAS","6100","17.5%","42%","9%","13%","0.77"
"RB","Austin Ekeler","LAC","GB","6000","7.5%","46%","9%","10%","1.38"
"TE","Hunter Henry","LAC","GB","6000","17.5%","47%","7%","17%","0.99"
"WR","Marvin Jones","DET","@OAK","6000","22.5%","39%","9%","13%","0.57"
"QB","Sam Darnold","NYJ","@MIA","5900","3.0%","36%","11%","6%","1.99"
"WR","Tyrell Williams","OAK","DET","5900","12.5%","38%","8%","12%","0.97"
"RB","Jamaal Williams","GB","@LAC","5900","3.0%","22%","2%","3%","0.86"
"WR","Courtland Sutton","DEN","CLE","5800","7.5%","37%","7%","10%","1.35"
"RB","Derrick Henry","TEN","@CAR","5700","12.5%","47%","10%","12%","0.93"
"QB","Carson Wentz","PHI","CHI","5700","7.5%","38%","12%","7%","0.87"
"WR","DK Metcalf","SEA","TB","5700","17.5%","34%","6%","9%","0.53"
"QB","Jacoby Brissett","IND","@PIT","5600","3.0%","36%","10%","6%","1.88"
"WR","Marquez Valdes-Scantling","GB","@LAC","5600","3.0%","22%","2%","4%","1.18"
"WR","Robby Anderson","NYJ","@MIA","5500","3.0%","30%","4%","7%","2.23"
"QB","Derek Carr","OAK","DET","5500","12.5%","38%","10%","6%","0.45"
"QB","Ryan Tannehill","TEN","@CAR","5300","0.5%","29%","7%","4%","7.47"
"RB","Phillip Lindsay","DEN","CLE","5300","7.5%","41%","7%","8%","1.01"
"WR","Jamison Crowder","NYJ","@MIA","5300","7.5%","32%","5%","7%","0.90"
"RB","David Montgomery","CHI","@PHI","5200","3.0%","30%","4%","4%","1.36"
"QB","Kyle Allen","CAR","TEN","5200","3.0%","29%","7%","4%","1.22"
"QB","Philip Rivers","LAC","GB","5100","3.0%","38%","10%","5%","1.81"
"QB","Baker Mayfield","CLE","@DEN","5100","3.0%","25%","5%","3%","0.97"
"RB","Jordan Howard","PHI","CHI","5100","7.5%","27%","3%","3%","0.41"
"QB","Mason Rudolph","PIT","IND","5000","3.0%","31%","7%","4%","1.38"
"QB","Mitch Trubisky","CHI","@PHI","5000","3.0%","30%","7%","4%","1.23"
"WR","Alshon Jeffery","PHI","CHI","5000","7.5%","34%","5%","8%","1.08"
"RB","Melvin Gordon","LAC","GB","5000","7.5%","41%","7%","8%","1.04"
"RB","Alexander Mattison","MIN","@KC","5000","0.5%","11%","0%","0%","0.72"
"RB","Ty Johnson","DET","@OAK","4900","0.5%","21%","1%","1%","2.91"
"RB","Royce Freeman","DEN","CLE","4900","3.0%","33%","4%","4%","1.36"
"WR","Sammy Watkins","KC","MIN","4900","7.5%","28%","4%","5%","0.70"
"QB","Ryan Fitzpatrick","MIA","NYJ","4800","0.5%","27%","6%","3%","6.48"
"RB","LeSean McCoy","KC","MIN","4800","3.0%","30%","3%","4%","1.18"
"WR","D.J. Moore","CAR","TEN","4800","12.5%","36%","6%","9%","0.71"
"QB","Matt Moore","KC","MIN","4800","7.5%","36%","9%","5%","0.65"
"WR","Danny Amendola","DET","@OAK","4700","3.0%","27%","3%","4%","1.41"
"TE","Zach Ertz","PHI","CHI","4700","12.5%","42%","5%","13%","1.03"
"RB","Devin Singletary","BUF","WAS","4700","7.5%","30%","3%","3%","0.46"
"RB","Miles Sanders","PHI","CHI","4600","0.5%","31%","3%","3%","6.64"
"QB","Case Keenum","WAS","@BUF","4600","0.5%","15%","2%","1%","2.02"
"WR","Corey Davis","TEN","@CAR","4600","3.0%","28%","3%","5%","1.60"
"WR","Mike Williams","LAC","GB","4600","7.5%","35%","6%","8%","1.11"
"WR","Jarvis Landry","CLE","@DEN","4500","3.0%","33%","5%","7%","2.28"
"WR","Diontae Johnson","PIT","IND","4500","7.5%","35%","6%","8%","1.10"
"RB","Rashaad Penny","SEA","TB","4500","0.5%","10%","0%","0%","0.56"
"RB","Mark Walton","MIA","NYJ","4500","7.5%","33%","3%","4%","0.47"
"RB","Ty Montgomery","NYJ","@MIA","4500","0.5%","2%","0%","0%","0.01"
"WR","DeVante Parker","MIA","NYJ","4400","3.0%","31%","4%","6%","2.01"
"WR","A.J. Brown","TEN","@CAR","4400","3.0%","27%","3%","4%","1.46"
"RB","Dontrell Hilliard","CLE","@DEN","4400","0.5%","3%","0%","0%","0.03"
"WR","Curtis Samuel","CAR","TEN","4300","12.5%","38%","7%","10%","0.79"
"RB","Frank Gore","BUF","WAS","4300","3.0%","27%","2%","2%","0.69"
"TE","Jimmy Graham","GB","@LAC","4300","7.5%","25%","2%","4%","0.52"
"RB","Tarik Cohen","CHI","@PHI","4200","0.5%","25%","2%","2%","3.65"
"WR","Preston Williams","MIA","NYJ","4200","3.0%","33%","4%","6%","2.13"
"RB","Nyheim Hines","IND","@PIT","4200","0.5%","15%","0%","1%","1.14"
"RB","Adrian Peterson","WAS","@BUF","4200","7.5%","35%","4%","4%","0.57"
"WR","Geronimo Allison","GB","@LAC","4200","7.5%","16%","1%","1%","0.16"
"WR","Mecole Hardman","KC","MIN","4200","0.5%","5%","0%","0%","0.14"
"TE","Vance McDonald","PIT","IND","4100","0.5%","22%","1%","3%","5.60"
"QB","Brandon Allen","DEN","CLE","4100","0.5%","23%","4%","2%","4.27"
"WR","Cole Beasley","BUF","WAS","4100","3.0%","31%","4%","6%","1.89"
"WR","Zach Pascal","IND","@PIT","4100","3.0%","19%","1%","2%","0.66"
"WR","Hunter Renfrow","OAK","DET","4100","3.0%","17%","1%","1%","0.46"
"RB","J.D. McKissic","DET","@OAK","4100","0.5%","10%","0%","0%","0.44"
"RB","Ronald Jones","TB","@SEA","4100","3.0%","20%","1%","1%","0.34"
"RB","Damien Williams","KC","MIN","4000","0.5%","27%","2%","3%","5.12"
"RB","Jaylen Samuels","PIT","IND","4000","0.5%","19%","1%","1%","1.86"
"RB","Kalen Ballage","MIA","NYJ","4000","0.5%","13%","0%","0%","0.83"
"WR","Demaryius Thomas","NYJ","@MIA","4000","7.5%","31%","4%","6%","0.74"
"WR","Olabisi Johnson","MIN","@KC","4000","0.5%","10%","0%","0%","0.72"
"WR","Demarcus Robinson","KC","MIN","4000","0.5%","10%","0%","0%","0.65"
"WR","Taylor Gabriel","CHI","@PHI","3900","0.5%","16%","1%","1%","2.46"
"RB","Peyton Barber","TB","@SEA","3900","0.5%","18%","1%","1%","1.84"
"WR","Allen Lazard","GB","@LAC","3900","7.5%","30%","4%","5%","0.71"
"RB","Jalen Richard","OAK","DET","3900","0.5%","7%","0%","0%","0.15"
"WR","Adam Humphries","TEN","@CAR","3800","0.5%","21%","1%","2%","4.41"
"WR","Jaron Brown","SEA","TB","3800","0.5%","17%","1%","1%","2.78"
"DEF","Buffalo Bills","BUF","WAS","3800","17.5%","47%","24%","23%","1.32"
"TE","Jonnu Smith","TEN","@CAR","3800","12.5%","30%","2%","5%","0.43"
"RB","Dion Lewis","TEN","@CAR","3800","0.5%","5%","0%","0%","0.08"
"RB","Benny Snell Jr.","PIT","IND","3800","0.5%","3%","0%","0%","0.01"
"WR","Anthony Miller","CHI","@PHI","3700","3.0%","29%","3%","5%","1.60"
"WR","James Washington","PIT","IND","3700","0.5%","13%","0%","1%","1.30"
"WR","DaeSean Hamilton","DEN","CLE","3700","0.5%","11%","0%","0%","0.93"
"TE","T.J. Hockenson","DET","@OAK","3700","7.5%","30%","2%","5%","0.73"
"RB","Reggie Bonnafon","CAR","TEN","3700","0.5%","1%","0%","0%","0.00"
"WR","Nelson Agholor","PHI","CHI","3600","0.5%","24%","2%","3%","5.58"
"WR","Paul Richardson","WAS","@BUF","3600","0.5%","15%","1%","1%","1.62"
"TE","Eric Ebron","IND","@PIT","3600","3.0%","25%","1%","4%","1.22"
"DEF","Seattle Seahawks","SEA","TB","3600","12.5%","24%","5%","5%","0.38"
"RB","Boston Scott","PHI","CHI","3600","0.5%","5%","0%","0%","0.05"
"RB","Darrel Williams","KC","MIN","3600","0.5%","4%","0%","0%","0.04"
"WR","Tajae Sharpe","TEN","@CAR","3500","0.5%","15%","1%","1%","1.73"
"WR","Albert Wilson","MIA","NYJ","3500","0.5%","12%","0%","0%","0.95"
"DEF","New York Jets","NYJ","@MIA","3500","12.5%","34%","11%","10%","0.81"
"TE","Greg Olsen","CAR","TEN","3500","12.5%","38%","4%","10%","0.77"
"RB","Wendell Smallwood","WAS","@BUF","3500","0.5%","9%","0%","0%","0.25"
"TE","Ryan Griffin","NYJ","@MIA","3400","0.5%","20%","1%","2%","3.84"
