Tajae Sharpe,1.25,ATL,
Olamide Zaccheaus,0.95,ATL,
Albert Okwuegbunam,1.2,DEN,
Josiah Deguara,1.3,GB,
Pharaoh Brown,1.5,HOU,
Brevin Jordan,0.5,HOU,
Laquon Treadwell,2,JAC,
Joshua Palmer,0.5,LAC,
Jalen Guyton,1.3,LAC,
Albert Wilson,1.1,MIA,
Kendrick Bourne,0.9,NE,
Darius Slayton,1.2,NYG,
John Ross,2,NYG,
Keelan Cole Sr.,1.2,NYJ,
Corey Davis,0.0001,NYJ,
James Washington,1.1,PIT,
Ray-Ray McCloud,0.0001,PIT,Covid
Jauan Jennings,1.6,SF,
Dez Fitzpatrick,1.2,TEN,
Chester Rogers,1.2,TEN,
Terrace Marshall Jr.,0.0001,CAR,
Brandon Zylstra,2.25,CAR,
Colin Thompson,0.0001,CAR,
Trenton Irwin,0.0001,CIN,
Jordan Akins,0.0001,HOU,
Marlon Mack,0.0001,IND,
Luke Farrell,0.0001,JAC,
James O'Shaughnessy,1.7,JAC,
Kadarius Toney,0.0001,NYG,
Kyle Rudolph,0.0001,NYG,
La'Mical Perine,0.0001,NYJ,
Denzel Mims,0.0001,NYJ,
Chase Claypool,1.05,PIT,Leverage bet
Ke'Shawn Vaughn,0.0001,TB,
Evan Engram,1.05,NYG,Leverage bet
AJ Dillon,0.5,GB,Late Swap
Aaron Jones,3.75,GB,Late Swap
