Tajae Sharpe,0.0001,ATL
Sammy Watkins,1.2,BAL
Devin Duvernay,0.0001,BAL
Matt Breida,0.0001,BUF
P.J. Walker,0.0001,CAR
Damiere Byrd,1.3,CHI
Trenton Irwin,0.0001,CIN
Brock Wright,1.4,DET
Jemar Jefferson,0.0001,DET
Phillip Dorsett II,1.1,HOU
Danny Amendola,0.0001,HOU
David Johnson,0.0001,HOU
Ryquell Armstead,0.0001,JAC
Mecole Hardman,0.9,KC
Jalen Guyton,1.5,LAC
Joshua Palmer,1,LAC
Ihmir Smith-Marsette,0.0001,MIN
Nelson Agholor,0.0001,NE
Devin Asiasi,0.0001,NE
Collin Johnson,0.0001,NYG
Jamison Crowder,0.0001,NYJ
La'Mical Perine,0.0001,NYJ
Austin Walter,0.0001,NYJ
Mike Evans,0.0001,TB
Christian Blake,1.666666667,ATL
Olamide Zaccheaus,1.2,ATL
Sammy Watkins,1.2,BAL
Allen Robinson II,0.00001,CHI
Marquise Goodwin,1.5,CHI
Rex Burkhead,1.1,HOU
Laviska Shenault Jr.,0.0001,JAC
Tavon Austin,1.5,JAC
Noah Gray,1.5,KC
James Washington,0.5,PIT
Ray-Ray McCloud,1.25,PIT
Freddie Swain,1.2,SEA
D'Wayne Eskridge,1.2,SEA
Breshad Perriman,1.25,TB
Scotty Miller,0.8,TB
Isaiah McKenzie,1.2,BUF
Damien Harris,1.1,NE
Bryan Edwards,0.0001,LV
DeSean Jackson,1.25,LV
Kadarius Toney,1.25,NYG
Darius Slayton,1.1,NYG
