Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Cody Hollister,TEN,0.3,4.3,0.0,0.0,0.0,0.0,0.0,0.7
Stanley Morgan Jr.,CIN,0.4,4.5,0.0,0.0,0.1,0.0,0.0,0.7
Krishawn Hogan,NO,0.3,3.5,0.0,0.0,0.0,0.0,0.0,0.6
Ryan Grant,GB,0.3,3.7,0.0,0.0,0.1,0.0,0.0,0.5
Nsimba Webster,LAR,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.5
Mack Hollins,MIA,0.3,3.6,0.0,0.0,0.0,0.0,0.0,0.5
Devin Smith,DAL,0.2,3.3,0.0,0.0,0.0,0.0,0.0,0.5
Jason Moore,LAC,0.3,3.1,0.0,0.0,0.0,0.0,0.0,0.4
Damion Willis,CIN,0.2,2.6,0.0,0.0,0.0,0.0,0.0,0.4
Rico Gafford,OAK,0.3,2.8,0.0,0.0,0.0,0.0,0.0,0.4
Jaleel Scott,BAL,0.2,2.9,0.0,0.0,0.1,0.0,0.0,0.4
Darvin Kidsy,WAS,0.2,2.4,0.0,0.0,0.0,0.0,0.0,0.4
Johnny Holton,PIT,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.3
Ashton Dulin,IND,0.2,1.7,0.0,0.0,0.0,0.0,0.0,0.3
Spencer Schnell,TB,0.1,1.8,0.0,0.0,0.0,0.0,0.0,0.2
Taywan Taylor,CLE,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.2
Chris Moore,BAL,0.1,1.5,0.0,0.0,0.0,0.0,0.0,0.2
Byron Pringle,KC,0.1,1.4,0.0,0.0,0.0,0.0,0.0,0.2
Josh Malone,NYJ,0.1,1.5,0.0,0.0,0.0,0.0,0.0,0.2
Cody Core,NYG,0.0,0.7,0.0,0.2,1.0,0.0,0.0,0.2
John Ursua,SEA,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Ventell Bryant,DAL,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1
Marcell Ateman,OAK,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1
Fred Brown,DEN,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1
Steven Mitchell Jr.,HOU,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1
Geremy Davis,LAC,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1
C.J. Board,JAC,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
Jalen Guyton,LAC,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
Trevor Davis,MIA,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
Josh Bellamy,NYJ,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
KeeSean Johnson,ARI,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1
Chad Williams,IND,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1
Trent Sherfield,ARI,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Matt Slater,NE,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
De'Anthony Thomas,BAL,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
