John Brown,1.05,BUF,
Gabriel Davis,0.95,BUF,
Allen Robinson II,1.2,CHI,
Cordarrelle Patterson,0.5,CHI,
Cole Kmet,1,CHI,
Donovan Peoples-Jones,1.2,CLE,
KhaDarel Hodge,1.66,CLE,
Tim Patrick,1,DEN,Might be out
Darrius Shepherd,1.2,GB,
Chad Beebe,1.7,MIN,
Tre'Quan Smith,1.15,NO,
Jeff Smith,1.1,NYJ,
James Washington,0.8,PIT,
Tevin Coleman,1,SF,
DeeJay Dallas,1.7,SEA,
Trent Taylor,1.2,SF,
Anthony Firkser,0.8,TEN,
Alvin Kamara,1.1,NO,
Austin Carr,2.2,NO,
Chris Herndon IV,1.2,NYJ,
J.K. Dobbins,1.15,BAL,
Gus Edwards,1.15,BAL,
Mark Ingram II,0.00001,BAL,
Quintez Cephus,0.00001,DET,
Rico Gafford,0.00001,LV,
Ryan Izzo,1.66,NE,
Devin Asiasi,0.0001,NE,
James White,1.1,NE,
Marcus Johnson,0.8,IND,
Michael Pittman Jr.,2.1,IND,
Tajae Sharpe,0.0001,TEN,
Gerald Everett,0.5,LAR,
Tyler Higbee,1.3,LAR,
Jared Cook,1.1,NO,
