Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Minnesota Vikings,MIN,3.2,1.6,0.7,0.9,0.3,0.0,0.0,13.8,276.9,10.4
Philadelphia Eagles,PHI,3.4,1.2,0.7,1.2,0.2,0.0,0.0,15.6,288.5,9.5
Kansas City Chiefs,KC,2.7,1.1,0.7,1.2,0.2,0.0,0.0,17.4,326.4,8.6
Cincinnati Bengals,CIN,3.3,0.9,0.7,1.2,0.2,0.0,0.1,16.6,300.9,8.6
Pittsburgh Steelers,PIT,3.1,0.8,0.7,1.1,0.2,0.0,0.0,18.3,275.7,8.4
Baltimore Ravens,BAL,2.3,1.2,0.7,1.3,0.2,0.0,0.0,16.1,287.1,8.4
Seattle Seahawks,SEA,2.6,1.0,0.6,1.0,0.2,0.0,0.0,18.1,309.2,7.8
Miami Dolphins,MIA,2.3,1.0,0.7,1.1,0.2,0.0,0.0,18.7,311.1,7.8
Atlanta Falcons,ATL,2.4,0.9,0.7,1.1,0.2,0.0,0.0,19.6,332.8,7.6
New Orleans Saints,NO,2.2,0.8,0.7,1.3,0.2,0.0,0.1,18.7,330.0,7.4
Carolina Panthers,CAR,2.7,0.9,0.7,1.3,0.2,0.0,0.0,23.0,358.8,7.1
Tampa Bay Buccaneers,TB,2.2,1.1,0.7,1.1,0.2,0.0,0.0,22.3,366.8,6.8
Houston Texans,HOU,2.4,0.9,0.6,1.1,0.2,0.0,0.0,23.6,332.3,6.6
Buffalo Bills,BUF,1.9,0.9,0.6,1.1,0.2,0.0,0.0,21.0,340.6,6.0
New England Patriots,NE,1.9,1.0,0.5,0.9,0.2,0.0,0.0,21.3,363.9,5.9
Denver Broncos,DEN,2.6,0.6,0.5,0.8,0.2,0.0,0.0,24.5,325.9,5.9
Dallas Cowboys,DAL,2.0,0.7,0.8,1.6,0.1,0.0,0.0,24.4,375.1,5.9
San Francisco 49ers,SF,2.0,0.7,0.7,1.3,0.1,0.0,0.0,28.6,400.0,5.7
Indianapolis Colts,IND,1.8,0.8,0.6,1.0,0.2,0.0,0.0,25.8,363.3,5.6
Detroit Lions,DET,1.5,1.0,0.5,0.7,0.2,0.0,0.0,23.7,377.7,5.6
Chicago Bears,CHI,2.0,0.8,0.5,0.8,0.1,0.0,0.0,27.3,378.7,5.6
Los Angeles Chargers,LAC,2.3,0.5,0.6,1.0,0.1,0.0,0.0,28.6,403.5,5.4
Washington Redskins,WAS,2.0,0.6,0.6,0.9,0.2,0.0,0.0,25.3,364.9,5.3
Oakland Raiders,OAK,2.2,0.5,0.5,0.8,0.1,0.0,0.0,25.2,372.4,5.1
Cleveland Browns,CLE,1.5,0.7,0.6,1.0,0.1,0.0,0.0,23.2,348.6,5.0
New York Jets,NYJ,1.6,0.7,0.4,0.7,0.1,0.0,0.0,25.8,391.4,4.8
