Player Name,Team,def_sack,def_int,def_fr,def_ff,def_td,def_assist,def_safety,def_pa,def_tyda,fpts
Green Bay Packers,GB,3.1,1.2,0.8,1.2,0.2,0.0,0.0,17.8,302.2,9.3
Jacksonville Jaguars,JAC,3.3,1.1,0.7,0.9,0.2,0.0,0.1,18.9,312.5,9.0
New England Patriots,NE,2.4,1.2,0.7,1.1,0.2,0.0,0.1,16.2,313.4,8.6
Los Angeles Chargers,LAC,2.6,1.0,0.8,1.4,0.2,0.0,0.0,19.7,353.0,8.2
Pittsburgh Steelers,PIT,2.5,1.0,0.6,1.0,0.2,0.0,0.0,19.9,307.9,8.0
Denver Broncos,DEN,2.6,0.9,0.7,1.1,0.2,0.0,0.0,19.9,301.5,7.9
Tennessee Titans,TEN,2.7,1.3,0.7,1.1,0.2,0.0,0.0,20.9,328.0,7.9
Minnesota Vikings,MIN,2.4,0.9,0.7,1.0,0.2,0.0,0.0,19.9,314.6,7.6
Dallas Cowboys,DAL,2.2,0.9,0.7,1.2,0.2,0.0,0.0,19.0,320.9,7.6
Cincinnati Bengals,CIN,2.6,0.8,0.7,1.2,0.1,0.0,0.1,15.9,292.5,7.5
New York Jets,NYJ,2.5,1.1,0.7,1.0,0.2,0.0,0.0,20.9,313.5,7.4
Buffalo Bills,BUF,2.7,1.0,0.6,1.1,0.2,0.0,0.1,20.5,332.0,7.1
Houston Texans,HOU,2.6,0.9,0.7,1.2,0.2,0.0,0.0,20.0,318.5,7.0
Seattle Seahawks,SEA,2.3,1.0,0.7,1.2,0.2,0.0,0.0,20.8,329.2,6.7
Tampa Bay Buccaneers,TB,2.2,0.9,0.8,1.2,0.2,0.0,0.0,23.0,365.5,6.6
Philadelphia Eagles,PHI,2.1,0.9,0.7,1.4,0.2,0.0,0.0,24.2,341.6,6.5
Detroit Lions,DET,2.0,1.0,0.7,1.2,0.2,0.0,0.0,22.5,364.4,6.5
Baltimore Ravens,BAL,1.9,1.1,0.6,0.8,0.2,0.0,0.0,23.9,358.7,6.5
Cleveland Browns,CLE,2.4,1.0,0.5,0.8,0.2,0.0,0.0,22.1,334.8,6.5
Los Angeles Rams,LAR,2.6,0.8,0.6,1.2,0.2,0.0,0.0,24.1,369.4,6.5
San Francisco 49ers,SF,2.3,0.9,0.7,1.2,0.2,0.0,0.0,23.8,356.4,6.4
Arizona Cardinals,ARI,2.1,1.0,0.6,0.8,0.2,0.0,0.0,21.9,320.9,6.3
Indianapolis Colts,IND,2.1,0.9,0.6,0.9,0.1,0.0,0.0,23.4,336.7,6.1
Chicago Bears,CHI,2.2,0.7,0.6,0.9,0.2,0.0,0.0,20.3,306.1,5.9
Carolina Panthers,CAR,2.2,0.7,0.6,0.9,0.2,0.0,0.0,22.1,343.7,5.7
New York Giants,NYG,1.9,0.7,0.6,0.9,0.2,0.0,0.0,22.4,352.1,5.5
New Orleans Saints,NO,1.9,0.8,0.5,0.7,0.2,0.0,0.0,26.3,386.9,5.4
Washington Redskins,WAS,1.7,0.8,0.5,0.8,0.2,0.0,0.0,26.6,377.9,5.4
Kansas City Chiefs,KC,1.6,0.7,0.6,1.1,0.2,0.0,0.0,23.5,383.3,5.3
Atlanta Falcons,ATL,1.6,0.6,0.6,0.9,0.2,0.0,0.0,26.4,404.1,5.0
Miami Dolphins,MIA,1.8,0.5,0.6,0.9,0.1,0.0,0.0,29.6,417.5,4.8
Oakland Raiders,OAK,2.0,0.5,0.5,0.7,0.1,0.0,0.0,27.4,387.1,4.7
