"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Leonard Fournette","JAC","NYJ","Sun 01:00 EDT","RB","30.8%","7700","RB","13.6%","7800"
"DeAndre Hopkins","HOU","OAK","Sun 04:25 EDT","WR","25.1%","8200","WR","26.2%","8100"
"Chris Carson","SEA","ATL","Sun 01:00 EDT","RB","25.1%","8000","RB","26.1%","7000"
"Saquon Barkley","NYG","DET","Sun 01:00 EDT","RB","23.7%","8600","RB","7.0%","8900"
"Tyler Lockett","SEA","ATL","Sun 01:00 EDT","WR","21.9%","7200","WR","13.7%","7000"
"Michael Thomas","NO","ARI","Sun 01:00 EDT","WR","21.2%","8500","WR","20.6%","8000"
"Ty Johnson","DET","NYG","Sun 01:00 EDT","RB","18.5%","5200","RB","18.1%","4900"
"Todd Gurley","LA","CIN","Sun 01:00 EDT","RB","18.5%","7400","RB","15.9%","7400"
"Darren Waller","OAK","HOU","Sun 04:25 EDT","TE","18.4%","6800","TE","18.5%","5900"
"Christian McCaffrey","CAR","SF","Sun 04:05 EDT","RB","16.5%","9600","RB","15.9%","9200"
"Deshaun Watson","HOU","OAK","Sun 04:25 EDT","QB","15.7%","8400","QB","16.8%","7100"
"Alvin Kamara","NO","ARI","Sun 01:00 EDT","RB","14.4%","8100","RB","14.1%","7600"
"Russell Wilson","SEA","ATL","Sun 01:00 EDT","QB","14.1%","8600","QB","13.4%","7200"
"D.K. Metcalf","SEA","ATL","Sun 01:00 EDT","WR","14.0%","6600","WR","16.9%","5000"
"Julio Jones","ATL","SEA","Sun 01:00 EDT","WR","13.6%","7800","WR","12.4%","7700"
"Jared Goff","LA","CIN","Sun 01:00 EDT","QB","13.3%","8000","QB","12.5%","6800"
"James White","NE","CLE","Sun 04:25 EDT","RB","13.1%","6000","RB","15.5%","5100"
"Cooper Kupp","LA","CIN","Sun 01:00 EDT","WR","12.1%","7700","WR","11.5%","7500"
"Matthew Stafford","DET","NYG","Sun 01:00 EDT","QB","12.0%","7700","QB","12.1%","6100"
"Kenny Golladay","DET","NYG","Sun 01:00 EDT","WR","12.0%","6700","WR","11.5%","6400"
"Kenny Stills","HOU","OAK","Sun 04:25 EDT","WR","11.3%","5700","WR","12.4%","4700"
"Carlos Hyde","HOU","OAK","Sun 04:25 EDT","RB","11.0%","6100","RB","12.0%","4700"
"Courtland Sutton","DEN","IND","Sun 01:00 EDT","WR","11.0%","6000","WR","11.6%","5300"
"Zach Ertz","PHI","BUF","Sun 01:00 EDT","TE","10.8%","6300","TE","11.5%","5100"
"George Kittle","SF","CAR","Sun 04:05 EDT","TE","10.3%","6900","TE","9.2%","6500"
"Evan Engram","NYG","DET","Sun 01:00 EDT","TE","10.2%","6300","TE","10.2%","5300"
"Keke Coutee","HOU","OAK","Sun 04:25 EDT","WR","10.1%","5100","WR","11.6%","4100"
"Austin Hooper","ATL","SEA","Sun 01:00 EDT","TE","9.9%","6600","TE","10.1%","5500"
"Marvin Jones","DET","NYG","Sun 01:00 EDT","WR","9.4%","6300","WR","9.2%","5800"
"John Brown","BUF","PHI","Sun 01:00 EDT","WR","9.3%","5900","WR","8.4%","5900"
"Tyler Boyd","CIN","LA","Sun 01:00 EDT","WR","8.6%","5600","WR","8.7%","5100"
"Sony Michel","NE","CLE","Sun 04:25 EDT","RB","8.4%","6500","RB","8.7%","5200"
"Tom Brady","NE","CLE","Sun 04:25 EDT","QB","7.9%","7900","QB","7.5%","6600"
"Josh Allen","BUF","PHI","Sun 01:00 EDT","QB","7.6%","7700","QB","7.2%","6500"
"Matt Ryan","ATL","SEA","Sun 01:00 EDT","QB","7.5%","7600","QB","8.7%","6000"
"Julian Edelman","NE","CLE","Sun 04:25 EDT","WR","6.8%","6600","WR","5.8%","6900"
"A.J. Brown","TEN","TB","Sun 01:00 EDT","WR","6.8%","5500","WR","8.3%","4100"
"Tevin Coleman","SF","CAR","Sun 04:05 EDT","RB","6.7%","6200","RB","7.3%","5000"
"Hunter Henry","LAC","CHI","Sun 01:00 EDT","TE","6.5%","6700","TE","7.7%","4900"
"Dede Westbrook","JAC","NYJ","Sun 01:00 EDT","WR","6.1%","5800","WR","7.4%","4500"
"Le'Veon Bell","NYJ","JAC","Sun 01:00 EDT","RB","6.1%","7000","RB","5.6%","6900"
"Robert Woods","LA","CIN","Sun 01:00 EDT","WR","6.1%","7000","WR","6.2%","6300"
"Mike Williams","LAC","CHI","Sun 01:00 EDT","WR","5.9%","5700","WR","7.7%","4000"
"Nick Chubb","CLE","NE","Sun 04:25 EDT","RB","5.9%","7700","RB","6.2%","6600"
"Drew Brees","NO","ARI","Sun 01:00 EDT","QB","5.8%","7200","QB","5.2%","6300"
"Devonta Freeman","ATL","SEA","Sun 01:00 EDT","RB","5.7%","6200","RB","5.7%","5500"
"Ryan Tannehill","TEN","TB","Sun 01:00 EDT","QB","5.7%","6900","QB","6.1%","5100"
"Calvin Ridley","ATL","SEA","Sun 01:00 EDT","WR","5.7%","5400","WR","5.0%","5600"
"Mike Evans","TB","TEN","Sun 01:00 EDT","WR","5.5%","7400","WR","5.6%","6600"
