"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Christian McCaffrey","CAR","@SF","9200","12.5%","58%","25%","24%","1.94"
"RB","Saquon Barkley","NYG","@DET","8900","22.5%","56%","23%","22%","0.98"
"WR","DeAndre Hopkins","HOU","OAK","8100","27.5%","61%","24%","22%","0.79"
"WR","Michael Thomas","NO","ARI","8000","22.5%","68%","31%","28%","1.24"
"RB","Leonard Fournette","JAX","NYJ","7800","17.5%","55%","20%","19%","1.09"
"WR","Julio Jones","ATL","SEA","7700","17.5%","51%","17%","16%","0.89"
"WR","Cooper Kupp","LAR","CIN","7500","17.5%","47%","14%","13%","0.73"
"RB","Todd Gurley","LAR","CIN","7400","17.5%","45%","13%","12%","0.71"
"QB","Russell Wilson","SEA","@ATL","7200","17.5%","58%","27%","12%","0.67"
"WR","Chris Godwin","TB","@TEN","7100","7.5%","50%","15%","13%","1.77"
"QB","Deshaun Watson","HOU","OAK","7100","17.5%","59%","28%","12%","0.71"
"RB","Chris Carson","SEA","@ATL","7000","17.5%","53%","16%","16%","0.90"
"WR","Tyler Lockett","SEA","@ATL","7000","22.5%","49%","14%","13%","0.57"
"WR","Julian Edelman","NE","CLE","6900","7.5%","48%","14%","13%","1.73"
"RB","LeVeon Bell","NYJ","@JAX","6900","12.5%","52%","15%","14%","1.13"
"QB","Jared Goff","LAR","CIN","6800","12.5%","44%","14%","6%","0.50"
"WR","Mike Evans","TB","@TEN","6600","7.5%","46%","12%","11%","1.46"
"RB","Nick Chubb","CLE","@NE","6600","7.5%","45%","11%","10%","1.35"
"QB","Tom Brady","NE","CLE","6600","12.5%","46%","16%","7%","0.55"
"TE","George Kittle","SF","CAR","6500","7.5%","43%","6%","9%","1.15"
"QB","Josh Allen","BUF","PHI","6500","7.5%","47%","18%","8%","1.06"
"WR","Odell Beckham","CLE","@NE","6500","7.5%","37%","7%","7%","0.89"
"WR","Kenny Golladay","DET","NYG","6400","7.5%","45%","12%","11%","1.43"
"WR","Keenan Allen","LAC","@CHI","6400","7.5%","43%","10%","9%","1.18"
"WR","Robert Woods","LAR","CIN","6300","7.5%","40%","9%","8%","1.08"
"QB","Kyler Murray","ARI","@NO","6200","3.0%","43%","16%","7%","2.26"
"RB","Chase Edmonds","ARI","@NO","6200","7.5%","43%","9%","8%","1.09"
"RB","Marlon Mack","IND","DEN","6100","7.5%","43%","9%","9%","1.15"
"WR","T.Y. Hilton","IND","DEN","6100","12.5%","49%","14%","12%","1.00"
"QB","Matthew Stafford","DET","NYG","6100","7.5%","45%","15%","6%","0.85"
"RB","Derrick Henry","TEN","TB","6000","7.5%","45%","10%","10%","1.33"
"WR","D.J. Chark","JAX","NYJ","6000","7.5%","43%","10%","9%","1.25"
"WR","Allen Robinson","CHI","LAC","6000","7.5%","41%","9%","8%","1.09"
"QB","Matt Ryan","ATL","SEA","6000","7.5%","46%","14%","6%","0.82"
"QB","Jameis Winston","TB","@TEN","5900","3.0%","36%","10%","4%","1.50"
"RB","Austin Ekeler","LAC","@CHI","5900","7.5%","46%","8%","8%","1.05"
"TE","Darren Waller","OAK","@HOU","5900","17.5%","55%","10%","15%","0.86"
"WR","John Brown","BUF","PHI","5900","17.5%","51%","14%","12%","0.71"
"QB","Teddy Bridgewater","NO","ARI","5900","7.5%","38%","11%","5%","0.61"
"QB","Daniel Jones","NYG","@DET","5800","3.0%","39%","12%","5%","1.76"
"RB","Josh Jacobs","OAK","@HOU","5800","7.5%","47%","11%","10%","1.36"
"WR","Golden Tate","NYG","@DET","5800","7.5%","43%","9%","9%","1.15"
"RB","Latavius Murray","NO","ARI","5800","27.5%","72%","29%","27%","0.99"
"WR","Marvin Jones","DET","NYG","5800","17.5%","48%","13%","12%","0.67"
"QB","Jimmy Garoppolo","SF","CAR","5700","3.0%","29%","7%","3%","0.97"
"WR","Brandin Cooks","LAR","CIN","5700","7.5%","37%","7%","7%","0.90"
"QB","Jacoby Brissett","IND","DEN","5600","3.0%","41%","13%","6%","1.89"
"RB","Phillip Lindsay","DEN","@IND","5600","3.0%","38%","6%","6%","1.89"
"QB","Carson Wentz","PHI","@BUF","5600","3.0%","36%","10%","4%","1.48"
"WR","Calvin Ridley","ATL","SEA","5600","12.5%","42%","9%","8%","0.68"
"RB","Royce Freeman","DEN","@IND","5500","0.5%","32%","4%","4%","7.12"
"QB","Sam Darnold","NYJ","@JAX","5500","0.5%","29%","7%","3%","6.29"
"QB","Gardner Minshew","JAX","NYJ","5500","3.0%","38%","12%","5%","1.70"
"RB","Devonta Freeman","ATL","SEA","5500","7.5%","47%","10%","9%","1.22"
"TE","Austin Hooper","ATL","SEA","5500","17.5%","58%","12%","17%","1.00"
"WR","Larry Fitzgerald","ARI","@NO","5400","3.0%","41%","8%","7%","2.41"
"RB","Melvin Gordon","LAC","@CHI","5400","3.0%","33%","4%","4%","1.25"
"QB","Philip Rivers","LAC","@CHI","5300","0.5%","30%","7%","3%","5.74"
"WR","Courtland Sutton","DEN","@IND","5300","7.5%","45%","10%","9%","1.19"
"TE","Evan Engram","NYG","@DET","5300","12.5%","53%","9%","14%","1.11"
