Name_ID,ID,Pos
Texans  (11854743),11854743,DST
Packers  (11854756),11854756,DST
Seahawks  (11854741),11854741,DST
Bills  (11854750),11854750,DST
Rams  (11854740),11854740,DST
Steelers  (11854742),11854742,DST
Ravens  (11854747),11854747,DST
Bears  (11854748),11854748,DST
Patriots  (11854745),11854745,DST
Dolphins  (11854754),11854754,DST
Chargers  (11854744),11854744,DST
Vikings  (11854755),11854755,DST
Eagles  (11854749),11854749,DST
Chiefs  (11854752),11854752,DST
Saints  (11854751),11854751,DST
Jaguars  (11854758),11854758,DST
Giants  (11854763),11854763,DST
Cowboys  (11854746),11854746,DST
Falcons  (11854753),11854753,DST
Browns  (11854757),11854757,DST
Lions  (11854764),11854764,DST
Broncos  (11854762),11854762,DST
Cardinals  (11854759),11854759,DST
Panthers  (11854769),11854769,DST
Redskins  (11854761),11854761,DST
Jets  (11854765),11854765,DST
Buccaneers  (11854766),11854766,DST
Bengals  (11854768),11854768,DST
49ers  (11854767),11854767,DST
Raiders  (11854760),11854760,DST
Patrick Mahomes (11853792),11853792,QB
Ben Roethlisberger (11853793),11853793,QB
Aaron Rodgers (11853798),11853798,QB
Matt Ryan (11853797),11853797,QB
Deshaun Watson (11853794),11853794,QB
Jared Goff (11853799),11853799,QB
Russell Wilson (11853801),11853801,QB
Lamar Jackson (11853807),11853807,QB
Jameis Winston (11853800),11853800,QB
Tom Brady (11853803),11853803,QB
Nick Foles (11853804),11853804,QB
Philip Rivers (11853796),11853796,QB
Kirk Cousins (11853808),11853808,QB
Sam Darnold (11853810),11853810,QB
Derek Carr (11853812),11853812,QB
Josh Allen (11853802),11853802,QB
Baker Mayfield (11853809),11853809,QB
Mitchell Trubisky (11853806),11853806,QB
Josh Johnson (11853817),11853817,QB
Eli Manning (11853814),11853814,QB
Teddy Bridgewater (11853830),11853830,QB
Nick Mullens (11853819),11853819,QB
Matthew Stafford (11853811),11853811,QB
Blake Bortles (11853833),11853833,QB
Case Keenum (11853816),11853816,QB
Jeff Driskel (11853821),11853821,QB
Dak Prescott (11853805),11853805,QB
Ryan Tannehill (11853822),11853822,QB
Josh Rosen (11853831),11853831,QB
Kyle Allen (11853848),11853848,QB
Saquon Barkley (11853878),11853878,RB
Tyreek Hill (11854152),11854152,WR
Julio Jones (11854150),11854150,WR
JuJu Smith-Schuster (11854154),11854154,WR
DeAndre Hopkins (11854156),11854156,WR
Travis Kelce (11854524),11854524,TE
Melvin Gordon III (11853876),11853876,RB
C.J. Anderson (11853922),11853922,RB
Robert Woods (11854174),11854174,WR
Julian Edelman (11854166),11854166,WR
Rod Smith (11853910),11853910,RB
