"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Derrick Henry",TEN,"1","6","1.7","1.3"
"2","Alvin Kamara",NO,"1","4","1.8","0.6"
"3","Aaron Jones",GB,"1","10","3.8","1.1"
"4","Dalvin Cook",MIN,"2","7","3.9","1.1"
"5","Austin Ekeler",LAC,"3","9","4.4","1.3"
"6","David Montgomery",CHI,"3","7","5.6","0.9"
"7","Miles Sanders",PHI,"4","17","8.2","1.5"
"8","Nick Chubb",CLE,"6","16","9.4","2.1"
"9","Jeff Wilson Jr.",SF,"7","24","10.7","5.0"
"10","David Johnson",HOU,"9","21","11.6","1.6"
"11","Leonard Fournette",TB,"5","29","11.8","3.6"
"12","Melvin Gordon III",DEN,"8","18","11.8","2.7"
"13","Josh Jacobs",LV,"7","16","13.0","1.3"
"14","D'Andre Swift",DET,"8","22","14.6","3.2"
"15","J.K. Dobbins",BAL,"8","30","15.0","2.6"
"16","Jonathan Taylor",IND,"8","27","15.3","2.3"
"17","Chris Carson",SEA,"13","32","17.7","3.2"
"18","Le'Veon Bell",KC,"9","41","18.3","3.4"
"19","Kareem Hunt",CLE,"8","24","18.7","2.9"
"20","Mike Davis",CAR,"8","26","20.1","2.9"
"21","Kenyan Drake",ARI,"14","36","21.4","2.5"
"22","Giovani Bernard",CIN,"7","52","21.5","3.9"
"23","J.D. McKissic",WAS,"15","28","22.0","2.1"
"24","Darrell Henderson",LAR,"17","45","24.6","1.0"
"25","Tony Pollard",DAL,"8","37","25.0","5.1"
"26","Myles Gaskin",MIA,"17","48","26.2","5.3"
"27","Nyheim Hines",IND,"23","34","28.3","1.4"
"28","Wayne Gallman",NYG,"24","43","30.2","3.1"
"29","Chase Edmonds",ARI,"27","37","30.2","2.3"
"30","Devin Singletary",BUF,"26","41","31.9","2.4"
"31","Zack Moss",BUF,"27","43","34.5","3.2"
"32","Ito Smith",ATL,"28","64","34.6","2.4"
"33","Ezekiel Elliott",DAL,"20","80","32.0","10.6"
"34","James Conner",PIT,"28","45","35.4","3.8"
"35","James White",NE,"23","47","36.6","3.2"
"36","Antonio Gibson",WAS,"13","78","32.3","13.5"
"37","Salvon Ahmed",MIA,"29","51","37.8","3.8"
"38","Sony Michel",NE,"28","46","37.8","4.9"
"39","Latavius Murray",NO,"30","48","39.2","2.4"
"40","Gus Edwards",BAL,"35","56","39.8","3.3"
"41","Frank Gore",NYJ,"37","47","40.7","2.5"
"42","Malcolm Brown",LAR,"34","61","40.9","2.7"
"43","Lynn Bowden Jr.",MIA,"25","55","37.0","7.3"
"44","Benny Snell Jr.",PIT,"36","64","46.0","4.7"
"45","Dare Ogunbowale",JAC,"36","82","45.8","8.4"
"46","Darrel Williams",KC,"37","81","46.9","6.3"
"47","Todd Gurley II",ATL,"39","62","48.7","4.5"
"48","Kalen Ballage",LAC,"42","54","48.8","2.2"
"49","Ty Johnson",NYJ,"31","64","49.9","4.3"
"50","Carlos Hyde",SEA,"41","57","49.9","3.1"
"51","Devine Ozigbo",JAC,"30","61","49.1","6.0"
"52","Boston Scott",PHI,"46","77","54.4","5.3"
"53","Jerick McKinnon",SF,"34","78","57.5","6.0"
"54","Devontae Booker",LV,"46","74","55.6","4.1"
"55","LeSean McCoy",TB,"39","67","53.7","4.7"
"56","Adrian Peterson",DET,"41","66","60.8","3.9"
"57","Matt Breida",MIA,"42","91","59.3","8.1"
"58","Samaje Perine",CIN,"51","68","59.4","3.4"
"59","Tevin Coleman",SF,"48","74","57.3","5.2"
"60","Peyton Barber",WAS,"34","85","62.1","9.8"
"61","AJ Dillon",GB,"51","95","63.6","7.6"
"62","Kerryon Johnson",DET,"53","78","66.6","6.2"
"63","Brian Hill",ATL,"54","77","64.1","3.5"
"64","Trayveon Williams",CIN,"56","70","62.9","3.8"
"65","Jaylen Samuels",PIT,"50","78","65.5","8.4"
"66","Alfred Morris",NYG,"64","86","68.5","3.8"
"67","Dion Lewis",NYG,"53","80","67.2","4.7"
"68","Rodney Smith",CAR,"50","105","70.6","7.8"
"69","Darrynton Evans",TEN,"55","80","65.9","5.8"
"70","Kyle Juszczyk",SF,"49","84","65.9","7.3"
"71","Damien Harris",NE,"33","92","64.5","13.9"
"72","Joshua Kelley",LAC,"61","82","71.1","4.1"
"73","Jordan Wilkins",IND,"60","80","73.7","4.0"
"74","Ke'Shawn Vaughn",TB,"61","80","73.9","3.1"
"75","Jalen Richard",LV,"63","78","73.0","3.3"
"76","Royce Freeman",DEN,"46","91","69.0","13.9"
"77","Rashaad Penny",SEA,"59","84","76.9","5.2"
"78","Buddy Howell",HOU,"61","91","77.7","5.9"
"79","Jeremy McNichols",TEN,"59","89","83.3","4.5"
"80","Ameer Abdullah",MIN,"66","90","79.3","4.8"
"81","La'Mical Perine",NYJ,"42","90","76.7","10.9"
"82","Justice Hill",BAL,"74","91","82.8","2.8"
"83","Anthony McFarland Jr.",PIT,"72","98","82.0","5.7"
"84","Patrick Laird",MIA,"70","100","82.8","5.3"
"85","Darwin Thompson",KC,"77","92","84.0","3.5"
"86","D'Ernest Johnson",CLE,"43","102","90.7","6.5"
"87","Alec Ingold",LV,"73","91","83.6","4.3"
"88","Josh Adams",NYJ,"82","110","89.6","5.7"
"89","Rico Dowdle",DAL,"64","104","89.3","6.4"
"90","J.J. Taylor",NE,"81","104","90.2","5.0"
"91","Devonta Freeman",NYG,"62","95","88.7","6.7"
"92","Patrick Ricard",BAL,"76","93","83.7","5.6"
"93","Jordan Howard",PHI,"48","105","96.7","4.8"
"94","C.J. Prosise",HOU,"71","103","87.8","7.0"
"95","Mike Boone",MIN,"60","108","94.9","6.2"
"96","Corey Clement",PHI,"89","108","96.2","5.5"
"97","Scottie Phillips",HOU,"88","111","95.7","6.0"
"98","Jakob Johnson",NE,"83","99","92.8","4.8"
"99","Trenton Cannon",CAR,"87","102","96.6","4.0"
"100","Jamaal Williams",GB,"33","100","76.2","24.3"
"101","Ryan Nall",CHI,"93","108","99.8","4.1"
"102","Ty Montgomery",NO,"71","113","97.8","12.6"
"103","Keith Smith",ATL,"81","99","94.1","5.5"
"104","Alex Armah",CAR,"91","115","104.7","4.8"
"105","Michael Burton",NO,"92","106","100.6","3.7"
"106","Gabe Nabers",LAC,"88","116","106.6","4.5"
"107","Khari Blasingame",TEN,"95","112","105.6","5.5"
"108","C.J. Ham",MIN,"42","111","96.2","10.4"
"109","Elijhaa Penny",NYG,"100","109","104.3","2.7"
"110","Justin Jackson",LAC,"73","110","98.0","15.1"
"111","Anthony Sherman",KC,"98","114","106.4","3.9"
"112","Michael Warren II",WAS,"89","113","108.4","4.5"
"113","Lamar Miller",WAS,"62","127","99.7","27.5"
"114","Senorise Perry",TEN,"95","117","111.8","3.5"
"115","Andy Janovich",CLE,"95","121","113.0","5.4"
"116","Raymond Calais",LAR,"83","122","104.0","16.1"
"117","Reggie Gilliam",BUF,"103","118","110.0","5.9"
"118","Nathan Cottrell",JAC,"103","120","110.3","6.3"
"119","Elijah McGuire",KC,"79","128","110.8","19.0"
"120","Derek Watt",PIT,"111","119","116.3","3.8"
"121","Taiwan Jones",BUF,"115","120","117.3","2.0"
"122","Qadree Ollison",ATL,"118","124","121.0","2.5"
"123","T.J. Yeldon",BUF,"119","123","121.0","1.6"
"124","D'Onta Foreman",TEN,"116","125","121.7","4.0"
"125","Troymaine Pope",LAC,"120","126","123.0","2.5"
"126","D.J. Foster",ARI,"118","130","125.0","5.1"
"127","Artavis Pierce",CHI,"123","129","126.0","2.5"
