"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Patrick Mahomes II",KC,"1","3","1.0","0.2"
"2","Kyler Murray",ARI,"2","8","2.5","0.6"
"3","Aaron Rodgers",GB,"2","7","3.6","1.4"
"4","Jalen Hurts",PHI,"1","8","4.8","1.2"
"5","Lamar Jackson",BAL,"1","10","4.9","1.3"
"6","Deshaun Watson",HOU,"3","9","5.0","1.4"
"7","Josh Allen",BUF,"2","9","6.7","1.0"
"8","Tom Brady",TB,"3","10","8.0","1.1"
"9","Justin Herbert",LAC,"3","12","9.3","0.8"
"10","Ryan Tannehill",TEN,"8","23","9.5","2.0"
"11","Russell Wilson",SEA,"9","16","11.6","1.0"
"12","Mitchell Trubisky",CHI,"10","14","12.0","0.8"
"13","Drew Brees",NO,"10","20","14.3","1.4"
"14","Matt Ryan",ATL,"12","22","14.7","1.9"
"15","Jared Goff",LAR,"12","20","15.6","1.8"
"16","Tua Tagovailoa",MIA,"11","20","16.1","1.5"
"17","Baker Mayfield",CLE,"11","28","17.7","4.8"
"18","Matthew Stafford",DET,"9","20","17.8","1.2"
"19","Kirk Cousins",MIN,"14","25","18.2","1.8"
"20","Ben Roethlisberger",PIT,"11","24","19.1","2.4"
"21","Teddy Bridgewater",CAR,"17","32","22.7","2.4"
"22","Philip Rivers",IND,"20","27","22.7","2.1"
"23","Derek Carr",LV,"20","30","22.8","2.2"
"24","Andy Dalton",DAL,"16","30","22.8","3.1"
"25","Drew Lock",DEN,"20","28","24.3","1.8"
"26","Cam Newton",NE,"18","34","25.2","2.3"
"27","C.J. Beathard",SF,"22","31","27.3","1.6"
"28","Sam Darnold",NYJ,"25","32","28.3","1.5"
"29","Daniel Jones",NYG,"22","33","30.0","1.5"
"30","Alex Smith",WAS,"24","36","31.2","2.7"
"31","Mike Glennon",JAC,"24","34","30.9","1.8"
"32","Taysom Hill",NO,"31","36","33.3","0.8"
"33","Ryan Finley",CIN,"28","37","31.4","2.1"
"34","Dwayne Haskins",WAS,"28","36","31.8","2.2"
"35","Brandon Allen",CIN,"27","43","33.0","4.0"
"36","Marcus Mariota",LV,"22","43","34.3","4.0"
"37","Jacoby Brissett",IND,"33","40","35.5","1.7"
"38","Gardner Minshew II",JAC,"24","40","34.1","5.0"
"39","Colt McCoy",NYG,"33","42","37.7","2.4"
"40","Jarrett Stidham",NE,"35","41","37.8","2.0"
"41","Chase Daniel",DET,"36","50","42.3","3.5"
"42","Josh Johnson",SF,"34","42","38.0","4.0"
"43","Josh Rosen",SF,"37","46","42.0","3.7"
"44","Taylor Heinicke",WAS,"39","45","42.7","2.6"
"45","Tyler Huntley",BAL,"41","47","44.3","2.5"
