"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Travis Kelce",KC,"1","1","1.0","0.0"
"2","Darren Waller",LV,"2","5","2.1","0.2"
"3","Mark Andrews",BAL,"2","5","3.7","0.6"
"4","T.J. Hockenson",DET,"3","8","4.3","1.4"
"5","Robert Tonyan",GB,"2","11","5.9","1.5"
"6","Logan Thomas",WAS,"3","11","6.0","1.0"
"7","Noah Fant",DEN,"5","9","7.9","0.7"
"8","Dallas Goedert",PHI,"7","15","9.3","1.2"
"9","Rob Gronkowski",TB,"8","16","10.4","1.1"
"10","Evan Engram",NYG,"9","18","11.9","1.4"
"11","George Kittle",SF,"3","32","6.8","5.4"
"12","Austin Hooper",CLE,"5","23","13.2","3.4"
"13","Jared Cook",NO,"10","18","14.6","2.3"
"14","Jonnu Smith",TEN,"11","26","14.9","2.1"
"15","Cole Kmet",CHI,"12","28","16.5","2.9"
"16","Dalton Schultz",DAL,"10","22","17.0","2.9"
"17","Hayden Hurst",ATL,"9","22","17.1","2.4"
"18","Tyler Higbee",LAR,"12","24","18.6","2.6"
"19","Mike Gesicki",MIA,"8","36","14.7","6.0"
"20","Eric Ebron",PIT,"10","29","18.3","3.9"
"21","Zach Ertz",PHI,"15","26","21.3","2.2"
"22","Irv Smith Jr.",MIN,"13","27","21.3","2.7"
"23","Jordan Akins",HOU,"13","32","22.4","2.8"
"24","Dan Arnold",ARI,"17","35","25.0","3.2"
"25","Tyler Eifert",JAC,"22","35","26.9","2.6"
"26","Dawson Knox",BUF,"19","37","27.4","2.8"
"27","Gerald Everett",LAR,"20","34","27.2","2.3"
"28","Jordan Reed",SF,"16","43","31.8","6.5"
"29","Drew Sample",CIN,"21","34","29.2","2.8"
"30","Jacob Hollister",SEA,"24","49","32.3","5.3"
"31","Jimmy Graham",CHI,"26","47","32.0","3.3"
"32","Donald Parham Jr.",LAC,"19","34","25.8","3.8"
"33","Trey Burton",IND,"27","48","33.1","3.5"
"34","Jack Doyle",IND,"27","45","36.1","3.5"
"35","Durham Smythe",MIA,"30","51","39.1","4.0"
"36","Harrison Bryant",CLE,"22","38","32.1","4.0"
"37","Anthony Firkser",TEN,"32","51","38.6","4.0"
"38","Cameron Brate",TB,"24","43","32.8","4.1"
"39","Adam Shaheen",MIA,"29","48","40.3","4.7"
"40","Mo Alie-Cox",IND,"30","46","37.4","3.7"
"41","Chris Herndon IV",NYJ,"33","45","40.8","1.8"
"42","David Njoku",CLE,"29","47","38.8","4.8"
"43","Will Dissly",SEA,"23","51","45.1","4.8"
"44","Tyler Conklin",MIN,"29","46","38.8","3.6"
"45","Ian Thomas",CAR,"37","47","43.0","1.9"
