Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
4,Adam Thielen,MIN,CHI,1,11,4.3,1.3,1.69
111,Dan Arnold,NO,PHI,91,120,108.4,11.3,1.403186813
19,Alshon Jeffery,PHI,NO,12,27,17.9,4,1.333333333
107,Nick Williams,LAR,KC,80,109,96,10,1.25
11,Keenan Allen,LAC,DEN,4,22,11.2,2.2,1.21
112,Noah Brown,DAL,ATL,90,116,106,10.1,1.133444444
117,Trent Sherfield,ARI,OAK,100,127,117.8,10.5,1.1025
89,Brandon Marshall,NO,PHI,69,106,90.7,7.9,0.904492754
23,John Brown,BAL,CIN,20,47,24.8,4.2,0.882
67,Equanimeous St. Brown,GB,SEA,51,83,70.1,6.5,0.828431373
52,Nelson Agholor,PHI,NO,27,60,53.6,4.5,0.75
33,Sammy Watkins,KC,LAR,24,60,28.4,4.2,0.735
20,Larry Fitzgerald,ARI,OAK,10,33,18.3,2.7,0.729
3,DeAndre Hopkins,HOU,WAS,2,13,3.7,1.2,0.72
15,T.Y. Hilton,IND,TEN,11,25,16.3,2.8,0.712727273
71,TJ Jones,DET,CAR,52,79,71.5,5.9,0.669423077
8,Davante Adams,GB,SEA,3,11,7.4,1.4,0.653333333
30,Golden Tate,PHI,NO,20,39,30.9,3.6,0.648
44,Tre'Quan Smith,NO,PHI,26,61,43.5,4,0.615384615
5,Tyreek Hill,KC,LAR,2,8,4.6,1.1,0.605
16,Corey Davis,TEN,IND,6,21,16.5,1.9,0.601666667
10,Brandin Cooks,LAR,KC,5,13,10.2,1.7,0.578
55,Mike Williams,LAC,DEN,28,66,54.2,4,0.571428571
18,Kenny Golladay,DET,CAR,12,26,17.7,2.6,0.563333333
12,Mike Evans,TB,NYG,6,19,11.9,1.8,0.54
47,D.J. Moore,CAR,DET,27,54,47.2,3.8,0.534814815
115,Kevin White,CHI,MIN,106,127,116,7.5,0.530660377
35,Devin Funchess,CAR,DET,22,42,35.8,3.4,0.525454545
14,Emmanuel Sanders,DEN,LAC,12,21,16,2.5,0.520833333
68,Keelan Cole,JAC,PIT,55,80,71.7,5.3,0.510727273
73,Tajae Sharpe,TEN,IND,48,83,73.7,4.9,0.500208333
104,DaeSean Hamilton,DEN,LAC,80,115,103.2,6.3,0.496125
28,Courtland Sutton,DEN,LAC,26,63,30.6,3.5,0.471153846
78,Austin Carr,NO,PHI,70,96,78.2,5.6,0.448
22,Tyler Boyd,CIN,BAL,14,29,20.7,2.5,0.446428571
32,Doug Baldwin,SEA,GB,24,51,31.9,3.2,0.426666667
83,Cody Core,CIN,BAL,62,92,79.4,5.1,0.419516129
113,Josh Malone,CIN,BAL,104,123,113.8,6.6,0.418846154
77,Ryan Switzer,PIT,JAC,68,96,77.1,5.3,0.413088235
