"Player","Pos","Team","Opp","DK $","DK Own%","FD $","FD Own%"
"T.Y. Hilton","WR","IND","@LAC","6600","1-5%","7700","1-5%"
"Tajae Sharpe","WR","TEN","@CLE","3000","0-1%","4500","0-1%"
"Tavon Austin","WR","DAL","NYG","3000","0-1%","4500","0-1%"
"Taywan Taylor","WR","CLE","TEN","3100","0-1%","4500","0-1%"
"Terry McLaurin","WR","WAS","@PHI","3300","0-1%","4500","0-1%"
"Travis Benjamin","WR","LAC","IND","3300","0-1%","4900","0-1%"
"Trent Sherfield","WR","ARI","DET","3000","0-1%","4500","0-1%"
"Trey Quinn","WR","WAS","@PHI","3400","0-1%","4900","0-1%"
"Tyler Boyd","WR","CIN","@SEA","5800","10.5-15.5%","6900","5.5-10.5%"
"Tyler Lockett","WR","SEA","CIN","6000","15.5-20.5%","6800","10.5-15.5%"
"Tyreek Hill","WR","KC","@JAX","7600","15.5-20.5%","7600","20.5-25.5%"
"Willie Snead","WR","BAL","@MIA","4000","0-1%","4800","0-1%"
"Zach Pascal","WR","IND","@LAC","3100","0-1%","4500","0-1%"
"Zay Jones","WR","BUF","@NYJ","3700","0-1%","5000","0-1%"
