Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Travis Kelce,KC,JAC,Sun 01:00 EDT,TE,26.40%,7800,TE,20.20%,7100
Christian McCaffrey,CAR,LA,Sun 01:00 EDT,RB,25.80%,8900,RB,23.30%,8800
Saquon Barkley,NYG,DAL,Sun 04:25 EDT,RB,25.80%,9200,RB,23.60%,9000
Tyreek Hill,KC,JAC,Sun 01:00 EDT,WR,22.50%,7600,WR,19.20%,7600
Dalvin Cook,MIN,ATL,Sun 01:00 EDT,RB,22.00%,7400,RB,23.30%,6000
Odell Beckham,CLE,TEN,Sun 01:00 EDT,WR,21.70%,8200,WR,18.90%,8100
Julio Jones,ATL,MIN,Sun 01:00 EDT,WR,17.40%,8500,WR,16.10%,8000
Austin Ekeler,LAC,IND,Sun 04:05 EDT,RB,17.20%,6400,RB,17.30%,5500
Adam Thielen,MIN,ATL,Sun 01:00 EDT,WR,16.80%,7400,WR,16.10%,6800
George Kittle,SF,TB,Sun 04:25 EDT,TE,15.90%,7300,TE,12.10%,6600
Tyler Lockett,SEA,CIN,Sun 04:05 EDT,WR,15.70%,6800,WR,15.40%,6000
Ezekiel Elliott,DAL,NYG,Sun 04:25 EDT,RB,15.60%,9100,RB,13.30%,9200
Tyler Boyd,CIN,SEA,Sun 04:05 EDT,WR,15.10%,6900,WR,16.10%,5800
Curtis Samuel,CAR,LA,Sun 01:00 EDT,WR,14.30%,5900,WR,17.70%,4200
Chris Carson,SEA,CIN,Sun 04:05 EDT,RB,14.10%,6600,RB,13.70%,5700
Brandin Cooks,LA,CAR,Sun 01:00 EDT,WR,14.10%,7000,WR,13.20%,6500
Stefon Diggs,MIN,ATL,Sun 01:00 EDT,WR,13.50%,7200,WR,12.80%,6700
Jameis Winston,TB,SF,Sun 04:25 EDT,QB,13.00%,7500,QB,11.80%,6600
Mike Evans,TB,SF,Sun 04:25 EDT,WR,12.60%,7900,WR,10.90%,7900
Zach Ertz,PHI,WAS,Sun 01:00 EDT,TE,12.40%,7100,TE,10.10%,6100
Le'Veon Bell,NYJ,BUF,Sun 01:00 EDT,RB,12.40%,7900,RB,12.00%,7100
Amari Cooper,DAL,NYG,Sun 04:25 EDT,WR,11.90%,7500,WR,11.00%,7000
Chris Godwin,TB,SF,Sun 04:25 EDT,WR,11.60%,6900,WR,11.40%,6200
Robert Woods,LA,CAR,Sun 01:00 EDT,WR,11.50%,7000,WR,11.00%,6400
Patrick Mahomes,KC,JAC,Sun 01:00 EDT,QB,10.20%,8700,QB,9.90%,7200
Hunter Henry,LAC,IND,Sun 04:05 EDT,TE,10.20%,6100,TE,11.10%,3900
Dede Westbrook,JAC,KC,Sun 01:00 EDT,WR,9.70%,5900,WR,10.60%,4800
Evan Engram,NYG,DAL,Sun 04:25 EDT,TE,9.70%,6400,TE,9.00%,4800
David Johnson,ARI,DET,Sun 04:25 EDT,RB,9.20%,8100,RB,8.60%,7700
Todd Gurley,LA,CAR,Sun 01:00 EDT,RB,9.20%,7600,RB,7.50%,7900
Jared Goff,LA,CAR,Sun 01:00 EDT,QB,8.60%,7800,QB,8.70%,6200
Kenny Golladay,DET,ARI,Sun 04:25 EDT,WR,8.50%,6900,WR,8.20%,6300
Carson Wentz,PHI,WAS,Sun 01:00 EDT,QB,8.10%,7600,QB,8.60%,5700
Kyler Murray,ARI,DET,Sun 04:25 EDT,QB,7.90%,7300,QB,8.30%,5600
Lamar Jackson,BAL,MIA,Sun 01:00 EDT,QB,7.80%,7400,QB,7.70%,6000
Damien Williams,KC,JAC,Sun 01:00 EDT,RB,7.80%,6900,RB,7.50%,6300
Dante Pettis,SF,TB,Sun 04:25 EDT,WR,7.70%,6500,WR,8.10%,5400
DeSean Jackson,PHI,WAS,Sun 01:00 EDT,WR,7.10%,5600,WR,7.50%,4500
Kerryon Johnson,DET,ARI,Sun 04:25 EDT,RB,7.10%,7000,RB,7.40%,5800
Cam Newton,CAR,LA,Sun 01:00 EDT,QB,6.40%,7900,QB,6.30%,6500
D.J. Moore,CAR,LA,Sun 01:00 EDT,WR,6.30%,6200,WR,6.20%,5500
Nick Foles,JAC,KC,Sun 01:00 EDT,QB,5.80%,6500,QB,5.70%,5300
Nick Chubb,CLE,TEN,Sun 01:00 EDT,RB,5.70%,7400,RB,5.50%,6400
Baker Mayfield,CLE,TEN,Sun 01:00 EDT,QB,5.70%,7900,QB,5.60%,6400
Leonard Fournette,JAC,KC,Sun 01:00 EDT,RB,5.70%,7200,RB,5.80%,6100
Jimmy Garoppolo,SF,TB,Sun 04:25 EDT,QB,5.60%,7200,QB,5.50%,5800
T.Y. Hilton,IND,LAC,Sun 04:05 EDT,WR,5.50%,7700,WR,5.80%,6600
Sammy Watkins,KC,JAC,Sun 01:00 EDT,WR,5.50%,6300,WR,6.00%,5000
Kirk Cousins,MIN,ATL,Sun 01:00 EDT,QB,5.50%,7400,QB,5.90%,5500
Russell Wilson,SEA,CIN,Sun 04:05 EDT,QB,5.10%,8200,QB,5.30%,6300
Justin Jackson,LAC,IND,Sun 04:05 EDT,RB,4.70%,5900,RB,6.10%,4000
Keenan Allen,LAC,IND,Sun 04:05 EDT,WR,4.60%,7700,WR,4.30%,7300
Jason Witten,DAL,NYG,Sun 04:25 EDT,TE,4.50%,4700,TE,5.00%,3000
Kyle Rudolph,MIN,ATL,Sun 01:00 EDT,TE,4.50%,5100,TE,4.80%,3300
Tevin Coleman,SF,TB,Sun 04:25 EDT,RB,4.50%,6300,RB,4.80%,5000
Sterling Shepard,NYG,DAL,Sun 04:25 EDT,WR,4.40%,6000,WR,4.70%,5000
Cooper Kupp,LA,CAR,Sun 01:00 EDT,WR,4.20%,6800,WR,4.40%,5700
Austin Hooper,ATL,MIN,Sun 01:00 EDT,TE,4.10%,5500,TE,4.90%,3200
Matt Breida,SF,TB,Sun 04:25 EDT,RB,4.10%,5400,RB,4.80%,4000
Mark Ingram,BAL,MIA,Sun 01:00 EDT,RB,4.10%,6600,RB,4.50%,5100
Matt Ryan,ATL,MIN,Sun 01:00 EDT,QB,4.00%,8000,QB,4.20%,6100
Marquise Goodwin,SF,TB,Sun 04:25 EDT,WR,3.90%,5400,WR,4.60%,4000
Miles Sanders,PHI,WAS,Sun 01:00 EDT,RB,3.90%,6000,RB,5.20%,3900
Jarvis Landry,CLE,TEN,Sun 01:00 EDT,WR,3.90%,6300,WR,3.80%,5600
Jordan Reed,WAS,PHI,Sun 01:00 EDT,TE,3.80%,5300,TE,3.90%,3600
Robby Anderson,NYJ,BUF,Sun 01:00 EDT,WR,3.60%,6300,WR,3.70%,5200
Mike Williams,LAC,IND,Sun 04:05 EDT,WR,3.60%,6400,WR,3.70%,5300
Calvin Ridley,ATL,MIN,Sun 01:00 EDT,WR,3.40%,6500,WR,3.70%,5100
Tony Pollard,DAL,NYG,Sun 04:25 EDT,RB,3.10%,5200,RB,3.30%,4500
Delanie Walker,TEN,CLE,Sun 01:00 EDT,TE,3.10%,5400,TE,3.50%,3500
Deebo Samuel,SF,TB,Sun 04:25 EDT,WR,3.10%,5200,WR,3.50%,4000
Mark Andrews,BAL,MIA,Sun 01:00 EDT,TE,3.10%,5400,TE,3.90%,3000
