Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts
1,New England (NE)NE DST,NE,WAS,1,2,1.0,0.2,9.1
2,Chicago (CHI)CHI DST,CHI,OAK,1,4,2.3,0.6,8.9
3,Philadelphia (PHI)PHI DST,PHI,NYJ,2,6,2.9,0.9,8.6
4,Tennessee (TEN)TEN DST,TEN,BUF,3,10,4.4,0.8,8.5
5,Minnesota (MIN)MIN DST,MIN,NYG,4,11,6.1,1.2,8.4
6,Buffalo (BUF)BUF DST,BUF,TEN,3,19,6.8,3.1,8.1
7,Los Angeles (LAC)LAC DST,LAC,DEN,3,14,7.5,1.8,8.1
8,Carolina (CAR)CAR DST,CAR,JAC,3,14,7.6,1.7,8.0
9,Baltimore (BAL)BAL DST,BAL,PIT,4,16,9.8,2.3,7.8
10,San Francisco (SF)SF DST,SF,CLE,4,20,10.4,2.6,7.5
11,New Orleans (NO)NO DST,NO,TB,5,16,10.9,1.8,7.2
12,Jacksonville (JAC)JAC DST,JAC,CAR,7,15,11.6,1.5,7.2
13,Houston (HOU)HOU DST,HOU,ATL,7,17,12.1,1.7,7.1
14,Cincinnati (CIN)CIN DST,CIN,ARI,8,24,14.9,4.0,7.1
15,Kansas City (KC)KC DST,KC,IND,5,21,15.2,2.4,7.0
16,Los Angeles (LAR)LAR DST,LAR,SEA,14,26,17.3,2.8,7.0
17,Tampa Bay (TB)TB DST,TB,NO,13,26,17.9,3.0,6.9
18,Seattle (SEA)SEA DST,SEA,LAR,12,26,17.9,2.4,6.9
19,Green Bay (GB)GB DST,GB,DAL,14,26,19.5,2.8,6.4
20,Cleveland (CLE)CLE DST,CLE,SF,14,23,20.4,1.8,6.2
21,Pittsburgh (PIT)PIT DST,PIT,BAL,16,27,20.2,2.4,6.1
22,Dallas (DAL)DAL DST,DAL,GB,11,25,20.3,2.9,6.0
23,Oakland (OAK)OAK DST,OAK,CHI,13,27,22.9,2.2,6.0
24,Denver (DEN)DEN DST,DEN,LAC,14,27,24.3,2.1,5.9
25,New York (NYG)NYG DST,NYG,MIN,12,27,24.4,2.2,5.9
26,Arizona (ARI)ARI DST,ARI,CIN,16,28,25.0,2.8,5.8
27,Atlanta (ATL)ATL DST,ATL,HOU,19,29,25.1,2.2,5.4
28,New York (NYJ)NYJ DST,NYJ,PHI,24,30,28.1,0.5,5.1
29,Indianapolis (IND)IND DST,IND,KC,28,30,28.9,0.5,5.0
30,Washington (WAS)WAS DST,WAS,NE,29,31,30.0,0.3,4.7
