Date,Year,Week,Team,Opp,Total_Score,Win_Prob,Expected_Points,OwnPer_RB,Expected_Points_RB,OwnPer_QB,Expected_Points_QB,OwnPer_WR,Expected_Points_WR,OwnPer_TE,Expected_Points_TE,OwnPer_DST,Expected_Points_DST
2018-11-12,2018,10,NYG,SF,45.0,0.408163265306122,21.0,,,,,,,,,,
2018-11-12,2018,10,SF,NYG,45.0,0.625,24.0,,,,,,,,,,
2018-11-11,2018,10,ARI,KC,49.5,0.095238095238095,16.75,0.0895,21.199999999999996,0.0053,13.3,0.061,25.6,0.0081,9.5,0.0075,5.2
2018-11-11,2018,10,ATL,CLE,49.5,0.7246376811594201,27.5,0.0928,26.330000000000005,0.0648,19.4,0.21710000000000002,50.75,0.036000000000000004,12.100000000000003,0.0455,6.9
2018-11-11,2018,10,BUF,NYJ,38.0,0.28571428571428603,15.5,0.0213,15.719999999999999,0.0,10.4,0.0188,20.3,0.0,7.6,0.027000000000000003,7.4
2018-11-11,2018,10,CHI,DET,45.0,0.7874015748031491,26.0,0.14850000000000002,30.709999999999997,0.0265,18.6,0.0966,34.980079999999994,0.0843,12.1,0.1088,11.375
2018-11-11,2018,10,CIN,NO,53.5,0.307692307692308,23.75,0.1208,25.0,0.0598,17.1,0.2394,34.35,0.027000000000000003,10.099999999999998,0.0061,5.4
2018-11-11,2018,10,CLE,ATL,49.5,0.317460317460317,22.0,0.16849999999999998,29.4,0.0323,17.400000000000006,0.13299999999999998,37.5,0.0668,15.5,0.018000000000000002,6.4
2018-11-11,2018,10,DAL,PHI,45.5,0.25641025641025605,19.25,,,,,,,,,,
2018-11-11,2018,10,DET,CHI,45.0,0.263157894736842,19.0,0.0423,25.59,0.0195,16.200000000000006,0.1498,35.300000000000004,0.0,5.5,0.0124,6.6
2018-11-11,2018,10,GB,MIA,48.5,0.8849557522123891,30.25,0.0739,22.835,0.0875,22.2,0.3463,42.82595,0.1055,14.3,0.1188,8.2
2018-11-11,2018,10,IND,JAX,48.0,0.625,25.5,0.060300000000000006,23.9,0.0278,17.399999999999995,0.0625,30.999999999999993,0.0915,21.3,0.0388,7.2
2018-11-11,2018,10,JAX,IND,48.0,0.408163265306122,22.5,0.0463,24.200000000000003,0.0133,15.8,0.019,33.5,0.0,6.4,0.0393,6.9
2018-11-11,2018,10,KC,ARI,49.5,0.9433962264150941,32.75,0.209,32.3,0.0945,22.9,0.1273,33.93,0.1334,22.3,0.1015,8.4
2018-11-11,2018,10,LAC,OAK,50.0,0.840336134453782,30.0,0.2391,37.955,0.094,19.7,0.3024,44.160000000000004,0.0129,8.299999999999999,0.0983,7.8
2018-11-11,2018,10,LAR,SEA,51.0,0.833333333333333,30.0,0.3038,27.8,0.1185,20.199999999999992,0.3909,51.49999999999999,0.025,9.600000000000001,0.076,7.0
2018-11-11,2018,10,MIA,GB,48.5,0.16,18.25,0.026299999999999997,22.099999999999994,0.0058,13.0,0.0336,31.500000000000004,0.0049,9.799999999999999,0.0085,5.7
2018-11-11,2018,10,NE,TEN,46.5,0.7633587786259541,26.5,0.1568,33.925070000000005,0.081,18.7,0.19949999999999998,49.37,0.0,4.4,0.083,7.7
2018-11-11,2018,10,NO,CIN,53.5,0.7352941176470591,29.75,0.27280000000000004,36.69999999999999,0.0843,22.4,0.25479999999999997,35.4,0.044,12.5,0.0224,6.5
2018-11-11,2018,10,NYJ,BUF,38.0,0.7575757575757579,22.5,0.0616,24.599999999999998,0.0188,13.200000000000005,0.0345,24.259999999999998,0.0,12.3,0.1568,9.2
2018-11-11,2018,10,OAK,LAC,50.0,0.2,20.0,0.0266,23.7,0.0163,14.300000000000002,0.0615,29.990000000000002,0.0655,13.099999999999998,0.0078,4.4
2018-11-11,2018,10,PHI,DAL,45.5,0.7874015748031491,26.25,,,,,,,,,,
2018-11-11,2018,10,SEA,LAR,51.0,0.21052631578947398,21.0,0.1178,19.42024,0.0285,17.400000000000002,0.1561,35.099999999999994,0.0393,12.200000000000001,0.0061,6.0
2018-11-11,2018,10,TB,WAS,51.0,0.6451612903225811,27.0,0.0303,12.899999999999999,0.115,19.9,0.2874,48.5,0.0863,17.9,0.0358,6.2
2018-11-11,2018,10,TEN,NE,46.5,0.277777777777778,20.0,0.19210000000000002,20.9,0.0575,16.6,0.1378,19.900000000000002,0.0085,7.8999999999999995,0.0158,5.7
2018-11-11,2018,10,WAS,TB,51.0,0.384615384615385,24.0,0.0916,25.5,0.0475,16.699999999999992,0.09259999999999999,24.900000000000002,0.1121,18.899999999999995,0.0325,6.9
2018-11-08,2018,10,CAR,PIT,51.0,0.37037037037037,23.75,,,,,,,,,,
2018-11-08,2018,10,PIT,CAR,51.0,0.666666666666667,27.25,,,,,,,,,,
