Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
56,Kenny Stills,MIA,GB,51,79,58.5,2.7,0.142941176
133,Justin Watson,TB,WAS,122,132,127,4.1,0.137786885
108,Marvin Hall,ATL,CLE,97,113,106,3.6,0.133608247
110,Zach Pascal,IND,JAC,103,120,108.6,3.7,0.132912621
122,Auden Tate,CIN,NO,109,117,111.7,3.8,0.132477064
138,Nick Williams,LAR,SEA,125,133,129,4,0.128
103,Breshad Perriman,CLE,ATL,92,112,99.4,3.2,0.111304348
86,Equanimeous St. Brown,GB,MIA,74,93,86.5,2.8,0.105945946
136,Trent Sherfield,ARI,KC,124,131,127.5,3.5,0.098790323
85,TJ Jones,DET,CHI,74,101,85.5,2.7,0.098513514
95,Travis Benjamin,LAC,OAK,69,103,96,2.6,0.097971014
57,Antonio Callaway,CLE,ATL,54,67,59.1,2.3,0.097962963
107,Andre Holmes,BUF,NYJ,97,111,105.6,2.9,0.086701031
130,Dan Arnold,NO,CIN,118,124,121,3,0.076271186
140,Marcus Kemp,KC,ARI,130,136,133,3,0.069230769
121,J'Mon Moore,GB,MIA,114,121,118.6,2.4,0.050526316
116,Cam Batson,TEN,NE,101,105,103,1.4,0.019405941
119,Dwayne Harris,OAK,LAC,109,121,114.4,1.4,0.017981651
131,Javon Wims,CHI,DET,123,125,124,1,0.008130081
128,Justin Hunter,PIT,CAR,115,116,115.5,0.5,0.002173913
