Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev
1,Tennessee (TEN)TEN DST,TEN,BUF,1,10,1.4,1.0
2,Baltimore (BAL)BAL DST,BAL,CLE,1,13,3.0,1.2
3,Carolina (CAR)CAR DST,CAR,NYG,1,11,3.5,2.0
4,Denver (DEN)DEN DST,DEN,NYJ,2,10,4.5,1.3
5,Los Angeles (LAR)LAR DST,LAR,SEA,1,16,4.9,2.6
6,New England (NE)NE DST,NE,IND,3,19,7.1,1.9
7,New York (NYJ)NYJ DST,NYJ,DEN,1,15,8.9,2.7
8,Cincinnati (CIN)CIN DST,CIN,MIA,3,22,9.5,2.2
9,Houston (HOU)HOU DST,HOU,DAL,4,15,10.1,2.3
10,Los Angeles (LAC)LAC DST,LAC,OAK,4,30,10.5,4.3
11,Dallas (DAL)DAL DST,DAL,HOU,6,18,11.1,2.4
12,Philadelphia (PHI)PHI DST,PHI,MIN,4,17,12.1,2.7
13,San Francisco (SF)SF DST,SF,ARI,4,28,11.1,3.5
14,Jacksonville (JAC)JAC DST,JAC,KC,1,24,13.8,3.5
15,Arizona (ARI)ARI DST,ARI,SF,3,23,13.5,4.2
16,Cleveland (CLE)CLE DST,CLE,BAL,6,22,15.3,2.8
17,Minnesota (MIN)MIN DST,MIN,PHI,3,21,16.7,2.0
18,Buffalo (BUF)BUF DST,BUF,TEN,5,27,17.7,2.6
19,Green Bay (GB)GB DST,GB,DET,8,22,18.4,1.9
20,Kansas City (KC)KC DST,KC,JAC,10,29,20.0,3.0
21,New Orleans (NO)NO DST,NO,WAS,12,25,20.9,1.8
22,Detroit (DET)DET DST,DET,GB,12,25,21.0,1.9
23,Miami (MIA)MIA DST,MIA,CIN,15,28,23.1,1.7
24,Pittsburgh (PIT)PIT DST,PIT,ATL,15,26,23.2,1.7
25,New York (NYG)NYG DST,NYG,CAR,21,28,24.3,1.2
26,Seattle (SEA)SEA DST,SEA,LAR,12,30,25.9,1.5
27,Washington (WAS)WAS DST,WAS,NO,10,30,26.7,3.4
28,Indianapolis (IND)IND DST,IND,NE,16,29,27.5,1.4
29,Atlanta (ATL)ATL DST,ATL,PIT,25,30,28.0,0.9
30,Oakland (OAK)OAK DST,OAK,LAC,26,30,29.5,0.9
