Pos,Player,Tm,Opp,DK Sal $,Projected Own%,Cash Odds,GPP Odds,Implied Own%,DK LEV
QB,Marcus Mariota,TEN,@ATL,5100,0.50%,35%,10%,4%,7.08
QB,Case Keenum,WAS,@NYG,4900,0.50%,35%,8%,3%,6.14
WR,Corey Davis,TEN,@ATL,4200,0.50%,29%,3%,3%,6.03
WR,Kenny Stills,HOU,CAR,4200,0.50%,28%,3%,3%,5.74
TE,Jack Doyle,IND,OAK,3700,0.50%,30%,2%,3%,5.65
RB,Kenyan Drake,MIA,LAC,4200,0.50%,32%,3%,3%,5.39
WR,Cole Beasley,BUF,NE,4700,0.50%,28%,3%,3%,5.37
QB,Mitch Trubisky,CHI,MIN,5000,0.50%,30%,7%,3%,5.33
WR,Chris Conley,JAX,@DEN,4000,0.50%,28%,3%,3%,5.17
WR,Mohamed Sanu,ATL,TEN,4100,0.50%,27%,3%,2%,4.85
DEF,Tennessee Titans,TEN,@ATL,2600,0.50%,25%,3%,2%,4.84
WR,Darius Slayton,NYG,WAS,3200,0.50%,28%,3%,2%,4.82
TE,Gerald Everett,LAR,TB,3200,0.50%,28%,2%,2%,4.82
WR,Dede Westbrook,JAX,@DEN,5500,0.50%,23%,3%,2%,4.48
QB,Derek Carr,OAK,@IND,5300,0.50%,28%,6%,2%,4.39
WR,Damion Ratley,CLE,@BAL,3500,0.50%,26%,2%,2%,4.27
QB,Joe Flacco,DEN,JAX,4600,0.50%,28%,6%,2%,4.24
RB,Tarik Cohen,CHI,MIN,4600,0.50%,26%,2%,2%,4.21
WR,Taylor Gabriel,CHI,MIN,3700,0.50%,24%,2%,2%,3.93
WR,Trey Quinn,WAS,@NYG,3000,0.50%,28%,2%,2%,3.77
WR,J.J. Nelson,OAK,@IND,3600,0.50%,25%,2%,2%,3.69
RB,C.J. Prosise,SEA,@ARI,4000,0.50%,27%,2%,2%,3.65
RB,Peyton Barber,TB,@LAR,4300,0.50%,25%,2%,2%,3.63
TE,James O'Shaughnessy,JAX,@DEN,3000,0.50%,26%,1%,2%,3.5
RB,Duke Johnson,HOU,CAR,4200,0.50%,24%,2%,2%,3.49
WR,A.J. Brown,TEN,@ATL,3700,0.50%,23%,2%,2%,3.36
DEF,Denver Broncos,DEN,JAX,2900,3.00%,38%,11%,10%,3.33
WR,Danny Amendola,DET,KC,3900,0.50%,23%,2%,2%,3.32
TE,Nick Boyle,BAL,CLE,2900,0.50%,25%,1%,2%,3.19
RB,Frank Gore,BUF,NE,4400,0.50%,24%,1%,2%,3.16
WR,Bennie Fowler,NYG,WAS,3500,0.50%,23%,2%,2%,3.11
DEF,Buffalo Bills,BUF,NE,2600,0.50%,21%,2%,2%,3.08
WR,KeeSean Johnson,ARI,SEA,3200,0.50%,24%,2%,1%,2.93
QB,Josh Rosen,MIA,LAC,4500,0.50%,22%,4%,1%,2.68
WR,Calvin Ridley,ATL,TEN,5000,3.00%,42%,9%,8%,2.62
WR,Deon Cain,IND,OAK,3200,0.50%,23%,2%,1%,2.61
DEF,Tampa Bay Buccaneers,TB,@LAR,2100,0.50%,24%,1%,1%,2.6
TE,Mike Gesicki,MIA,LAC,2600,0.50%,24%,1%,1%,2.58
RB,Kerryon Johnson,DET,KC,5400,3.00%,41%,7%,8%,2.55
QB,Kirk Cousins,MIN,@CHI,5000,0.50%,19%,3%,1%,2.42
WR,Tyrell Williams,OAK,@IND,5700,3.00%,39%,8%,7%,2.39
