,cost,name,own,team
0,7500,Patrick Mahomes,0.474,KC
1,6100,Russell Wilson,0.173,SEA
2,6900,Lamar Jackson,0.072,BAL
3,6000,Kyler Murray,0.06,ARI
4,5300,Daniel Jones,0.047,NYG
5,5500,Matthew Stafford,0.043,DET
6,6400,Deshaun Watson,0.033,HOU
7,6200,Philip Rivers,0.032,LAC
8,4900,Case Keenum,0.018,WAS
9,6300,Jared Goff,0.015,LAR
10,5400,Jacoby Brissett,0.014,IND
11,5900,Matt Ryan,0.01,ATL
12,5600,Josh Allen,0.002,BUF
13,6600,Tom Brady,0.002,NE
14,4600,Joe Flacco,0.001,DEN
15,5700,Jameis Winston,0.001,TB
16,5800,Baker Mayfield,0.001,CLE
17,5200,Gardner Minshew,0.001,JAC
18,5000,Mitch Trubisky,0.001,CHI
19,5300,Derek Carr,0.001,OAK
20,5100,Marcus Mariota,0.001,TEN
21,5000,Kirk Cousins,0.001,MIN
22,4500,Josh Rosen,0.001,MIA
23,2300,Carolina Panthers,0.321,CAR
24,3800,Los Angeles Chargers,0.206,LAC
25,3200,Baltimore Ravens,0.081,BAL
26,2600,Tennessee Titans,0.077,TEN
27,3500,Los Angeles Rams,0.072,LAR
28,2900,Denver Broncos,0.06,DEN
29,3400,Chicago Bears,0.048,CHI
30,3100,Indianapolis Colts,0.032,IND
31,3100,Houston Texans,0.032,HOU
32,3700,New England Patriots,0.023,NE
33,3700,Jacksonville Jaguars,0.015,JAC
34,3400,Minnesota Vikings,0.012,MIN
35,3300,Seattle Seahawks,0.005,SEA
36,2900,Atlanta Falcons,0.003,ATL
37,3000,Kansas City Chiefs,0.002,KC
38,3600,New York Giants,0.002,NYG
39,2800,Washington Redskins,0.002,WAS
40,2500,Cleveland Browns,0.002,CLE
41,2600,Buffalo Bills,0.002,BUF
42,2700,Oakland Raiders,0.001,OAK
43,4500,Terry McLaurin,0.725,WAS
44,6300,Tyler Lockett,0.59,SEA
45,3600,Will Dissly,0.43,SEA
46,4600,Wayne Gallman,0.336,NYG
47,8000,Austin Ekeler,0.323,LAC
48,5400,Kerryon Johnson,0.321,DET
49,7800,Julio Jones,0.282,ATL
50,5600,Larry Fitzgerald,0.279,ARI
51,5900,Kenny Golladay,0.265,DET
52,7600,Keenan Allen,0.251,LAC
53,8800,Christian McCaffrey,0.247,CAR
54,4500,Will Fuller,0.183,HOU
55,6700,Sammy Watkins,0.18,KC
56,7200,Travis Kelce,0.17,KC
57,6500,Cooper Kupp,0.168,LAR
58,6800,David Johnson,0.154,ARI
59,5100,Christian Kirk,0.147,ARI
60,6300,Derrick Henry,0.129,TEN
61,5200,Darren Waller,0.127,OAK
62,7100,Mike Evans,0.125,TB
63,6100,Marlon Mack,0.121,IND
64,5700,Chris Carson,0.118,SEA
65,5700,Evan Engram,0.108,NYG
66,7700,DeAndre Hopkins,0.104,HOU
67,6600,Mark Ingram,0.104,BAL
68,5800,Sterling Shepard,0.103,NYG
69,5800,Marquise Brown,0.103,BAL
70,6400,Nick Chubb,0.101,CLE
71,4900,James White,0.09,NE
72,5000,Calvin Ridley,0.083,ATL
73,5100,Josh Jacobs,0.081,OAK
74,5000,Devonta Freeman,0.07,ATL
75,4600,Curtis Samuel,0.064,CAR
76,6600,Adam Thielen,0.063,MIN
77,7300,Odell Beckham Jr.,0.06,CLE
78,6000,Leonard Fournette,0.058,JAC
79,6200,Brandin Cooks,0.058,LAR
80,8300,Dalvin Cook,0.054,MIN
81,4200,Greg Olsen,0.052,CAR
82,4800,D.K. Metcalf,0.042,SEA
83,3300,T.J. Hockenson,0.041,DET
84,7000,Todd Gurley,0.038,LAR
85,4200,Corey Davis,0.037,TEN
