Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Keenan Allen,LAC,MIA,Sun 01:00 EDT,WR,35.40%,8100,WR,34.00%,7600
Christian McCaffrey,CAR,HOU,Sun 01:00 EDT,RB,31.20%,9000,RB,25.30%,8800
Austin Ekeler,LAC,MIA,Sun 01:00 EDT,RB,29.10%,8100,RB,23.40%,8000
Terry McLaurin,WAS,NYG,Sun 01:00 EDT,WR,26.40%,6300,WR,33.80%,4500
Tyler Lockett,SEA,ARI,Sun 04:05 EDT,WR,22.30%,6600,WR,21.00%,6300
Leonard Fournette,JAC,DEN,Sun 04:25 EDT,RB,22.20%,6400,RB,18.20%,6000
Wayne Gallman,NYG,WAS,Sun 01:00 EDT,RB,21.70%,5800,RB,20.80%,4600
Evan Engram,NYG,WAS,Sun 01:00 EDT,TE,20.60%,6800,TE,21.80%,5700
Travis Kelce,KC,DET,Sun 01:00 EDT,TE,18.90%,7600,TE,17.40%,7200
Russell Wilson,SEA,ARI,Sun 04:05 EDT,QB,18.50%,7800,QB,18.50%,6100
Mike Evans,TB,LA,Sun 04:05 EDT,WR,17.60%,7700,WR,16.90%,7100
Sterling Shepard,NYG,WAS,Sun 01:00 EDT,WR,17.50%,6500,WR,17.40%,5800
Kenny Golladay,DET,KC,Sun 01:00 EDT,WR,16.50%,6700,WR,16.90%,5900
Chris Carson,SEA,ARI,Sun 04:05 EDT,RB,16.50%,7000,RB,15.60%,5700
Julio Jones,ATL,TEN,Sun 01:00 EDT,WR,14.80%,8500,WR,14.10%,7800
Patrick Mahomes,KC,DET,Sun 01:00 EDT,QB,14.60%,9200,QB,14.00%,7500
Sammy Watkins,KC,DET,Sun 01:00 EDT,WR,13.20%,6900,WR,11.80%,6700
David Johnson,ARI,SEA,Sun 04:05 EDT,RB,13.20%,6800,RB,10.40%,6800
Chris Thompson,WAS,NYG,Sun 01:00 EDT,RB,12.40%,5300,RB,12.20%,4500
Mark Andrews,BAL,CLE,Sun 01:00 EDT,TE,11.70%,6100,TE,12.70%,5000
Will Dissly,SEA,ARI,Sun 04:05 EDT,TE,11.10%,5400,TE,15.20%,3600
Christian Kirk,ARI,SEA,Sun 04:05 EDT,WR,10.90%,5900,WR,11.30%,5100
Daniel Jones,NYG,WAS,Sun 01:00 EDT,QB,10.90%,7300,QB,11.70%,5300
Kerryon Johnson,DET,KC,Sun 01:00 EDT,RB,10.60%,6500,RB,9.90%,5400
Larry Fitzgerald,ARI,SEA,Sun 04:05 EDT,WR,10.60%,5900,WR,10.20%,5600
Darren Waller,OAK,IND,Sun 01:00 EDT,TE,10.40%,6700,TE,12.00%,5200
Lamar Jackson,BAL,CLE,Sun 01:00 EDT,QB,10.40%,8300,QB,9.70%,6900
Odell Beckham,CLE,BAL,Sun 01:00 EDT,WR,9.20%,7900,WR,9.00%,7300
DeVante Parker,MIA,LAC,Sun 01:00 EDT,WR,9.10%,5000,WR,10.10%,4100
Nick Chubb,CLE,BAL,Sun 01:00 EDT,RB,9.00%,7300,RB,7.90%,6400
Chris Godwin,TB,LA,Sun 04:05 EDT,WR,8.00%,7100,WR,8.50%,6000
Philip Rivers,LAC,MIA,Sun 01:00 EDT,QB,7.90%,7800,QB,7.70%,6200
DeAndre Hopkins,HOU,CAR,Sun 01:00 EDT,WR,7.80%,8700,WR,7.90%,7700
Marlon Mack,IND,OAK,Sun 01:00 EDT,RB,7.30%,7300,RB,6.60%,6100
Marquise Brown,BAL,CLE,Sun 01:00 EDT,WR,7.30%,5700,WR,6.20%,5800
Greg Olsen,CAR,HOU,Sun 01:00 EDT,TE,6.90%,6000,TE,8.70%,4200
Justin Jackson,LAC,MIA,Sun 01:00 EDT,RB,6.70%,6200,RB,7.80%,4100
T.Y. Hilton,IND,OAK,Sun 01:00 EDT,WR,6.50%,7400,WR,6.80%,6400
Dalvin Cook,MIN,CHI,Sun 04:25 EDT,RB,6.40%,8300,RB,5.00%,8300
Cooper Kupp,LA,TB,Sun 04:05 EDT,WR,6.10%,7000,WR,5.90%,6500
Austin Hooper,ATL,TEN,Sun 01:00 EDT,TE,6.00%,6400,TE,7.90%,4300
Todd Gurley,LA,TB,Sun 04:05 EDT,RB,5.50%,6800,RB,4.20%,7000
Malcolm Brown,LA,TB,Sun 04:05 EDT,RB,5.30%,5500,RB,5.00%,4400
James White,NE,BUF,Sun 01:00 EDT,RB,5.30%,6200,RB,5.70%,4900
Delanie Walker,TEN,ATL,Sun 01:00 EDT,TE,5.30%,5700,TE,5.60%,4800
Robert Woods,LA,TB,Sun 04:05 EDT,WR,5.20%,7100,WR,5.50%,6100
Matthew Stafford,DET,KC,Sun 01:00 EDT,QB,5.10%,6900,QB,5.00%,5500
Stefon Diggs,MIN,CHI,Sun 04:25 EDT,WR,5.10%,6100,WR,5.10%,5500
Demarcus Robinson,KC,DET,Sun 01:00 EDT,WR,5.00%,6700,WR,5.60%,5200
Kyle Allen,CAR,HOU,Sun 01:00 EDT,QB,4.90%,6800,QB,5.00%,5200
Julian Edelman,NE,BUF,Sun 01:00 EDT,WR,4.30%,6900,WR,4.00%,6500
Brandin Cooks,LA,TB,Sun 04:05 EDT,WR,4.20%,7300,WR,4.40%,6200
Duke Johnson,HOU,CAR,Sun 01:00 EDT,RB,4.00%,5300,RB,4.00%,4200
Rashaad Penny,SEA,ARI,Sun 04:05 EDT,RB,4.00%,5900,RB,4.40%,4200
Derrick Henry,TEN,ATL,Sun 01:00 EDT,RB,4.00%,7000,RB,3.30%,6300
Royce Freeman,DEN,JAC,Sun 04:25 EDT,RB,3.80%,5500,RB,3.30%,4800
Jared Goff,LA,TB,Sun 04:05 EDT,QB,3.70%,7700,QB,3.50%,6300
Carlos Hyde,HOU,CAR,Sun 01:00 EDT,RB,3.40%,5900,RB,3.40%,4300
Deshaun Watson,HOU,CAR,Sun 01:00 EDT,QB,3.30%,8200,QB,3.30%,6400
Adam Thielen,MIN,CHI,Sun 04:25 EDT,WR,3.20%,7000,WR,3.00%,6600
Jameis Winston,TB,LA,Sun 04:05 EDT,QB,3.20%,7500,QB,3.30%,5700
Mark Ingram,BAL,CLE,Sun 01:00 EDT,RB,2.90%,7800,RB,2.60%,6600
Adrian Peterson,WAS,NYG,Sun 01:00 EDT,RB,2.90%,5500,RB,2.70%,4300
Case Keenum,WAS,NYG,Sun 01:00 EDT,QB,2.90%,7200,QB,3.30%,4900
Devonta Freeman,ATL,TEN,Sun 01:00 EDT,RB,2.80%,6200,RB,2.70%,5000
Damien Williams,KC,DET,Sun 01:00 EDT,RB,2.70%,6400,RB,2.50%,5400
D.K. Metcalf,SEA,ARI,Sun 04:05 EDT,WR,2.70%,6100,WR,3.10%,4800
Nyheim Hines,IND,OAK,Sun 01:00 EDT,RB,2.70%,4800,RB,2.60%,4000
Mike Williams,LAC,MIA,Sun 01:00 EDT,WR,2.60%,6100,WR,3.00%,4800
Matt Ryan,ATL,TEN,Sun 01:00 EDT,QB,2.50%,7900,QB,2.60%,5900
