Player,Ownership
Name,pOWN%
Malcolm Brown,37.00%
Le'Veon Bell,30.60%
Austin Hooper,29.90%
Leonard Fournette,27.40%
DeAndre Hopkins,25.70%
Dalvin Cook,20.80%
Travis Kelce,20.00%
Odell Beckham,19.70%
Adam Thielen,18.70%
Will Fuller,17.90%
Byron Pringle,17.80%
Cooper Kupp,17.60%
Julio Jones,17.30%
DJ Chark,15.60%
Mark Andrews,15.30%
Ezekiel Elliott,13.90%
Mark Ingram,13.80%
Nick Chubb,13.10%
George Kittle,13.00%
Larry Fitzgerald,10.80%
Calvin Ridley,10.80%
Robert Woods,10.70%
Amari Cooper,10.20%
Michael Thomas,9.80%
Damien Williams,9.10%
Chris Carson,9.10%
Stefon Diggs,8.60%
Tyler Lockett,8.60%
Kenyan Drake,8.20%
Phillip Lindsay,8.20%
Jamison Crowder,8.20%
Adrian Peterson,8.10%
Christian Kirk,7.70%
Tyler Boyd,7.70%
Michael Gallup,7.60%
Zach Ertz,7.60%
Jarvis Landry,7.40%
Derrick Henry,6.50%
Preston Williams,6.40%
Devonta Freeman,6.40%
Marquise Brown,6.00%
Will Dissly,5.70%
Brandin Cooks,5.30%
Joe Mixon,5.00%
Emmanuel Sanders,4.80%
Courtland Sutton,4.80%
Latavius Murray,4.60%
David Johnson,4.60%
Carlos Hyde,4.40%
Alvin Kamara,3.90%
Jordan Akins,3.90%
Gerald Everett,3.60%
Darrell Henderson,3.60%
Robby Anderson,3.40%
Mecole Hardman,3.30%
Alshon Jeffery,3.30%
Dede Westbrook,3.10%
A.J. Brown,2.80%
Duke Johnson,2.80%
Mohamed Sanu,2.70%
Terry McLaurin,2.50%
Matt Breida,2.50%
Delanie Walker,2.30%
Tevin Coleman,2.30%
Demarcus Robinson,2.30%
Corey Davis,2.10%
Keke Coutee,2.10%
Noah Fant,2.00%
Jared Cook,2.00%
Chris Thompson,2.00%
Tyler Eifert,1.90%
Jordan Howard,1.50%
Royce Freeman,1.40%
D.K. Metcalf,1.30%
Miles Sanders,1.30%
LeSean McCoy,1.30%
Marquise Goodwin,1.20%
Deebo Samuel,1.20%
KeeSean Johnson,1.10%
Auden Tate,1.10%
DeVante Parker,1.10%
Mark Walton,0.90%
Trey Quinn,0.70%
Chase Edmonds,0.70%
Paul Richardson,0.70%
Giovani Bernard,0.70%
Albert Wilson,0.70%
Ted Ginn,0.70%
Chris Conley,0.70%
Tony Pollard,0.50%
David Moore,0.10%
Demetrius Harris,0.10%
Rashard Higgins,0.10%
C.J. Prosise,0.10%
Damion Ratley,0.10%
Malik Turner,0.10%
Luke Willson,0.10%
Jaron Brown,0.10%
Dontrell Hilliard,0.10%
Ricky Seals-Jones,0.10%
Antonio Callaway,0.10%
D'Ernest Johnson,0.10%
Kendrick Bourne,0.10%
Jason Witten,0.10%
Ventell Bryant,0.10%
Tavon Austin,0.10%
Devontae Booker,0.10%
Diontae Spencer,0.10%
Fred Brown,0.10%
Jeff Heuerman,0.10%
DaeSean Hamilton,0.10%
Randall Cobb,0.10%
Jamize Olawale,0.10%
Vyncint Smith,0.10%
Ryan Griffin,0.10%
Trevon Wesco,0.10%
Josh Bellamy,0.10%
Demaryius Thomas,0.10%
Blake Jarwin,0.10%
Ty Montgomery,0.10%
Bilal Powell,0.10%
Dion Lewis,0.10%
Adam Humphries,0.10%
Tyler Higbee,0.10%
Ito Smith,0.10%
Russell Gage,0.10%
JoJo Natson,0.10%
Josh Reynolds,0.10%
Dante Pettis,0.10%
Richie James,0.10%
Levine Toilolo,0.10%
Justin Hardy,0.10%
Luke Stocker,0.10%
Jonnu Smith,0.10%
Darius Jennings,0.10%
Tajae Sharpe,0.10%
Maxx Williams,0.10%
Charles Clay,0.10%
D.J. Foster,0.10%
Trent Sherfield,0.10%
Pharoh Cooper,0.10%
Raheem Mostert,0.10%
Rashaad Penny,0.10%
Geoff Swaim,0.10%
Keelan Cole,0.10%
Josh Hill,0.10%
Deonte Harris,0.10%
Austin Carr,0.10%
Marqise Lee,0.10%
Ryquell Armstead,0.10%
DeAndre Carter,0.10%
Kenny Stills,0.10%
Darren Fells,0.10%
Ben Koyack,0.10%
Devine Ozigbo,0.10%
Zach Line,0.10%
Boston Scott,0.10%
Mack Hollins,0.10%
Nelson Agholor,0.10%
JJ Arcega-Whiteside,0.10%
Dallas Goedert,0.10%
Chris Moore,0.10%
Corey Clement,0.10%
Laquon Treadwell,0.10%
Ameer Abdullah,0.10%
Alexander Mattison,0.10%
Olabisi Johnson,0.10%
Davion Davis,0.10%
Kyle Rudolph,0.10%
Taiwan Jones,0.10%
Irv Smith,0.10%
C.J. Uzomah,0.10%
Stanley Morgan,0.10%
Alex Erickson,0.10%
Damion Willis,0.10%
Samaje Perine,0.10%
Hayden Hurst,0.10%
Miles Boykin,0.10%
Seth Roberts,0.10%
Willie Snead,0.10%
Justice Hill,0.10%
Durham Smythe,0.10%
Gus Edwards,0.10%
