"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Chris Conley","HOU","JAX","WR","3000","7.1","-1.9","0.5","18523195","10.4"
"Texans ","HOU","JAX","DST","2100","6.0","0.8","9.5","18523847","10.3"
"Chiefs ","KC","CLE","DST","3000","5.9","-1.0","0.5","18523834","10.3"
"Giants ","NYG","DEN","DST","3800","5.9","-2.6","0.5","18523827","10.3"
"Hunter Henry","NE","MIA","TE","4700","6.6","-5.7","0.5","18523491","10.1"
"Joshua Palmer","LAC","WAS","WR","3000","6.7","-2.2","0.5","18523271","10.0"
"Dee Eskridge","SEA","IND","WR","3000","5.8","-3.2","0.8","18523287","10.0"
"Donovan Peoples-Jones","CLE","KC","WR","3000","6.0","-2.9","0.5","18523159","9.9"
"Devontae Booker","NYG","DEN","RB","4000","6.0","-4.9","0.5","18522589","9.9"
"Zach Ertz","PHI","ATL","TE","3800","7.0","-3.6","0.5","18523515","9.9"
"Kalif Raymond","DET","SF","WR","3000","6.9","-2.1","0.5","18523387","9.8"
"Mo Alie-Cox","IND","SEA","TE","2900","6.3","-2.5","0.5","18523541","9.7"
"Seahawks ","SEA","IND","DST","3400","5.5","-2.3","0.5","18523830","9.7"
"Titans ","TEN","ARI","DST","2300","5.4","-0.2","2.8","18523844","9.6"
"Eagles ","PHI","ATL","DST","2600","5.4","-0.8","1.7","18523839","9.5"
"Phillip Lindsay","HOU","JAX","RB","4700","6.5","-5.8","0.5","18522557","9.4"
"Jamal Agnew","JAX","HOU","WR","3000","5.4","-3.6","0.5","18523179","9.4"
"Lions ","DET","SF","DST","2200","5.3","-0.1","1.3","18523846","9.4"
"Hayden Hurst","ATL","PHI","TE","3700","5.7","-4.7","0.5","18523517","9.3"
"Olamide Zaccheaus","ATL","PHI","WR","3400","5.0","-4.7","0.5","18523015","9.2"
"C.J. Uzomah","CIN","MIN","TE","3000","6.2","-2.8","0.5","18523537","9.2"
"Mark Ingram II","HOU","JAX","RB","4400","5.8","-5.9","0.5","18522573","9.2"
"Keelan Cole Sr.","NYJ","CAR","WR","3000","6.2","-2.8","0.5","18523235","9.2"
"Rashaad Penny","SEA","IND","RB","4000","5.6","-5.4","0.5","18522729","9.2"
"Alexander Mattison","MIN","CIN","RB","5000","5.3","-7.6","0.5","18522547","9.0"
"Tony Jones Jr.","NO","GB","RB","4000","5.9","-5.0","0.5","18522619","9.0"
