Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Le'Veon Bell,PIT,21.9,85.7,0.6,4.3,33.2,0.2,0.2,20.6
Kareem Hunt,KC,17.9,79.7,0.7,3.5,31.6,0.2,0.2,19.4
LeSean McCoy,BUF,18.6,84.3,0.5,4.1,28.8,0.1,0.2,18.2
Todd Gurley,LAR,18.3,73.1,0.6,3.4,31.8,0.2,0.2,17.8
Mark Ingram,NO,16.8,75.0,0.6,3.5,25.1,0.1,0.2,17.6
Melvin Gordon,LAC,17.5,72.5,0.5,3.5,28.1,0.2,0.1,17.6
Alvin Kamara,NO,8.5,41.4,0.4,4.9,44.3,0.3,0.1,16.9
Leonard Fournette,JAC,17.8,72.9,0.7,2.1,18.4,0.1,0.1,15.6
Tevin Coleman,ATL,14.9,63.2,0.4,3.0,27.2,0.1,0.1,15.2
Jordan Howard,CHI,20.5,85.3,0.5,1.4,10.0,0.1,0.1,13.9
Chris Thompson,WAS,7.3,34.0,0.2,4.2,40.0,0.2,0.1,13.6
Lamar Miller,HOU,16.2,61.3,0.4,2.4,19.9,0.1,0.1,13.4
Jerick McKinnon,MIN,11.6,47.2,0.3,3.4,25.3,0.1,0.1,12.7
Joe Mixon,CIN,14.5,49.2,0.3,2.9,23.4,0.1,0.1,12.3
Adrian Peterson,ARI,19.2,70.6,0.5,1.3,9.5,0.0,0.2,12.0
Doug Martin,TB,14.7,59.1,0.4,1.7,14.8,0.0,0.1,11.4
DeMarco Murray,TEN,11.6,48.0,0.3,2.6,16.9,0.1,0.1,11.1
Orleans Darkwa,NYG,13.1,58.3,0.3,2.0,14.2,0.0,0.1,11.0
Duke Johnson,CLE,5.5,23.8,0.1,4.1,31.4,0.1,0.1,10.8
Jay Ajayi,PHI,13.4,58.1,0.4,1.5,10.3,0.0,0.1,10.7
Ameer Abdullah,DET,15.8,57.0,0.3,1.8,11.7,0.1,0.1,10.7
James White,NE,3.4,13.1,0.1,4.0,34.7,0.2,0.1,10.4
Marshawn Lynch,OAK,11.4,49.2,0.5,1.3,10.0,0.0,0.1,10.4
Isaiah Crowell,CLE,13.0,54.4,0.2,2.2,15.8,0.0,0.1,10.4
Jamaal Williams,GB,13.9,51.9,0.4,1.6,13.6,0.0,0.1,10.3
Kenyan Drake,MIA,11.9,48.9,0.3,2.1,14.0,0.1,0.1,10.2
Damien Williams,MIA,10.9,39.5,0.2,2.3,19.5,0.1,0.1,10.1
Rex Burkhead,NE,5.9,25.0,0.2,2.7,24.2,0.2,0.1,9.9
Dion Lewis,NE,11.3,50.1,0.4,1.2,9.4,0.0,0.1,9.6
Latavius Murray,MIN,12.8,50.9,0.4,1.1,7.6,0.0,0.1,9.3
Alfred Morris,DAL,14.2,58.2,0.4,0.6,4.3,0.0,0.1,9.2
Danny Woodhead,BAL,5.3,19.2,0.1,3.1,25.2,0.2,0.1,9.1
Samaje Perine,WAS,12.0,49.6,0.3,1.3,10.9,0.0,0.1,9.1
C.J. Anderson,DEN,12.5,49.1,0.3,1.3,9.3,0.0,0.1,8.7
Alex Collins,BAL,13.0,55.2,0.2,1.1,8.1,0.0,0.2,8.5
Austin Ekeler,LAC,5.4,23.3,0.1,2.4,21.2,0.2,0.2,8.4
Theo Riddick,DET,3.5,12.2,0.1,3.3,26.1,0.2,0.1,8.4
Tarik Cohen,CHI,4.8,17.7,0.1,2.4,20.7,0.1,0.1,7.2
Rod Smith,DAL,5.7,22.2,0.2,2.0,16.0,0.1,0.1,7.1
Derrick Henry,TEN,9.4,39.4,0.2,1.0,8.4,0.0,0.1,7.0
Devontae Booker,DEN,6.2,23.4,0.1,2.0,15.3,0.1,0.1,6.8
Andre Ellington,ARI,1.7,6.0,0.0,2.9,24.9,0.1,0.0,6.5
Thomas Rawls,SEA,8.5,33.7,0.2,1.2,9.9,0.0,0.2,6.5
Jalen Richard,OAK,4.5,19.5,0.1,1.7,17.1,0.1,0.1,6.4
J.D. McKissic,SEA,2.7,11.3,0.1,2.0,18.0,0.2,0.1,6.2
Giovani Bernard,CIN,5.0,16.9,0.1,2.0,16.6,0.1,0.1,6.2
Shane Vereen,NYG,2.4,9.3,0.0,2.8,20.1,0.1,0.0,6.1
T.J. Yeldon,JAC,4.3,16.6,0.1,2.1,14.8,0.1,0.1,6.1
Javorius Allen,BAL,5.6,21.3,0.1,1.9,12.8,0.0,0.1,6.0
Jamaal Charles,DEN,6.2,26.7,0.1,1.4,9.7,0.0,0.1,5.9
Charcandrick West,KC,2.6,10.7,0.1,1.9,15.0,0.1,0.1,5.8
DeAndre Washington,OAK,3.4,13.8,0.1,2.0,14.9,0.1,0.1,5.8
D'Onta Foreman,HOU,9.0,32.7,0.2,0.5,4.3,0.0,0.1,5.4
Eddie Lacy,SEA,8.2,31.5,0.2,0.7,5.9,0.0,0.1,5.4
LeGarrette Blount,PHI,5.7,26.1,0.2,0.5,4.8,0.0,0.0,4.9
Terron Ward,ATL,5.6,22.4,0.2,0.9,6.9,0.0,0.1,4.7
Wayne Gallman,NYG,6.2,24.6,0.1,1.0,7.2,0.0,0.1,4.6
Corey Clement,PHI,4.1,18.2,0.1,0.9,7.8,0.0,0.0,4.4
Chris Ivory,JAC,5.2,18.7,0.1,1.0,8.0,0.0,0.1,4.3
Devante Mays,GB,5.4,20.1,0.1,0.8,5.9,0.0,0.1,4.0
Benny Cunningham,CHI,1.4,5.5,0.0,1.5,13.4,0.1,0.0,3.9
Charles Sims,TB,1.6,6.5,0.0,1.7,12.6,0.1,0.1,3.8
Lance Dunbar,LAR,3.6,14.0,0.1,0.9,7.1,0.0,0.0,3.5
