Player Name,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Davante Adams,GB,8.0,98.2,0.9,0.0,0.0,0.0,0.1,23.3
Tyreek Hill,KC,5.9,88.7,0.7,0.9,6.6,0.1,0.1,20.1
Stefon Diggs,BUF,7.4,87.7,0.6,0.3,1.5,0.0,0.1,19.8
Calvin Ridley,ATL,6.4,91.9,0.7,0.2,1.0,0.0,0.1,19.6
DeAndre Hopkins,ARI,6.9,87.6,0.6,0.0,0.1,0.0,0.1,19.1
A.J. Brown,TEN,4.9,82.8,0.7,0.1,0.9,0.0,0.0,17.6
Allen Robinson II,CHI,6.4,79.3,0.5,0.1,0.1,0.0,0.1,17.4
Robert Woods,LAR,6.2,72.5,0.5,1.3,6.8,0.1,0.1,17.3
D.K. Metcalf,SEA,5.1,82.9,0.6,0.0,0.1,0.0,0.1,17.1
Cooper Kupp,LAR,5.9,70.6,0.6,0.2,0.9,0.0,0.1,16.3
Brandon Aiyuk,SF,5.4,73.9,0.5,0.6,3.9,0.1,0.0,16.3
Justin Jefferson,MIN,5.1,80.0,0.5,0.2,0.5,0.0,0.0,16.3
Adam Thielen,MIN,5.4,71.3,0.6,0.2,0.8,0.0,0.1,16.3
Terry McLaurin,WAS,5.6,78.0,0.4,0.1,1.0,0.0,0.1,15.9
Robby Anderson,CAR,5.7,73.7,0.5,0.2,1.2,0.0,0.1,15.8
Brandin Cooks,HOU,5.3,74.6,0.4,0.1,0.7,0.0,0.0,15.3
D.J. Moore,CAR,4.9,74.1,0.4,0.2,2.2,0.0,0.0,14.9
Keenan Allen,LAC,5.6,63.9,0.5,0.1,0.5,0.0,0.1,14.8
Amari Cooper,DAL,5.2,66.1,0.5,0.2,1.1,0.0,0.1,14.7
Corey Davis,TEN,4.7,67.6,0.5,0.1,0.5,0.0,0.0,14.6
Diontae Johnson,PIT,5.5,63.2,0.5,0.2,1.2,0.0,0.1,14.6
Mike Evans,TB,4.5,65.6,0.6,0.0,0.0,0.0,0.0,14.5
Jarvis Landry,CLE,5.4,64.4,0.4,0.2,1.1,0.0,0.0,14.4
T.Y. Hilton,IND,4.6,67.5,0.5,0.0,0.0,0.0,0.0,14.3
Marvin Jones Jr.,DET,4.7,63.4,0.5,0.0,0.0,0.0,0.0,14.3
Tyler Lockett,SEA,5.3,65.9,0.4,0.2,0.9,0.0,0.0,14.3
JuJu Smith-Schuster,PIT,5.3,59.9,0.5,0.0,0.1,0.0,0.0,14.2
Chris Godwin,TB,5.2,66.9,0.3,0.0,0.1,0.0,0.0,13.9
Emmanuel Sanders,NO,4.9,61.3,0.4,0.0,0.3,0.0,0.0,13.4
Cole Beasley,BUF,5.4,60.6,0.3,0.0,0.0,0.0,0.0,13.4
Nelson Agholor,LV,4.4,57.9,0.5,0.1,0.5,0.0,0.0,13.4
Curtis Samuel,CAR,4.4,47.9,0.2,1.9,11.6,0.1,0.1,12.4
Marquise Brown,BAL,3.8,53.9,0.5,0.3,2.2,0.0,0.0,12.3
Sterling Shepard,NYG,4.9,53.8,0.3,0.2,2.1,0.0,0.0,12.3
Keke Coutee,HOU,4.9,57.4,0.3,0.1,0.3,0.0,0.1,12.0
Antonio Brown,TB,4.6,53.5,0.3,0.4,1.5,0.0,0.0,12.0
Jakobi Meyers,NE,4.7,61.5,0.1,0.1,0.1,0.0,0.0,11.4
Russell Gage,ATL,5.0,54.8,0.2,0.1,0.2,0.0,0.1,11.4
Chase Claypool,PIT,3.9,51.0,0.3,0.7,3.0,0.1,0.0,11.4
D.J. Chark Jr.,JAC,4.5,54.9,0.2,0.0,0.2,0.0,0.0,11.3
Tim Patrick,DEN,4.1,55.0,0.3,0.0,0.2,0.0,0.0,11.3
CeeDee Lamb,DAL,4.3,50.7,0.2,0.6,3.3,0.0,0.0,10.8
Michael Pittman Jr.,IND,4.1,52.3,0.2,0.3,1.9,0.0,0.0,10.6
Tyler Boyd,CIN,4.6,51.4,0.1,0.2,1.4,0.0,0.0,10.5
Tee Higgins,CIN,4.1,53.6,0.2,0.3,1.5,0.0,0.0,10.4
Jamison Crowder,NYJ,4.5,48.2,0.2,0.1,0.3,0.0,0.0,10.4
Rashard Higgins,CLE,3.6,50.9,0.3,0.0,0.1,0.0,0.0,10.2
Tre'Quan Smith,NO,3.6,47.3,0.3,0.2,0.5,0.0,0.0,9.9
Hunter Renfrow,LV,4.0,48.6,0.2,0.0,0.0,0.0,0.0,9.9
Gabriel Davis,BUF,3.0,44.2,0.4,0.1,0.0,0.0,0.0,9.9
Danny Amendola,DET,4.1,49.4,0.1,0.1,0.2,0.0,0.0,9.9
Jerry Jeudy,DEN,3.7,51.7,0.2,0.0,0.0,0.0,0.0,9.9
Christian Kirk,ARI,3.7,46.3,0.2,0.2,1.4,0.0,0.0,9.9
Marquez Valdes-Scantling,GB,3.0,45.9,0.3,0.2,1.3,0.0,0.0,9.8
Sammy Watkins,KC,3.7,48.7,0.2,0.1,0.6,0.0,0.0,9.7
Michael Gallup,DAL,3.5,50.0,0.2,0.0,0.0,0.0,0.0,9.5
Kendrick Bourne,SF,3.6,45.6,0.2,0.0,0.0,0.0,0.0,9.1
Breshad Perriman,NYJ,3.3,47.8,0.2,0.1,0.2,0.0,0.0,9.1
Keelan Cole Sr.,JAC,3.6,45.1,0.2,0.1,0.1,0.0,0.0,9.1
Allen Lazard,GB,3.2,43.3,0.2,0.2,1.4,0.0,0.0,9.0
Damiere Byrd,NE,3.5,45.3,0.2,0.1,0.7,0.0,0.0,9.0
Darius Slayton,NYG,3.2,46.7,0.2,0.1,0.4,0.0,0.0,8.9
Chad Hansen,HOU,3.3,42.9,0.2,0.1,0.4,0.0,0.0,8.6
KJ Hamler,DEN,3.1,39.2,0.2,0.6,2.8,0.0,0.0,8.4
Denzel Mims,NYJ,3.4,43.6,0.1,0.1,0.3,0.0,0.0,8.4
Laviska Shenault Jr.,JAC,3.3,35.6,0.1,1.3,7.0,0.0,0.0,8.4
Darnell Mooney,CHI,3.3,40.0,0.1,0.2,0.5,0.0,0.0,8.3
Anthony Miller,CHI,3.2,37.7,0.2,0.2,0.9,0.0,0.0,8.0
Jalen Reagor,PHI,2.9,39.6,0.1,0.4,2.5,0.0,0.0,7.9
Golden Tate,NYG,3.2,38.0,0.1,0.1,0.4,0.0,0.0,7.9
Tyron Johnson,LAC,2.5,39.6,0.2,0.2,1.1,0.0,0.0,7.8
Larry Fitzgerald,ARI,3.3,35.5,0.1,0.0,0.0,0.0,0.0,7.7
Willie Snead IV,BAL,2.9,37.2,0.2,0.0,0.1,0.0,0.0,7.7
Josh Reynolds,LAR,2.8,38.2,0.2,0.1,0.3,0.0,0.0,7.5
Mike Williams,LAC,2.4,37.2,0.2,0.1,0.2,0.0,0.0,7.1
Greg Ward,PHI,3.2,31.2,0.1,0.1,0.6,0.0,0.0,7.1
N'Keal Harry,NE,2.8,32.1,0.2,0.3,1.6,0.0,0.0,7.0
Richie James Jr.,SF,2.4,38.8,0.1,0.0,0.1,0.0,0.1,7.0
A.J. Green,CIN,2.7,34.7,0.1,0.0,0.0,0.0,0.0,6.7
James Washington,PIT,2.4,33.8,0.2,0.0,0.0,0.0,0.0,6.7
Lynn Bowden Jr.,MIA,2.6,29.1,0.1,0.6,2.9,0.0,0.0,6.7
Cordarrelle Patterson,CHI,1.7,15.2,0.1,4.9,22.8,0.2,0.0,6.7
Cam Sims,WAS,2.4,35.6,0.1,0.2,0.8,0.0,0.0,6.7
David Moore,SEA,2.3,29.5,0.2,0.4,2.3,0.0,0.0,6.5
Jalen Guyton,LAC,2.2,33.0,0.2,0.1,0.0,0.0,0.0,6.4
Zach Pascal,IND,2.4,31.3,0.1,0.1,0.4,0.0,0.0,6.4
DeSean Jackson,PHI,2.3,30.1,0.1,0.3,3.5,0.0,0.0,6.3
Deonte Harris,NO,2.6,26.9,0.1,0.2,1.7,0.0,0.0,6.2
Mecole Hardman,KC,2.1,32.5,0.1,0.1,0.4,0.0,0.0,6.2
Donovan Peoples-Jones,CLE,1.9,29.8,0.2,0.0,0.3,0.0,0.0,5.8
Mack Hollins,MIA,2.2,28.1,0.1,0.0,0.1,0.0,0.0,5.8
Mohamed Sanu,DET,2.2,25.2,0.1,0.1,0.4,0.0,0.0,5.5
Quintez Cephus,DET,2.1,27.5,0.1,0.1,0.3,0.0,0.0,5.4
Brandon Powell,ATL,2.2,23.8,0.1,0.2,0.9,0.0,0.0,5.4
Demarcus Robinson,KC,2.0,25.0,0.1,0.0,0.0,0.0,0.0,5.3
Steven Sims,WAS,2.2,23.2,0.1,0.1,1.0,0.0,0.0,5.2
Collin Johnson,JAC,1.8,24.4,0.1,0.0,0.1,0.0,0.0,4.8
Alshon Jeffery,PHI,1.8,23.6,0.1,0.0,0.1,0.0,0.0,4.6
Devin Duvernay,BAL,1.6,18.3,0.1,0.4,4.4,0.0,0.0,4.4
Van Jefferson,LAR,1.6,20.4,0.1,0.1,0.2,0.0,0.0,4.3
KhaDarel Hodge,CLE,1.5,22.9,0.1,0.0,0.0,0.0,0.0,4.3
Zay Jones,LV,1.6,18.7,0.1,0.0,0.0,0.0,0.0,4.2
Chad Beebe,MIN,1.7,19.2,0.1,0.0,0.0,0.0,0.0,4.1
Marquez Callaway,NO,1.6,17.8,0.1,0.0,0.0,0.0,0.0,4.1
Dez Bryant,BAL,1.5,19.6,0.1,0.1,0.6,0.0,0.0,3.9
Isaiah Wright,WAS,1.7,17.4,0.1,0.2,1.1,0.0,0.0,3.9
Bryan Edwards,LV,1.5,18.1,0.1,0.1,0.3,0.0,0.0,3.9
Scotty Miller,TB,1.3,19.0,0.1,0.2,0.7,0.0,0.0,3.8
Steven Mitchell Jr.,HOU,1.5,19.2,0.1,0.1,0.2,0.0,0.0,3.8
Dontrelle Inman,WAS,1.5,16.3,0.1,0.0,0.0,0.0,0.0,3.8
Chris Conley,JAC,1.5,17.3,0.1,0.0,0.0,0.0,0.0,3.5
Travis Fulgham,PHI,1.2,17.3,0.1,0.0,0.2,0.0,0.0,3.5
Cam Batson,TEN,1.3,13.2,0.1,0.5,2.5,0.0,0.0,3.4
Isaiah McKenzie,BUF,1.4,13.4,0.1,0.3,1.5,0.0,0.0,3.4
Jamal Agnew,DET,1.4,12.5,0.0,0.6,2.8,0.0,0.0,3.3
Christian Blake,ATL,1.4,15.4,0.0,0.0,0.0,0.0,0.0,3.3
Miles Boykin,BAL,1.2,14.9,0.1,0.0,0.0,0.0,0.0,3.2
Malcolm Perry,MIA,1.3,15.8,0.0,0.2,0.9,0.0,0.0,3.2
Antonio Callaway,MIA,1.2,16.4,0.0,0.0,0.1,0.0,0.0,3.1
DaeSean Hamilton,DEN,1.3,14.0,0.1,0.0,0.0,0.0,0.0,3.1
Juwan Johnson,NO,1.3,14.5,0.1,0.1,0.4,0.0,0.0,3.1
KeeSean Johnson,ARI,1.4,14.1,0.1,0.0,0.1,0.0,0.0,3.1
Braxton Berrios,NYJ,1.3,14.3,0.0,0.1,0.3,0.0,0.0,2.9
Laquon Treadwell,ATL,1.2,13.5,0.0,0.0,0.0,0.0,0.0,2.9
Freddie Swain,SEA,1.1,13.0,0.1,0.0,0.1,0.0,0.0,2.8
Andy Isabella,ARI,0.9,11.6,0.1,0.1,0.0,0.0,0.0,2.4
Alex Erickson,CIN,1.0,11.2,0.0,0.3,1.4,0.0,0.0,2.4
Ray-Ray McCloud,PIT,1.2,8.1,0.0,0.4,3.2,0.0,0.1,2.3
Equanimeous St. Brown,GB,0.8,11.3,0.0,0.1,0.3,0.0,0.0,2.3
Gunner Olszewski,NE,0.8,9.8,0.0,0.3,1.5,0.0,0.0,2.2
Robert Foster,WAS,0.7,12.0,0.0,0.0,0.3,0.0,0.0,2.2
Pharoh Cooper,CAR,0.9,10.6,0.0,0.0,0.2,0.0,0.0,2.2
Jeff Smith,NYJ,0.9,10.8,0.0,0.1,0.2,0.0,0.0,2.1
K.J. Hill,LAC,0.9,10.0,0.0,0.0,0.2,0.0,0.0,2.1
Marcus Johnson,IND,0.7,11.2,0.0,0.0,0.0,0.0,0.0,2.1
Olabisi Johnson,MIN,0.8,11.4,0.0,0.0,0.0,0.0,0.0,2.0
Cedrick Wilson,DAL,0.9,10.1,0.0,0.1,0.5,0.0,0.0,2.0
River Cracraft,SF,0.8,9.5,0.0,0.0,0.1,0.0,0.0,1.9
Isaiah Coulter,HOU,0.8,9.8,0.0,0.0,0.2,0.0,0.0,1.9
Mike Thomas,CIN,0.8,9.9,0.0,0.1,0.1,0.0,0.0,1.9
Noah Brown,DAL,0.8,8.4,0.0,0.0,0.0,0.0,0.0,1.8
Quez Watkins,PHI,0.7,8.8,0.0,0.0,0.2,0.0,0.0,1.8
Javon Wims,CHI,0.7,8.1,0.0,0.1,0.4,0.0,0.0,1.8
Trent Taylor,SF,0.7,7.5,0.0,0.0,0.0,0.0,0.0,1.7
Ashton Dulin,IND,0.6,7.3,0.0,0.0,0.4,0.0,0.0,1.6
DeMichael Harris,IND,0.5,6.7,0.0,0.0,1.8,0.0,0.0,1.5
Brandon Zylstra,CAR,0.6,7.4,0.0,0.0,0.2,0.0,0.0,1.5
Austin Mack,NYG,0.5,6.6,0.0,0.0,0.1,0.0,0.0,1.2
C.J. Board,NYG,0.5,5.8,0.0,0.1,0.2,0.0,0.0,1.2
Nick Westbrook-Ikhine,TEN,0.5,6.5,0.0,0.0,0.1,0.0,0.0,1.2
Andre Roberts,BUF,0.4,4.4,0.0,0.1,0.6,0.0,0.0,1.0
Lil'Jordan Humphrey,NO,0.3,4.4,0.0,0.0,0.2,0.0,0.0,1.0
Riley Ridley,CHI,0.4,4.3,0.0,0.0,0.0,0.0,0.0,0.9
Byron Pringle,KC,0.3,3.9,0.0,0.0,0.1,0.0,0.0,0.9
Penny Hart,SEA,0.3,3.6,0.0,0.3,1.0,0.0,0.0,0.9
Isaiah Ford,MIA,0.3,3.7,0.0,0.0,0.1,0.0,0.0,0.8
Matthew Slater,NE,0.2,4.3,0.0,0.0,0.2,0.0,0.0,0.8
Vyncint Smith,NYJ,0.2,3.5,0.0,0.0,0.1,0.0,0.0,0.7
Tommylee Lewis,NO,0.2,2.5,0.0,0.0,0.8,0.0,0.0,0.6
Dan Chisena,MIN,0.2,3.3,0.0,0.0,0.1,0.0,0.0,0.6
Diontae Spencer,DEN,0.2,2.5,0.0,0.0,0.3,0.0,0.0,0.5
John Hightower,PHI,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.5
Tyler Johnson,TB,0.2,2.6,0.0,0.0,0.0,0.0,0.0,0.5
Jake Kumerow,BUF,0.2,2.3,0.0,0.0,0.0,0.0,0.0,0.4
Trent Sherfield,ARI,0.1,2.6,0.0,0.0,0.1,0.0,0.0,0.4
James Proche,BAL,0.2,2.1,0.0,0.0,0.1,0.0,0.0,0.4
JJ Arcega-Whiteside,PHI,0.1,2.3,0.0,0.0,0.0,0.0,0.0,0.4
Malik Taylor,GB,0.1,1.8,0.0,0.0,0.2,0.0,0.0,0.4
K.J. Osborn,MIN,0.1,1.8,0.0,0.0,0.1,0.0,0.0,0.3
Nsimba Webster,LAR,0.1,1.7,0.0,0.0,0.1,0.0,0.0,0.3
Justin Watson,TB,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.2
Chris Moore,BAL,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Stanley Morgan Jr.,CIN,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.2
Joe Reed,LAC,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Jaleel Scott,NYJ,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2
Ja'Marcus Bradley,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwann Winfree,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Carr,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Hall,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence Cager,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
