Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,proj_pts,uncertainty
1,Christian McCaffrey,CAR,IND,1,1,1.0,0.0,25.4,0.0
2,Ezekiel Elliott,DAL,PHI,2,6,2.8,1.1,20.4,0.605
3,Chris Carson,SEA,ARI,2,7,3.0,0.5,20.4,0.125
4,Saquon Barkley,NYG,WAS,2,8,3.8,1.0,19.7,0.5
5,Joe Mixon,CIN,MIA,2,13,4.8,1.2,19.0,0.72
6,Leonard Fournette,JAC,ATL,2,12,6.7,1.4,18.2,0.98
7,Alvin Kamara,NO,TEN,4,13,7.0,1.4,17.0,0.49
8,Mark Ingram,BAL,CLE,5,20,9.4,2.2,16.3,0.968
9,Nick Chubb,CLE,BAL,7,21,10.7,2.3,16.1,0.755714285714
10,Austin Ekeler,LAC,OAK,5,13,10.9,1.8,16.1,0.648
11,Miles Sanders,PHI,DAL,6,18,11.9,2.2,15.8,0.806666666667
12,Marlon Mack,IND,CAR,5,21,12.7,3.2,15.7,2.048
13,Melvin Gordon,LAC,OAK,6,23,13.0,2.6,15.1,1.12666666667
14,Aaron Jones,GB,MIN,10,20,13.9,1.9,15.1,0.361
15,Kenyan Drake,ARI,SEA,10,22,16.0,1.9,14.9,0.361
16,Devonta Freeman,ATL,JAC,6,22,16.2,3.7,14.9,2.28166666667
17,Todd Gurley,LAR,SF,11,25,16.9,2.5,14.8,0.568181818182
18,Phillip Lindsay,DEN,DET,8,23,18.6,2.4,14.8,0.72
19,Mike Boone,MIN,GB,9,32,19.3,3.6,14.7,1.44
20,Raheem Mostert,SF,LAR,13,29,21.5,2.1,14.5,0.339230769231
21,James Conner,PIT,NYJ,11,27,21.7,2.3,14.3,0.480909090909
22,DeAndre Washington,OAK,LAC,15,43,21.8,3.1,14.1,0.640666666667
23,Le'Veon Bell,NYJ,PIT,12,29,22.3,2.7,14.0,0.6075
24,Adrian Peterson,WAS,NYG,18,31,24.8,2.3,12.9,0.293888888889
25,James White,NE,BUF,13,29,25.0,1.7,13.2,0.222307692308
26,Devin Singletary,BUF,NE,17,30,26.3,2.1,12.7,0.259411764706
27,David Montgomery,CHI,KC,23,36,27.3,2.4,11.6,0.250434782609
28,Kareem Hunt,CLE,BAL,22,33,28.1,1.5,11.4,0.102272727273
29,Tarik Cohen,CHI,KC,26,38,30.1,1.9,11.2,0.138846153846
30,Ronald Jones II,TB,HOU,25,36,31.8,1.6,10.6,0.1024
31,Patrick Laird,MIA,CIN,28,42,31.9,2.2,10.5,0.172857142857
32,Carlos Hyde,HOU,TB,30,38,32.6,1.7,10.2,0.0963333333333
33,Sony Michel,NE,BUF,31,56,33.8,1.6,10.2,0.0825806451613
34,Jamaal Williams,GB,MIN,32,49,38.1,2.9,9.6,0.2628125
35,Jalen Richard,OAK,LAC,34,61,38.4,2.9,9.4,0.247352941176
36,Royce Freeman,DEN,DET,31,49,38.4,3.3,9.0,0.351290322581
37,Boston Scott,PHI,DAL,33,50,39.6,3.5,8.9,0.371212121212
38,Chris Thompson,WAS,NYG,35,47,39.8,2.6,8.9,0.193142857143
39,Duke Johnson,HOU,TB,34,45,40.0,2.1,8.8,0.129705882353
40,Kerryon Johnson,DET,DEN,24,51,40.8,4.2,8.6,0.735
41,Latavius Murray,NO,TEN,33,48,40.9,3.5,8.2,0.371212121212
42,Dion Lewis,TEN,NO,18,59,40.9,13.6,8.2,10.2755555556
43,Nyheim Hines,IND,CAR,39,52,43.4,2.8,7.9,0.201025641026
44,Peyton Barber,TB,HOU,35,53,44.4,2.6,7.5,0.193142857143
45,Myles Gaskin,MIA,CIN,36,61,46.4,5.6,7.3,0.871111111111
46,Matt Breida,SF,LAR,40,53,47.1,2.2,7.0,0.121
47,LeSean McCoy,KC,CHI,38,57,47.6,4.7,6.9,0.581315789474
48,Damien Williams,KC,CHI,24,85,43.7,15.1,6.5,9.50041666667
49,Rex Burkhead,NE,BUF,46,62,50.6,2.8,6.3,0.170434782609
50,Ameer Abdullah,MIN,GB,40,63,48.8,5.6,6.2,0.784
